fold,name,crop_A0_PSNR,full_A0_PSNR,crop_minus_full_A0_PSNR,dPSNR,crop_strong_reference,full_strong_reference,crop_strong_regression,full_strong_regression,v221_full_row_present
1,302_0.67_0.9.png,44.41233046290313,32.61870574951172,11.79362471339141,0.3562204710840291,1,1,0,0,1
1,1472_0.95_0.58.png,44.878424929621886,39.96892166137695,4.909503268244933,-0.11023683148991381,1,1,1,1,1
1,1815_0.55_0.96.png,49.330417555388884,45.18251419067383,4.147903364715056,-0.000601904931130548,1,1,0,0,1
1,2672_0.53_1.63.png,42.66041017465057,38.993106842041016,3.6673033326095563,0.2012388300682133,1,1,0,0,1
1,1114_0.76_1.34.png,42.342015987891976,36.62480926513672,5.717206722755257,0.10461636806297037,1,1,0,0,1
1,2441_0.74_1.28.png,42.98918263326449,41.43183898925781,1.5573436440066786,0.20293179137867412,1,1,0,0,1
1,2678_0.66_1.48.png,44.81055565096098,44.043067932128906,0.7674877188320721,0.3416135512646008,1,1,0,0,1
1,2259_0.79_0.9.png,43.97711539385562,45.55127716064453,-1.5741617667889116,-0.14912940460902746,1,1,1,1,1
1,2738_0.64_1.94.png,42.00983641109525,41.43206787109375,0.5777685400015002,-0.22816683333069676,1,1,1,1,1
1,347_0.52_0.87.png,43.011923298580435,37.894657135009766,5.117266163570669,-0.2959713928789185,1,1,1,1,1
1,2774_0.98_0.56.png,43.5660520775284,41.212547302246094,2.3535047752823033,0.16266450346404326,1,1,0,0,1
1,2413_0.71_1.28.png,43.376874187046354,41.92810821533203,1.448765971714323,0.3005731270867429,1,1,0,0,1
1,2949_0.93_0.8.png,41.535090849107604,39.42369079589844,2.1114000532091666,0.10321607575870928,1,1,0,0,1
1,1354_0.79_1.67.png,40.949996433987145,33.46846008300781,7.481536350979333,-0.028337708030818476,1,1,0,0,1
1,2983_0.92_1.19.png,43.94544145387533,41.641845703125,2.3035957507503326,0.03690991444582892,1,1,0,0,1
1,152_0.8_1.99.png,40.78068468607058,36.06330108642578,4.717383599644798,-0.11885314852798246,1,1,1,1,1
1,111_0.57_1.22.png,46.40795651563699,38.62628173828125,7.7816747773557395,0.10426700653504639,1,1,0,0,1
1,615_0.76_1.49.png,44.443832862562196,36.86820602416992,7.5756268383922745,0.17282757705907414,1,1,0,0,1
1,2553_0.87_1.09.png,45.960055166838345,45.18825912475586,0.7717960420824852,0.20884489629656855,1,1,0,0,1
1,2358_0.78_1.5.png,40.836359806964225,44.42485427856445,-3.588494471600228,0.22212994520905482,1,1,0,0,1
1,2563_0.85_0.62.png,42.717953800826834,47.947265625,-5.229311824173166,-0.33847655645844554,1,1,1,1,1
1,2046_0.76_1.87.png,37.01636520632145,36.09660339355469,0.9197618127667653,0.15962952531635466,1,1,0,0,1
1,1314_0.66_0.77.png,42.20035787053868,40.66575622558594,1.534601644952744,0.23111488817033887,1,1,0,0,1
1,143_0.84_1.61.png,41.415854277114505,32.87635040283203,8.539503874282474,0.08470403951176309,1,1,0,0,1
1,1434_0.83_1.44.png,43.38767773532466,40.576419830322266,2.8112579050023925,0.03845300221475867,1,1,0,0,1
1,2278_0.76_0.76.png,49.78837865390905,46.77262878417969,3.015749869729362,-0.12656518323960597,1,1,1,1,1
1,1506_0.92_1.66.png,41.012726286228514,37.90595626831055,3.1067700179179667,0.21167397818099687,1,1,0,0,1
1,451_0.68_1.78.png,41.306449143467134,42.33784484863281,-1.0313957051656786,0.05298172050533623,1,1,0,0,1
1,2866_0.62_1.51.png,44.93796041520718,42.73495101928711,2.20300939592007,-0.17340421522559524,1,1,1,1,1
1,1025_0.95_1.79.png,40.34989832514468,34.59271240234375,5.757185922800929,-0.10210323736716731,1,1,1,1,1
1,865_0.85_1.63.png,43.25030346955281,35.91111755371094,7.339185915841874,-0.2788289251138707,1,1,1,1,1
1,2652_0.85_1.34.png,41.20759747872738,44.227603912353516,-3.0200064336261363,0.010822024368032146,1,1,0,0,1
1,2871_0.76_1.43.png,42.480515270299286,40.381927490234375,2.0985877800649106,0.29129767636204207,1,1,0,0,1
1,979_0.96_0.5.png,44.785848707605204,36.861209869384766,7.924638838220439,0.12693677959395444,1,1,0,0,1
1,2475_0.92_1.34.png,44.73706603577672,39.92321014404297,4.813855891733752,-0.05875234344743063,1,1,1,1,1
1,1001_0.89_1.66.png,41.68274048194584,35.00823211669922,6.6745083652466235,-0.07410788120532885,1,1,1,1,1
1,673_0.55_0.68.png,48.46637673289972,34.044158935546875,14.422217797352843,-0.17998597532424299,1,1,1,1,1
1,309_0.52_0.96.png,42.91332778664674,37.500579833984375,5.4127479526623645,-0.42152249593388547,1,1,1,1,1
1,1130_0.94_1.44.png,41.40140040085112,36.907588958740234,4.493811442110882,0.26606033570529775,1,1,0,0,1
1,884_0.71_0.74.png,44.97319338651515,39.85886001586914,5.114333370646008,-0.5484525273333318,1,1,1,1,1
1,2183_0.71_1.28.png,43.91516853862619,46.04786682128906,-2.132698282662872,0.5302791636820459,1,1,0,0,1
1,2465_0.88_1.38.png,44.2871147533969,46.03924560546875,-1.7521308520718506,-0.1436727849720043,1,1,1,1,1
1,145_0.5_1.08.png,41.78314241431928,42.56946563720703,-0.7863232228877521,-0.19391989340027038,1,1,1,1,1
1,1164_0.79_1.96.png,42.94830145245301,36.149314880371094,6.798986572081915,0.21086826864928554,1,1,0,0,1
1,2084_0.73_1.89.png,37.36423482322773,36.01203918457031,1.3521956386574203,-0.032546886614163384,1,1,0,0,1
1,968_0.54_1.0.png,45.09407359928787,38.13785171508789,6.956221884199977,0.1440306694073712,1,1,0,0,1
1,1495_0.94_1.22.png,38.665739724630704,36.49069595336914,2.1750437712615636,-0.05010214190723161,1,1,1,1,1
1,2847_0.67_0.53.png,45.21689416828369,46.01144790649414,-0.7945537382104533,-0.12442957473075467,1,1,1,1,1
1,4_0.84_1.98.png,36.7647783351595,30.5319766998291,6.2328016353303966,-0.08939676174799871,1,1,1,1,1
1,684_0.67_1.46.png,44.19323005028665,33.20987319946289,10.98335685082376,-0.0981154467793246,1,1,1,1,1
1,180_0.86_1.22.png,42.54149241677255,40.081790924072266,2.459701492700283,-0.09127957672953357,1,1,1,1,1
1,896_0.83_1.62.png,41.291506717174016,38.94403839111328,2.347468326060735,0.25067649745147946,1,1,0,0,1
1,710_0.87_1.34.png,43.46954600714966,38.66368103027344,4.805864976876222,-0.1548674149030944,1,1,1,1,1
1,1856_0.82_1.13.png,49.32896269973344,46.679080963134766,2.6498817365986724,0.2485891822261408,1,1,0,0,1
1,1951_0.53_1.59.png,41.44175888680444,36.14920425415039,5.292554632654053,0.17732354425443475,1,1,0,0,1
