fold,gt_keep_fraction,gt_spatial_minus_keep_color_bias,gt_spatial_minus_keep_psnr_db,gt_spatial_minus_keep_ssim,gt_spatial_minus_shuffled_psnr_db,gt_spatial_minus_uniform_psnr_db,gt_strengthen_fraction,gt_weaken_fraction,model,p00_keep_fraction,p00_minus_p11_psnr_db,p00_spatial_minus_keep_color_bias,p00_spatial_minus_keep_psnr_db,p00_spatial_minus_keep_ssim,p00_spatial_minus_shuffled_psnr_db,p00_spatial_minus_uniform_psnr_db,p00_strengthen_fraction,p00_weaken_fraction,p01_keep_fraction,p01_spatial_minus_keep_color_bias,p01_spatial_minus_keep_psnr_db,p01_spatial_minus_keep_ssim,p01_spatial_minus_shuffled_psnr_db,p01_spatial_minus_uniform_psnr_db,p01_strengthen_fraction,p01_weaken_fraction,p10_keep_fraction,p10_spatial_minus_keep_color_bias,p10_spatial_minus_keep_psnr_db,p10_spatial_minus_keep_ssim,p10_spatial_minus_shuffled_psnr_db,p10_spatial_minus_uniform_psnr_db,p10_strengthen_fraction,p10_weaken_fraction,p11_keep_fraction,p11_spatial_minus_keep_color_bias,p11_spatial_minus_keep_psnr_db,p11_spatial_minus_keep_ssim,p11_spatial_minus_shuffled_psnr_db,p11_spatial_minus_uniform_psnr_db,p11_strengthen_fraction,p11_weaken_fraction,population,scene
frozen_candidate,0.6658333333333332,-0.0011534579270282405,1.601553096407251,-0.001884371042251587,6.9324833316475925,1.601553096407251,0.12583333333333332,0.2083333333333333,frozen_test_development_candidate,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,haze4k_test_development_stress,1bd27ca517d1c37dbac2f0739e5be0f76b333fcbfdab01d52badf40f727cc2df
frozen_candidate,0.6149999999999999,-0.0022025218785511743,3.0768232926342343,-0.0016936510801315308,6.779849355265722,3.0768232926342343,0.25999999999999995,0.12499999999999996,frozen_test_development_candidate,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,haze4k_test_development_stress,1be383b4c85f1ac1c716283ab8f9bdf7a68a3b445af11919e9dd3fec5d619470
frozen_candidate,0.45999999999999985,-0.008653348613948524,4.6880588123212865,0.0028448253870010376,5.746955772667253,4.688058812321286,0.46599999999999986,0.07399999999999997,frozen_test_development_candidate,1.0,0.0,0.0,8.881784197001252e-16,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.881784197001252e-16,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.881784197001252e-16,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.881784197001252e-16,0.0,0.0,0.0,0.0,0.0,haze4k_test_development_stress,1e60ae05613bb1f667a318adbd00000954277fe2e360eca309ca1b4c2bda9593
frozen_candidate,0.07319999999999997,-0.03693044623173446,6.35126016811709,0.00863504409790039,1.6754678422151308,1.9168139445616506,0.9247999999999997,0.001999999999999999,frozen_test_development_candidate,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,haze4k_test_development_stress,1fea99716fc4bbf70bb6110ab2430ecddfaca783e41eb741939fb82f32936fec
frozen_candidate,0.35519999999999985,-0.01503325007242238,3.282935574602085,-0.002133473753929138,3.7133650663894304,2.4770317708183898,0.03839999999999998,0.6063999999999998,frozen_test_development_candidate,1.0,0.0,0.0,1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0,haze4k_test_development_stress,21138a37c3939355dff493c528e35d414ab2232291b1a536cf1f8e1f17f8e0bd
frozen_candidate,0.6933333333333332,-0.0005882751327294499,1.7622532715248216,-0.001234203577041626,7.700641013951367,1.7622532715248216,0.22333333333333327,0.08333333333333333,frozen_test_development_candidate,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,haze4k_test_development_stress,23cf88896536721546d33baa95b441362ff06c6a2cc651b0b61ed9114706aba2
frozen_candidate,0.5495999999999998,0.00034208447904032584,2.9394581370956194,-0.0034898966550827026,5.379916607834796,2.9394581370956177,0.2703999999999999,0.17999999999999994,frozen_test_development_candidate,1.0,0.0,0.0,1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0,haze4k_test_development_stress,2478221d96798530fe000c4fd35c291f45e7b97ce95f2ec779cf9464ddec50cb
frozen_candidate,0.10399999999999997,-0.010286682776235102,5.2085376925854305,0.001743406057357788,1.6245337499456003,3.32633281286995,0.8911999999999998,0.004799999999999999,frozen_test_development_candidate,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,haze4k_test_development_stress,2b28bfd1bb807ead9582f822c63049654284d50d6a19794d5732aa6d5d46f531
frozen_candidate,0.3003999999999999,-0.008155710747839714,3.7223718898410167,-0.0054104626178741455,4.842691428621285,3.7223718898410167,0.3991999999999999,0.3003999999999999,frozen_test_development_candidate,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,haze4k_test_development_stress,2b8744ac3bbce6279bea0ec1d5ca849f5411d3d2af93fc1b56c387308965b3a6
frozen_candidate,0.5567999999999999,-0.003139011128711475,2.0003930974173123,-0.0012092888355255127,3.0293252458585895,2.0003930974173123,0.07479999999999998,0.36839999999999984,frozen_test_development_candidate,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,haze4k_test_development_stress,2bed0d60ffe6d226873e94b3cc5bf0d67fc8de4ad26ca77c4d3cc146de20f314
