action,critical_value,estimate,family_size,lower,max_half_width,metric,population,scene_count,upper
strengthen,3.1969502291312533,0.37850165483724413,36,0.23410268730788347,0.14439896752936066,utility_mae_improvement,haze4k_test_development_stress,100,0.5229006223666048
strengthen,3.1969502291312533,0.3037928127940721,36,0.22187248297040235,0.08192032982366974,utility_rank_correlation,haze4k_test_development_stress,100,0.38571314261774187
strengthen,3.1969502291312533,0.666373841966623,36,0.6126676610647213,0.05370618090190176,beneficial_auc,haze4k_test_development_stress,100,0.7200800228685247
strengthen,3.1969502291312533,1.0007236992540531,36,0.6777139152628306,0.3230097839912225,top_fraction_utility_lift,haze4k_test_development_stress,100,1.3237334832452756
strengthen,3.1969502291312533,0.21937444825921562,36,0.1666050813646457,0.052769366894569916,risk_brier,haze4k_test_development_stress,100,0.27214381515378555
strengthen,3.1969502291312533,0.21311118452000005,36,0.17017664596918894,0.04293453855081112,constant_risk_brier,haze4k_test_development_stress,100,0.2560457230708112
strengthen,3.1969502291312533,-0.0062632637392155965,36,-0.02485932878012113,0.018596065040905534,risk_brier_improvement,haze4k_test_development_stress,100,0.012332801301689938
strengthen,3.1969502291312533,0.7012961875774808,36,0.6483822468428536,0.05291394073462721,risk_auc,haze4k_test_development_stress,100,0.754210128312108
strengthen,3.1969502291312533,0.27961166666666665,36,0.20938679440447033,0.07022487226219633,beneficial_area_prevalence,haze4k_test_development_stress,100,0.34983653892886296
strengthen,3.1969502291312533,0.7126063333333331,36,0.6419391752735348,0.0706671580597983,harm_area_prevalence,haze4k_test_development_stress,100,0.7832734913931314
strengthen,3.1969502291312533,0.15808719299662788,36,0.025042430412603678,0.1330447625840242,permuted_utility_mae_improvement,haze4k_test_development_stress,100,0.2911319555806521
strengthen,3.1969502291312533,0.5051234667292119,36,0.491655651289994,0.013467815439217939,permuted_beneficial_auc,haze4k_test_development_stress,100,0.5185912821684299
strengthen,3.1969502291312533,-0.016468817203788403,36,-0.08215952794239756,0.06569071073860916,permuted_top_fraction_utility_lift,haze4k_test_development_stress,100,0.04922189353482076
strengthen,3.1969502291312533,1.0171925164578415,36,0.6870960093478249,0.33009650711001653,observed_minus_permuted_top_lift,haze4k_test_development_stress,100,1.347289023567858
strengthen,3.1969502291312533,-0.02794198181627047,36,-0.04152115640063902,0.013579174584368548,permuted_risk_brier_improvement,haze4k_test_development_stress,100,-0.014362807231901921
strengthen,3.1969502291312533,0.5025408126075521,36,0.48943923498682873,0.013101577620723389,permuted_risk_auc,haze4k_test_development_stress,100,0.5156423902282755
weaken,3.1969502291312533,0.6087712893164782,36,0.5433985822330981,0.06537270708338008,utility_mae,haze4k_train_oof,600,0.6741439963998582
weaken,3.1969502291312533,1.0175126861841128,36,0.9643358144337228,0.05317687175038999,constant_utility_mae,haze4k_train_oof,600,1.0706895579345028
