variant,scope,count,mean_dPSNR,median_dPSNR,p01_dPSNR,p05_dPSNR,CVaR5_dPSNR,hard_bottom25_dPSNR,easy_top25_dPSNR,positive_ratio,severe_count,severe_rate,strong_reference_count,strong_reference_regressions,strong_reference_regression_rate,strong_easy_mean_dPSNR,strong_easy_p05_dPSNR,fold,gate_kind,threshold,threshold_low,gamma,tau,fold_tail_pass
V221_risk_soft_t0p50_tau0p20,fold1,480,2.2034369071324664,1.5231361389160156,-0.07108776092529297,0.03272686004638672,-0.045113722483317055,4.19072961807251,0.7640579541524252,0.9666666666666667,1,0.0020833333333333333,120,2,0.016666666666666666,0.7640579541524252,-0.021383285522460938,1,predicted_risk_soft,0.5,,,0.2,1
V221_risk_soft_t0p50_tau0p20,fold2,480,2.193594443798065,1.5166664123535156,-0.12166179656982422,0.026090621948242184,-0.062319437662760414,4.386647049585978,0.6256194750467936,0.9625,2,0.004166666666666667,120,4,0.03333333333333333,0.6256194750467936,-0.03364429473876953,2,predicted_risk_soft,0.5,,,0.2,1
V221_risk_soft_t0p50_tau0p20,fold3,480,2.134996271133423,1.438852310180664,-0.21904865264892578,0.004764842987060544,-0.1619426409403483,3.988183943430583,0.6303415934244792,0.9520833333333333,6,0.0125,120,5,0.041666666666666664,0.6303415934244792,-0.006449317932128898,3,predicted_risk_soft,0.5,,,0.2,1
V221_risk_soft_t0p50_tau0p20,fold4,480,2.150133713086446,1.5809879302978516,-0.16376232147216796,0.027749252319335935,-0.10470438003540039,4.179270680745443,0.7573148409525553,0.9604166666666667,3,0.00625,120,0,0.0,0.7573148409525553,0.014631843566894532,4,predicted_risk_soft,0.5,,,0.2,1
V221_risk_soft_t0p70_tau0p10,fold0,480,2.132244352499644,1.451629638671875,-0.28776878356933594,0.005769538879394529,-0.2254160245259603,4.317620833714803,0.6783167203267415,0.95625,9,0.01875,120,8,0.06666666666666667,0.6783167203267415,-0.07879180908203123,0,predicted_risk_soft,0.7,,,0.1,1
V221_risk_soft_t0p70_tau0p10,fold1,480,2.232129895687103,1.5661239624023438,-0.33601165771484376,-0.0067764282226562556,-0.2017847696940104,4.262111171086629,0.7586354891459147,0.9458333333333333,8,0.016666666666666666,120,7,0.058333333333333334,0.7586354891459147,-0.05435409545898436,1,predicted_risk_soft,0.7,,,0.1,1
V221_risk_soft_t0p70_tau0p10,fold2,480,2.2388975381851197,1.5071067810058594,-0.38024818420410156,0.00021915435791014862,-0.22834269205729166,4.5196207364400225,0.6318377812703451,0.95,8,0.016666666666666666,120,4,0.03333333333333333,0.6318377812703451,-0.019561195373535154,2,predicted_risk_soft,0.7,,,0.1,1
V221_risk_soft_t0p70_tau0p10,fold3,480,2.1620569507280987,1.5024776458740234,-0.6207638931274414,-0.036246299743652344,-0.41524728139241535,4.109291283289592,0.664806620279948,0.9395833333333333,13,0.027083333333333334,120,10,0.08333333333333333,0.664806620279948,-0.12513694763183594,3,predicted_risk_soft,0.7,,,0.1,0
V221_risk_soft_t0p70_tau0p10,fold4,480,2.18678103685379,1.6480731964111328,-0.3208267974853516,-0.010836791992187506,-0.2698194185892741,4.268912267684937,0.7727250417073568,0.9416666666666667,6,0.0125,120,6,0.05,0.7727250417073568,-0.0356180191040039,4,predicted_risk_soft,0.7,,,0.1,1
V221_risk_soft_t0p70_tau0p20,fold0,480,2.1468577067057293,1.4694557189941406,-0.27912811279296873,-0.0009881973266601576,-0.20790417989095053,4.273013782501221,0.7339845657348633,0.9479166666666666,9,0.01875,120,9,0.075,0.7339845657348633,-0.11625022888183593,0,predicted_risk_soft,0.7,,,0.2,1
V221_risk_soft_t0p70_tau0p20,fold1,480,2.2531650344530743,1.559722900390625,-0.24643634796142577,0.0027338027954101523,-0.17801459630330405,4.258362531661987,0.8040106137593587,0.95,9,0.01875,120,9,0.075,0.8040106137593587,-0.1047189712524414,1,predicted_risk_soft,0.7,,,0.2,1
