family,alpha,group,bin,count,mean_dPSNR,mean_bootstrap_LCB,hard_bottom25_dPSNR,hard_bootstrap_LCB,easy_top25_dPSNR,worst_dPSNR,dSSIM,positive_ratio,positive_Wilson_LCB,nonnegative_ratio,severe_loss_count,severe_loss_per_600,severe_Wilson_UCB
expert,0.125,transmission_q4,q1,150,0.5004786809285482,0.46601589902242024,0.4603688523576066,0.4004594905956372,0.5383083240405934,-0.13965606689453125,0.0006598798433939616,0.9666666666666667,0.9243471574929044,0.9666666666666667,0,0.0,0.02497113914571871
expert,0.125,transmission_q4,q2,150,0.504982795715332,0.4693590698242187,0.5429102407919394,0.4609398249033335,0.5313448519320101,-0.15317535400390625,0.0005773810545603434,0.9733333333333334,0.9334450938998244,0.9733333333333334,0,0.0,0.02497113914571871
expert,0.125,transmission_q4,q3,150,0.5860336939493815,0.5472209746042888,0.5688658533869563,0.4977349410185943,0.567539627487595,-0.3823966979980469,0.0005240972836812337,0.98,0.9428523341357584,0.98,1,4.0,0.036793752933975674
expert,0.125,transmission_q4,q4,150,0.6543972396850586,0.6263198839823405,0.6848059473810969,0.64070869136501,0.6025041116250528,-0.07602310180664062,0.00045897801717122394,0.9933333333333333,0.9632062470660242,0.9933333333333333,0,0.0,0.02497113914571871
expert,0.125,airlight_proxy_q4,q1,150,0.5187080383300782,0.48070539347330726,0.49250051137563344,0.42029989087903824,0.5076844498917863,-0.3823966979980469,0.0004051637649536133,0.9733333333333334,0.9334450938998244,0.9733333333333334,1,4.0,0.036793752933975674
expert,0.125,airlight_proxy_q4,q2,157,0.5305921712498756,0.49481513819117456,0.5292359376565005,0.46846937032846303,0.5892266493577224,-0.15317535400390625,0.0006594031479707948,0.9872611464968153,0.9547468035530363,0.9872611464968153,0,0.0,0.02388436822314625
expert,0.125,airlight_proxy_q4,q3,143,0.5370736955762743,0.5019094093696221,0.46055652073451453,0.3847233200073242,0.5860226222446987,-0.12112045288085938,0.0005763293979884861,0.965034965034965,0.9207633838960194,0.965034965034965,0,0.0,0.02616152370990237
expert,0.125,airlight_proxy_q4,q4,150,0.6598209762573242,0.6325762742360433,0.6594339834677206,0.5888757834563384,0.6505173348091744,-0.06827735900878906,0.000575563112894694,0.9866666666666667,0.9526921436197237,0.9866666666666667,0,0.0,0.02497113914571871
expert,0.125,depth_q4,q1,150,0.5568600209554037,0.5150925229390463,0.5381561485496728,0.4636640084756387,0.5603395410486169,-0.3823966979980469,0.0005997796853383382,0.98,0.9428523341357584,0.98,1,4.0,0.036793752933975674
expert,0.125,depth_q4,q2,150,0.5383209864298503,0.503316489537557,0.4961331857217325,0.4216868684098527,0.6370647533519848,-0.13965606689453125,0.0004889969031016032,0.96,0.9154854608728422,0.96,0,0.0,0.02497113914571871
expert,0.125,depth_q4,q3,150,0.5949745432535807,0.5575363979339599,0.5404067168364654,0.4711418744680044,0.6861611443596918,0.0582427978515625,0.0005396107832590739,1.0,0.9750288608542813,1.0,0,0.0,0.02497113914571871
expert,0.125,depth_q4,q4,150,0.5557368596394857,0.51990576171875,0.5048967825399863,0.4188105145016232,0.5978321384739231,-0.12112045288085938,0.0005919488271077474,0.9733333333333334,0.9334450938998244,0.9733333333333334,0,0.0,0.02497113914571871
expert,0.125,dark_channel_q4,q1,150,0.5719329579671224,0.5353241437276204,0.48938081071183487,0.4116250888721363,0.6038749282424515,-0.3823966979980469,0.00044232805569966637,0.98,0.9428523341357584,0.98,1,4.0,0.036793752933975674
expert,0.125,dark_channel_q4,q2,150,0.5479287719726562,0.5134396177927653,0.4352919088827597,0.3570203549153096,0.6378019178235853,-0.08167266845703125,0.00046239892641703286,0.9866666666666667,0.9526921436197237,0.9866666666666667,0,0.0,0.02497113914571871
expert,0.125,dark_channel_q4,q3,150,0.5631777064005534,0.5228018932342529,0.4933043299494563,0.4189530114869814,0.6398876293285473,-0.15317535400390625,0.0005489842096964518,0.9666666666666667,0.9243471574929044,0.9666666666666667,0,0.0,0.02497113914571871
