group,bin,expert_selected_rate,unique_win_rate,count,mean_dPSNR,mean_bootstrap_LCB,hard_bottom25_dPSNR,hard_bootstrap_LCB,easy_top25_dPSNR,worst_dPSNR,dSSIM,positive_ratio,positive_Wilson_LCB,nonnegative_ratio,severe_loss_count,severe_loss_per_600,severe_Wilson_UCB
low_texture_q4,q2,0.9,0.9,150,3.1589924621582033,2.9077042223612466,4.247108871872361,3.6332571158537994,2.3418122368889884,0.0,0.0,0.9866666666666667,0.9526921436197237,1.0,0,0.0,0.02497113914571871
low_texture_q4,q3,0.92,0.92,150,3.087148348490397,2.7963711217244467,3.893737741418787,3.1063522287317222,2.282353787808805,0.0,0.0,0.9866666666666667,0.9526921436197237,1.0,0,0.0,0.02497113914571871
low_texture_q4,q4,0.9266666666666666,0.9266666666666666,150,3.3445111083984376,3.0590093828837075,4.250445391680743,3.459836049982019,2.3727780934926628,0.0,0.0,0.9933333333333333,0.9632062470660242,1.0,0,0.0,0.02497113914571871
edge_density_q4,q1,0.9133333333333333,0.9133333333333333,150,3.2359194310506183,2.9717389424641927,4.423959938255516,3.650538622366416,2.0619656330830343,0.0,0.0,0.98,0.9428523341357584,1.0,0,0.0,0.02497113914571871
edge_density_q4,q2,0.9133333333333333,0.9133333333333333,150,3.508661766052246,3.218708227157593,5.419131665616422,4.638031907983728,1.9802680144438873,0.0,0.0,0.9866666666666667,0.9526921436197237,1.0,0,0.0,0.02497113914571871
edge_density_q4,q3,0.8933333333333333,0.8933333333333333,150,3.022780113220215,2.7613008944193522,4.133086281853753,3.3914142015818003,2.5873400713946366,0.010295867919921875,0.0,1.0,0.9750288608542813,1.0,0,0.0,0.02497113914571871
edge_density_q4,q4,0.9066666666666666,0.9066666666666666,150,3.022335065205892,2.752138921737671,3.3989193375046187,2.6717313998454326,2.313112413561022,0.0,0.0,0.9933333333333333,0.9632062470660242,1.0,0,0.0,0.02497113914571871
sky_highlight_proxy_q4,q1,0.8866666666666667,0.8866666666666667,150,3.1204941431681315,2.8688775285085044,3.968972850490261,3.1503937540827573,2.183952640842747,0.0,0.0,0.9933333333333333,0.9632062470660242,1.0,0,0.0,0.02497113914571871
sky_highlight_proxy_q4,q2,0.8666666666666667,0.8666666666666667,150,2.8760698318481444,2.626188129425049,3.450123709601325,2.8179737529239137,2.1416893005371094,0.0,0.0,0.9866666666666667,0.9526921436197237,1.0,0,0.0,0.02497113914571871
sky_highlight_proxy_q4,q3,0.9533333333333334,0.9533333333333334,150,3.125725326538086,2.8822792860666913,4.315533406025654,3.6912196442887586,2.2949561041754647,0.003475189208984375,0.0,1.0,0.9750288608542813,1.0,0,0.0,0.02497113914571871
sky_highlight_proxy_q4,q4,0.92,0.92,150,3.6674070739746094,3.3313795261383055,4.933074229472393,4.176396001351846,2.4529101397540116,0.0,0.0,0.98,0.9428523341357584,1.0,0,0.0,0.02497113914571871
split,val_hard,0.9066666666666666,0.9066666666666666,300,3.596241664886475,3.383864605267843,4.340955174763997,3.8148061434427896,2.822468719482422,0.0,0.0,0.9866666666666667,0.9662239391535501,1.0,0,0.0,0.012643429997735661
split,val_regular,0.9066666666666666,0.9066666666666666,300,2.798606522878011,2.617767631848653,3.7788455454508463,3.3286708081563314,2.2477878824869792,0.0,0.0,0.9933333333333333,0.9760219257685385,1.0,0,0.0,0.012643429997735661
