A0_PSNR,A0_SSIM,dPSNR,dSSIM,dimension,fixed_profile,fold,heldout_bin,local_alpha_PSNR,local_alpha_SSIM,name,patch_action_count_a0,patch_action_count_a0p125,patch_action_count_a0p25,patch_action_count_a0p375,patch_action_count_a0p5,patch_action_count_a0p75,patch_action_fraction_a0,patch_action_fraction_a0p125,patch_action_fraction_a0p25,patch_action_fraction_a0p375,patch_action_fraction_a0p5,patch_action_fraction_a0p75,patch_count,policy_id,profile,split
33.40861892700195,0.9954850077629089,-0.17339706420898438,1.9848346710205078e-05,split,riskcap36_no075,3,val_hard,33.23522186279297,0.9955048561096191,1261_0.52_1.86.png,12,0,2,2,0,0,0.75,0.0,0.125,0.125,0.0,0.0,16,tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0044121328|high_alpha=0.375|high_cond=diff_signed_mean_le_-0.0063337156,riskcap36_no075,val_hard
36.60027313232422,0.9980683326721191,0.03212738037109375,-1.5139579772949219e-05,split,riskcap36_no075,1,val_hard,36.63240051269531,0.9980531930923462,1262_0.55_0.76.png,10,0,6,0,0,0,0.625,0.0,0.375,0.0,0.0,0.0,16,tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0033162105|high_alpha=0.375|high_cond=diff_signed_mean_le_-0.0063877611,riskcap36_no075,val_hard
36.55731964111328,0.9962044954299927,0.3418159484863281,6.902217864990234e-05,split,riskcap36_no075,0,val_hard,36.89913558959961,0.9962735176086426,1267_0.75_1.55.png,2,0,12,2,0,0,0.125,0.0,0.75,0.125,0.0,0.0,16,tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0031651112|high_alpha=0.375|high_cond=diff_signed_mean_le_-0.0081151606,riskcap36_no075,val_hard
33.21113967895508,0.9961189031600952,1.4564132690429688,0.0005286335945129395,split,riskcap36_no075,3,val_hard,34.66755294799805,0.9966475367546082,1275_0.54_1.73.png,4,0,4,8,0,0,0.25,0.0,0.25,0.5,0.0,0.0,16,tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0044121328|high_alpha=0.375|high_cond=diff_signed_mean_le_-0.0063337156,riskcap36_no075,val_hard
27.430631637573242,0.9904483556747437,0.12242889404296875,0.00016862154006958008,split,riskcap36_no075,4,val_hard,27.55306053161621,0.9906169772148132,127_0.99_1.4.png,6,0,10,0,0,0,0.375,0.0,0.625,0.0,0.0,0.0,16,single|alpha=0.25|cond=diff_signed_mean_le_0.0058720582,riskcap36_no075,val_hard
35.11349105834961,0.9978367686271667,1.0852470397949219,0.00022405385971069336,split,riskcap36_no075,1,val_hard,36.19873809814453,0.9980608224868774,1283_0.55_1.12.png,0,0,5,11,0,0,0.0,0.0,0.3125,0.6875,0.0,0.0,16,tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0033162105|high_alpha=0.375|high_cond=diff_signed_mean_le_-0.0063877611,riskcap36_no075,val_hard
31.331523895263672,0.993574321269989,-0.45606040954589844,0.0007030963897705078,split,riskcap36_no075,3,val_hard,30.875463485717773,0.9942774176597595,1287_0.56_1.87.png,0,0,5,11,0,0,0.0,0.0,0.3125,0.6875,0.0,0.0,16,tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0044121328|high_alpha=0.375|high_cond=diff_signed_mean_le_-0.0063337156,riskcap36_no075,val_hard
33.411399841308594,0.996670126914978,0.5262641906738281,0.00018537044525146484,split,riskcap36_no075,4,val_hard,33.93766403198242,0.9968554973602295,1295_0.76_1.32.png,0,0,16,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,16,single|alpha=0.25|cond=diff_signed_mean_le_0.0058720582,riskcap36_no075,val_hard
35.09931564331055,0.997157096862793,0.14350509643554688,7.194280624389648e-05,split,riskcap36_no075,0,val_hard,35.242820739746094,0.9972290396690369,1296_0.61_1.52.png,2,0,9,5,0,0,0.125,0.0,0.5625,0.3125,0.0,0.0,16,tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0031651112|high_alpha=0.375|high_cond=diff_signed_mean_le_-0.0081151606,riskcap36_no075,val_hard
33.86967849731445,0.995741069316864,0.15404129028320312,0.00012236833572387695,split,riskcap36_no075,2,val_hard,34.023719787597656,0.9958634376525879,1301_0.95_1.37.png,5,0,11,0,0,0,0.3125,0.0,0.6875,0.0,0.0,0.0,16,tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0043432396|high_alpha=0.375|high_cond=diff_signed_mean_le_-0.0063224571,riskcap36_no075,val_hard
37.3335075378418,0.998112142086029,1.2919349670410156,0.00034564733505249023,split,riskcap36_no075,0,val_hard,38.62544250488281,0.9984577894210815,1306_0.6_0.6.png,2,0,10,4,0,0,0.125,0.0,0.625,0.25,0.0,0.0,16,tier|low_alpha=0.25|low_cond=diff_signed_mean_le_0.0031651112|high_alpha=0.375|high_cond=diff_signed_mean_le_-0.0081151606,riskcap36_no075,val_hard
35.08195495605469,0.9917144179344177,0.011653900146484375,-4.470348358154297e-06,split,riskcap36_no075,4,val_hard,35.09360885620117,0.9917099475860596,1311_0.77_1.85.png,9,0,7,0,0,0,0.5625,0.0,0.4375,0.0,0.0,0.0,16,single|alpha=0.25|cond=diff_signed_mean_le_0.0058720582,riskcap36_no075,val_hard
