split,name,airlight,beta,width,height,spearman_depth_neglogt,spearman_invert_depth_neglogt,pearson_depth_1minus_t,pearson_invert_depth_1minus_t,normal_best_alpha,normal_best_l1,normal_best_rmse,invert_best_alpha,invert_best_l1,invert_best_rmse,best_orientation,best_proxy_l1_full,best_proxy_rmse_full,low_texture_proxy_l1,bright_region_proxy_l1,dense_region_proxy_l1,trans_mean,trans_std,depth_mean,depth_std,depth_path,trans_path
train,1208_0.63_0.83.png,0.63,0.83,400,400,-0.5788286078493505,0.5788304837401353,-0.696321600185763,0.6963216003415428,5.0,0.2611946761608124,0.3096281886100769,2.75,0.09503178298473358,0.13562682271003723,invert,0.09532371163368225,0.13601697981357574,0.10575184226036072,0.06592125445604324,0.033375680446624756,0.21216681599617004,0.14035248756408691,0.3356272578239441,0.2401653528213501,/sda/home/wangyuxin/ConvIR-B/depth_cache/depth_anything_v2_small_hf/train/1208_0.63_0.83.png.npy,/sda/home/wangyuxin/ConvIR-B/datasets/Haze4K/Haze4K/train/trans/1208.png
train,1209_0.92_0.65.png,0.92,0.65,400,400,-0.8401470735910185,0.840148068033687,-0.8629575260508051,0.8629575277670003,5.0,0.5144557356834412,0.5378164649009705,1.7000000000000002,0.130922332406044,0.15864843130111694,invert,0.1308346688747406,0.15861929953098297,0.10078300535678864,0.09933150559663773,0.14202530682086945,0.38806894421577454,0.2746312916278839,0.3752683699131012,0.316533625125885,/sda/home/wangyuxin/ConvIR-B/depth_cache/depth_anything_v2_small_hf/train/1209_0.92_0.65.png.npy,/sda/home/wangyuxin/ConvIR-B/datasets/Haze4K/Haze4K/train/trans/1209.png
train,120_0.92_1.44.png,0.92,1.44,400,400,-0.5406205083131995,0.5406308189528931,-0.6627363323162446,0.6627363295454746,5.0,0.3162945508956909,0.35537979006767273,3.2,0.09063389897346497,0.12423162907361984,invert,0.09051140397787094,0.1240980252623558,0.10837350785732269,0.16887536644935608,0.04087653383612633,0.25728893280029297,0.15719257295131683,0.4234631359577179,0.2839418649673462,/sda/home/wangyuxin/ConvIR-B/depth_cache/depth_anything_v2_small_hf/train/120_0.92_1.44.png.npy,/sda/home/wangyuxin/ConvIR-B/datasets/Haze4K/Haze4K/train/trans/120.png
train,1210_0.69_0.81.png,0.69,0.81,400,400,-0.8403724905713431,0.840372490571713,-0.8619811611477374,0.861981160971145,5.0,0.5104716420173645,0.5326274633407593,1.8,0.1293131709098816,0.15855646133422852,invert,0.12914495170116425,0.15832509100437164,0.09578622877597809,0.09408866614103317,0.1296643614768982,0.3753287196159363,0.2717016339302063,0.377238005399704,0.3167712986469269,/sda/home/wangyuxin/ConvIR-B/depth_cache/depth_anything_v2_small_hf/train/1210_0.69_0.81.png.npy,/sda/home/wangyuxin/ConvIR-B/datasets/Haze4K/Haze4K/train/trans/1210.png
train,1211_0.88_1.93.png,0.88,1.93,400,400,-0.8456871547546251,0.8456798117397959,-0.8614546813787594,0.8614546758749395,5.0,0.4913979172706604,0.510902464389801,2.3,0.12142323702573776,0.15409089624881744,invert,0.12179974466562271,0.15458710491657257,0.07195967435836792,0.06836485117673874,0.08865247666835785,0.29172948002815247,0.24690000712871552,0.37082618474960327,0.3144250214099884,/sda/home/wangyuxin/ConvIR-B/depth_cache/depth_anything_v2_small_hf/train/1211_0.88_1.93.png.npy,/sda/home/wangyuxin/ConvIR-B/datasets/Haze4K/Haze4K/train/trans/1211.png
train,1212_0.8_1.74.png,0.8,1.74,400,400,-0.8440648871152787,0.8440838060113866,-0.8611513055257161,0.8611513068756341,5.0,0.5023847222328186,0.52125483751297,2.1999999999999997,0.12344185262918472,0.15509247779846191,invert,0.12355157732963562,0.1552695631980896,0.0751771554350853,0.0726943090558052,0.09493003040552139,0.3049487769603729,0.25150901079177856,0.3686933219432831,0.3169236481189728,/sda/home/wangyuxin/ConvIR-B/depth_cache/depth_anything_v2_small_hf/train/1212_0.8_1.74.png.npy,/sda/home/wangyuxin/ConvIR-B/datasets/Haze4K/Haze4K/train/trans/1212.png
train,1213_0.56_1.24.png,0.56,1.24,400,400,-0.9639263682788136,0.9639356999816118,-0.9715938667738092,0.9715938675329154,1.2500000000000002,0.6408767700195312,0.7159072160720825,1.6500000000000001,0.10581035912036896,0.12066265195608139,invert,0.10590764135122299,0.12072544544935226,0.13739436864852905,0.14770932495594025,0.14980308711528778,0.28554436564445496,0.2531527578830719,0.19144298136234283,0.2619863450527191,/sda/home/wangyuxin/ConvIR-B/depth_cache/depth_anything_v2_small_hf/train/1213_0.56_1.24.png.npy,/sda/home/wangyuxin/ConvIR-B/datasets/Haze4K/Haze4K/train/trans/1213.png
train,1214_0.74_1.7.png,0.74,1.7,400,400,-0.9680117139611125,0.967964800876766,-0.9775183678656694,0.9775183615261835,1.6500000000000001,0.6618924736976624,0.734632670879364,1.8,0.096520334482193,0.11028745025396347,invert,0.09640193730592728,0.11021572351455688,0.12170284241437912,0.13270431756973267,0.1338346153497696,0.2546510398387909,0.2427183985710144,0.1869991570711136,0.2603517472743988,/sda/home/wangyuxin/ConvIR-B/depth_cache/depth_anything_v2_small_hf/train/1214_0.74_1.7.png.npy,/sda/home/wangyuxin/ConvIR-B/datasets/Haze4K/Haze4K/train/trans/1214.png
train,1215_0.9_0.73.png,0.9,0.73,400,400,-0.9651771496494735,0.9652039212056881,-0.9632392316241615,0.9632392297431686,0.9500000000000001,0.616004467010498,0.6936387419700623,1.55,0.11564519256353378,0.1297789067029953,invert,0.1157214492559433,0.12979243695735931,0.1380797028541565,0.15895196795463562,0.1574729084968567,0.32269158959388733,0.2637591063976288,0.19973015785217285,0.26908719539642334,/sda/home/wangyuxin/ConvIR-B/depth_cache/depth_anything_v2_small_hf/train/1215_0.9_0.73.png.npy,/sda/home/wangyuxin/ConvIR-B/datasets/Haze4K/Haze4K/train/trans/1215.png
train,1216_0.65_1.09.png,0.65,1.09,400,400,-0.9628203542577358,0.9628248685073085,-0.9687464876393546,0.9687464876074684,1.1500000000000001,0.635991632938385,0.7116560935974121,1.6500000000000001,0.10903281718492508,0.12339488416910172,invert,0.10908444970846176,0.12350670993328094,0.1288512647151947,0.14597193896770477,0.14644530415534973,0.29618945717811584,0.2565322816371918,0.19377830624580383,0.2644089162349701,/sda/home/wangyuxin/ConvIR-B/depth_cache/depth_anything_v2_small_hf/train/1216_0.65_1.09.png.npy,/sda/home/wangyuxin/ConvIR-B/datasets/Haze4K/Haze4K/train/trans/1216.png
train,1217_0.82_0.83.png,0.82,0.83,400,400,-0.9111820033503213,0.9111811518590274,-0.8413282301963518,0.8413282280134092,5.0,0.6279869079589844,0.663675844669342,1.6500000000000001,0.1871495097875595,0.2220451831817627,invert,0.18660782277584076,0.2214430719614029,0.17691339552402496,0.17689862847328186,0.18467400968074799,0.3142971098423004,0.3474734127521515,0.22238855063915253,0.29002493619918823,/sda/home/wangyuxin/ConvIR-B/depth_cache/depth_anything_v2_small_hf/train/1217_0.82_0.83.png.npy,/sda/home/wangyuxin/ConvIR-B/datasets/Haze4K/Haze4K/train/trans/1217.png
train,1218_0.62_2.0.png,0.62,2.0,400,400,-0.9141413574451293,0.914177665618332,-0.8652180235770467,0.865218028821278,5.0,0.6294821500778198,0.6603680849075317,1.9500000000000002,0.15882174670696259,0.19571225345134735,invert,0.15920908749103546,0.19601646065711975,0.1413913518190384,0.13325463235378265,0.1464083045721054,0.26312553882598877,0.3262488842010498,0.2239733636379242,0.29039642214775085,/sda/home/wangyuxin/ConvIR-B/depth_cache/depth_anything_v2_small_hf/train/1218_0.62_2.0.png.npy,/sda/home/wangyuxin/ConvIR-B/datasets/Haze4K/Haze4K/train/trans/1218.png
train,1219_0.76_1.2.png,0.76,1.2,400,400,-0.9112720082258614,0.911267547373524,-0.849083621886932,0.8490836339534241,5.0,0.6204853057861328,0.6542745232582092,1.7500000000000002,0.17756550014019012,0.21349968016147614,invert,0.17771059274673462,0.21344631910324097,0.16561533510684967,0.16525529325008392,0.1730988472700119,0.2970532178878784,0.34127333760261536,0.2259276807308197,0.28918594121932983,/sda/home/wangyuxin/ConvIR-B/depth_cache/depth_anything_v2_small_hf/train/1219_0.76_1.2.png.npy,/sda/home/wangyuxin/ConvIR-B/datasets/Haze4K/Haze4K/train/trans/1219.png
train,121_0.96_0.85.png,0.96,0.85,400,400,-0.8837987544356903,0.8837875062452991,-0.8937421828065812,0.8937421918960743,5.0,0.569419801235199,0.6195010542869568,1.6,0.1778576821088791,0.2036699503660202,invert,0.17790643870830536,0.203595831990242,0.17702338099479675,0.17441172897815704,0.18437853455543518,0.2730845808982849,0.27352175116539,0.18591095507144928,0.17734403908252716,/sda/home/wangyuxin/ConvIR-B/depth_cache/depth_anything_v2_small_hf/train/121_0.96_0.85.png.npy,/sda/home/wangyuxin/ConvIR-B/datasets/Haze4K/Haze4K/train/trans/121.png
train,1220_0.82_1.9.png,0.82,1.9,400,400,-0.9150462171782029,0.9150164294380615,-0.8603279859680448,0.8603279752079533,5.0,0.63812655210495,0.6696215271949768,1.9500000000000002,0.15852829813957214,0.19721610844135284,invert,0.1580786556005478,0.19653891026973724,0.139076367020607,0.14092837274074554,0.14456911385059357,0.2671806812286377,0.3279677927494049,0.22247634828090668,0.29522383213043213,/sda/home/wangyuxin/ConvIR-B/depth_cache/depth_anything_v2_small_hf/train/1220_0.82_1.9.png.npy,/sda/home/wangyuxin/ConvIR-B/datasets/Haze4K/Haze4K/train/trans/1220.png
train,1221_0.76_0.69.png,0.76,0.69,400,400,-0.9099960861206831,0.909994249612984,-0.9046935097749679,0.9046935122968702,5.0,0.5246961116790771,0.5844022631645203,1.6500000000000001,0.08919357508420944,0.11325336247682571,invert,0.08933693915605545,0.11340052634477615,0.12073104083538055,0.11642611771821976,0.13109353184700012,0.31228357553482056,0.22718435525894165,0.22655802965164185,0.2947275936603546,/sda/home/wangyuxin/ConvIR-B/depth_cache/depth_anything_v2_small_hf/train/1221_0.76_0.69.png.npy,/sda/home/wangyuxin/ConvIR-B/datasets/Haze4K/Haze4K/train/trans/1221.png
train,1222_0.92_1.14.png,0.92,1.14,400,400,-0.9088892855042701,0.9088886455557704,-0.9118774818928665,0.9118774876813563,5.0,0.5497630834579468,0.6039957404136658,1.85,0.08197949081659317,0.109464630484581,invert,0.08170272409915924,0.10887684673070908,0.10023634880781174,0.11181957274675369,0.10874073952436447,0.2762613892555237,0.22142094373703003,0.22491641342639923,0.300908625125885,/sda/home/wangyuxin/ConvIR-B/depth_cache/depth_anything_v2_small_hf/train/1222_0.92_1.14.png.npy,/sda/home/wangyuxin/ConvIR-B/datasets/Haze4K/Haze4K/train/trans/1222.png
train,1223_0.74_2.0.png,0.74,2.0,400,400,-0.9141607023141263,0.9141593355062618,-0.9122493102015053,0.9122493056927137,5.0,0.5770294666290283,0.6288307905197144,2.35,0.07369417697191238,0.10992123186588287,invert,0.07322786748409271,0.10900271683931351,0.0704762414097786,0.09944571554660797,0.0653342455625534,0.21547146141529083,0.20985044538974762,0.22452351450920105,0.30344557762145996,/sda/home/wangyuxin/ConvIR-B/depth_cache/depth_anything_v2_small_hf/train/1223_0.74_2.0.png.npy,/sda/home/wangyuxin/ConvIR-B/datasets/Haze4K/Haze4K/train/trans/1223.png
train,1224_0.87_0.77.png,0.87,0.77,400,400,-0.9070668626635854,0.9070655384819276,-0.9055304731686626,0.9055304778580356,5.0,0.5324010848999023,0.5899539589881897,1.7000000000000002,0.0885852575302124,0.11232566833496094,invert,0.08863728493452072,0.11225007474422455,0.11550307273864746,0.11709962785243988,0.12380781024694443,0.3056787848472595,0.22618427872657776,0.22533945739269257,0.29652222990989685,/sda/home/wangyuxin/ConvIR-B/depth_cache/depth_anything_v2_small_hf/train/1224_0.87_0.77.png.npy,/sda/home/wangyuxin/ConvIR-B/datasets/Haze4K/Haze4K/train/trans/1224.png
train,1225_0.98_0.8.png,0.98,0.8,400,400,-0.9531547893558492,0.9531547884066663,-0.9482364846495249,0.9482364873813867,5.0,0.5047112703323364,0.5514237880706787,1.8,0.1079779863357544,0.12349751591682434,invert,0.10766234993934631,0.12318897247314453,0.12987087666988373,0.14154204726219177,0.14297792315483093,0.37702515721321106,0.27084144949913025,0.3859046995639801,0.30331990122795105,/sda/home/wangyuxin/ConvIR-B/depth_cache/depth_anything_v2_small_hf/train/1225_0.98_0.8.png.npy,/sda/home/wangyuxin/ConvIR-B/datasets/Haze4K/Haze4K/train/trans/1225.png
train,1226_0.82_0.78.png,0.82,0.78,400,400,-0.9529508308447445,0.9529508314270635,-0.9467205686501312,0.9467205729060468,5.0,0.5058008432388306,0.5524024963378906,1.7500000000000002,0.10856720805168152,0.1245049387216568,invert,0.10845520347356796,0.12438679486513138,0.13614223897457123,0.14959532022476196,0.1512124389410019,0.3786866366863251,0.27134373784065247,0.3839174211025238,0.30387958884239197,/sda/home/wangyuxin/ConvIR-B/depth_cache/depth_anything_v2_small_hf/train/1226_0.82_0.78.png.npy,/sda/home/wangyuxin/ConvIR-B/datasets/Haze4K/Haze4K/train/trans/1226.png
train,1227_0.9_1.41.png,0.9,1.41,400,400,-0.9527576011620623,0.9527576017857252,-0.9525405772472866,0.9525405800747587,5.0,0.46684226393699646,0.5112790465354919,2.1,0.09631456434726715,0.11203890293836594,invert,0.0961686372756958,0.11186801642179489,0.10717341303825378,0.11369901150465012,0.11498670279979706,0.3297492265701294,0.256781667470932,0.39674627780914307,0.2985554337501526,/sda/home/wangyuxin/ConvIR-B/depth_cache/depth_anything_v2_small_hf/train/1227_0.9_1.41.png.npy,/sda/home/wangyuxin/ConvIR-B/datasets/Haze4K/Haze4K/train/trans/1227.png
train,1228_0.85_1.77.png,0.85,1.77,400,400,-0.9533571809879393,0.9533571811046936,-0.9513570217785381,0.9513570210902341,5.0,0.46366018056869507,0.5074775218963623,2.3,0.09218912571668625,0.10937092453241348,invert,0.09207338839769363,0.10922882705926895,0.08818463981151581,0.09433798491954803,0.09437848627567291,0.3034638464450836,0.2477070838212967,0.3912408649921417,0.30039098858833313,/sda/home/wangyuxin/ConvIR-B/depth_cache/depth_anything_v2_small_hf/train/1228_0.85_1.77.png.npy,/sda/home/wangyuxin/ConvIR-B/datasets/Haze4K/Haze4K/train/trans/1228.png
