split,image_id,a0_psnr,a1_delta_psnr,a2_delta_psnr,a3_delta_psnr,expected_additive_delta_psnr,interaction_delta_psnr,a1_delta_ssim,a2_delta_ssim,a3_delta_ssim,input_gt_l1,a0_gt_l1,label_texture_high_abs_mean,edge_density
internal256,1568_0.8_1.8.png,39.8348503112793,0.2564125061035156,0.5542411804199219,0.3569908142089844,0.8106536865234375,-0.4536628723144531,7.081031799316406e-05,0.0001240372657775879,5.334615707397461e-05,0.10277657955884933,0.008028724230825901,0.013676594011485577,0.016893209889531136
internal256,1577_0.86_1.16.png,42.62694549560547,0.13978195190429688,0.12873458862304688,0.07367706298828125,0.26851654052734375,-0.1948394775390625,6.23464584350586e-05,3.707408905029297e-05,-3.4332275390625e-05,0.24562983214855194,0.005102737341076136,0.037747278809547424,0.03847784921526909
internal256,1591_0.87_0.52.png,42.91485595703125,-0.20220947265625,-0.4197349548339844,-0.24050140380859375,-0.6219444274902344,0.3814430236816406,-1.627206802368164e-05,-5.257129669189453e-05,-2.4557113647460938e-05,0.05505616217851639,0.004853023216128349,0.01736278273165226,0.02026563137769699
internal256,1594_0.71_0.5.png,40.607547760009766,0.0790252685546875,-0.12653732299804688,-0.038928985595703125,-0.047512054443359375,0.00858306884765625,-1.6093254089355469e-06,-2.282857894897461e-05,-1.2040138244628906e-05,0.023106049746274948,0.006672537419945002,0.020373938605189323,0.023873427882790565
internal256,15_0.88_1.43.png,37.183013916015625,0.1103668212890625,0.20266342163085938,-0.044033050537109375,0.3130302429199219,-0.35706329345703125,7.30752944946289e-05,0.00011289119720458984,-1.245737075805664e-05,0.0939028412103653,0.01088772527873516,0.027204381301999092,0.027052629739046097
internal256,1607_0.91_0.88.png,43.505367279052734,-0.05457305908203125,-0.016689300537109375,0.01494598388671875,-0.07126235961914062,0.08620834350585938,-2.9265880584716797e-05,-0.0001850128173828125,-3.802776336669922e-05,0.11554332822561264,0.00458541652187705,0.02480906806886196,0.028048275038599968
internal256,1628_0.8_1.49.png,44.50684356689453,-0.058349609375,-0.05359649658203125,-0.04715728759765625,-0.11194610595703125,0.064788818359375,-6.0558319091796875e-05,-0.00017660856246948242,-4.6253204345703125e-05,0.22099463641643524,0.004179415758699179,0.022596046328544617,0.023565687239170074
internal256,1644_0.53_1.52.png,43.718048095703125,0.24918365478515625,0.7237167358398438,0.48016357421875,0.972900390625,-0.49273681640625,1.7523765563964844e-05,1.5735626220703125e-05,1.919269561767578e-05,0.08036311715841293,0.004881066270172596,0.02107703872025013,0.02355675771832466
internal256,1656_0.64_1.45.png,45.931915283203125,0.03989410400390625,-0.21286392211914062,-0.14789581298828125,-0.17296981811523438,0.025074005126953125,7.092952728271484e-06,-3.212690353393555e-05,-8.344650268554688e-06,0.17558902502059937,0.003694918705150485,0.021536078304052353,0.02251693233847618
internal256,1673_0.63_1.48.png,41.3979377746582,0.5611419677734375,0.9997291564941406,0.7311668395996094,1.5608711242675781,-0.8297042846679688,2.4318695068359375e-05,5.08427619934082e-05,3.5762786865234375e-05,0.06946256756782532,0.005968250334262848,0.047515030950307846,0.05167089030146599
