source,feature,bucket,count,mean_dPSNR,hard_bottom25_dPSNR,easy_top25_dPSNR,dSSIM,positive_ratio,worst_count_le_-0.20,worst_per_600,strong_count_le_-0.05,strong_per_600
D9_locked,airlight_fallback_mean,q2,964,0.016006996028156202,0.024491986793106522,0.008369794030407158,3.06906418186995e-05,0.5591286307053942,48,29.875518672199167,74,46.058091286307054
D9_locked,airlight_fallback_mean,q3,1988,0.03853305148886483,0.11377999288455341,0.008409358126296843,7.307361549055072e-05,0.556841046277666,145,43.7625754527163,102,30.784708249496983
D9_locked,od_action_luma_abs_mean,q1_low,1000,0.00012917137145996094,-0.00011096954345703125,0.001289764404296875,8.434653282165527e-07,0.499,0,0.0,0,0.0
D9_locked,od_action_luma_abs_mean,q2,1000,-0.0006528358459472656,-6.15692138671875e-05,-0.00547955322265625,7.973790168762207e-06,0.469,6,3.6,35,21.000000000000004
D9_locked,od_action_luma_abs_mean,q3,1000,0.02280392646789551,0.01092864990234375,0.021910873413085938,2.804046869277954e-05,0.585,58,34.800000000000004,90,54.0
D9_locked,od_action_luma_abs_mean,q4_high,1000,0.061503889083862305,0.08488812255859375,-0.025931854248046875,0.00013714993000030518,0.574,174,104.39999999999999,115,69.0
D9_locked,od_sky_ratio,q1_low,1000,0.0004259891510009766,0.006463813781738281,0.0013946533203125,1.0332763195037841e-05,0.48,68,40.800000000000004,74,44.4
D9_locked,od_sky_ratio,q2,1000,0.025367141723632813,0.0461832275390625,0.01887249755859375,3.2896220684051516e-05,0.574,80,48.0,45,27.0
D9_locked,od_sky_ratio,q3,1000,0.04449802780151367,0.12767050170898436,-0.0441190185546875,0.00011194145679473877,0.506,76,45.6,90,54.0
D9_locked,od_sky_ratio,q4_high,1000,0.013492992401123047,0.013454490661621094,0.013571578979492188,1.883721351623535e-05,0.567,14,8.4,45,27.0
D9_locked,pred_gain,q1_low,1000,-0.004407140731811523,-0.0003076934814453125,-0.009760238647460938,1.8045902252197266e-06,0.447,9,5.3999999999999995,24,14.4
D9_locked,pred_gain,q2,1000,-0.0096239013671875,-0.00455816650390625,-0.022154342651367186,7.71629810333252e-06,0.486,47,28.2,43,25.799999999999997
D9_locked,pred_gain,q3,1000,-0.0008705501556396484,0.017279541015625,-0.0169453125,2.9719114303588866e-05,0.544,109,65.4,97,58.2
D9_locked,pred_gain,q4_high,1000,0.09868574333190917,0.08291519927978516,0.054728057861328124,0.00013476765155792235,0.65,73,43.8,79,47.4
D9_locked,pred_severe_prob,q1_low,1000,0.017220273971557617,0.05140441131591797,0.01176397705078125,6.484776735305786e-05,0.507,0,0.0,0,0.0
D9_locked,pred_severe_prob,q2,1000,0.008775384902954101,0.0058050537109375,0.001206695556640625,1.0353922843933106e-05,0.5,1,0.6,8,4.8
D9_locked,pred_severe_prob,q3,1000,0.031048295974731445,0.03638314056396484,0.032080215454101564,3.671026229858398e-05,0.604,29,17.400000000000002,79,47.4
D9_locked,pred_severe_prob,q4_high,1000,0.026740196228027344,0.011861053466796875,-0.036661865234375,6.209570169448852e-05,0.516,208,124.8,115,69.0
