policy_id,count,selected_count,coverage,mean_dPSNR,hard_bottom25_dPSNR,easy_top25_dPSNR,dSSIM,positive_ratio,nonnegative_ratio,severe_loss_count,severe_loss_per_600,strong_loss_count,strong_loss_per_600,selected_precision,selected_nonnegative_ratio,selected_severe_count,strict_gate_pass,abstention_gate_pass,score
A0_PSNR_le_31.298,600,60,0.1,0.07475920995076497,0.2990368398030599,0.0,3.5229325294494626e-05,0.07,0.97,15,15.0,16,16.0,0.7,0.7,15,False,False,0.15451841990152995
A0_PSNR_le_29.9942,600,30,0.05,0.045562251408894854,0.18224900563557941,0.0,5.031814177831014e-05,0.04,0.99,6,6.0,6,6.0,0.8,0.8,6,False,False,0.1191245028177897
A0_PSNR_le_40.0092,600,450,0.75,0.23362894376118978,0.6855227915445964,0.0,-0.00021182576815287273,0.43666666666666665,0.6866666666666666,169,169.0,178,178.0,0.5822222222222222,0.5822222222222222,169,False,False,0.09612075275844995
A0_PSNR_le_40.9714,600,480,0.8,0.24955138842264812,0.6855227915445964,0.06368977864583333,-0.0002271221081415812,0.46166666666666667,0.6616666666666666,181,181.00000000000003,191,191.0,0.5770833333333333,0.5770833333333333,181,False,False,0.08778625297546383
a0_anchor,600,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0,0.0,0.0,1.0,0,False,False,0.0
A0_PSNR_le_41.9493,600,510,0.85,0.18668463071187338,0.6855227915445964,-0.18777725219726563,-0.0002611908316612244,0.4816666666666667,0.6316666666666667,198,198.0,209,209.0,0.5666666666666667,0.5666666666666667,198,False,False,-0.009601338068644216
A0_PSNR_ge_45.5978,600,30,0.05,-0.03679717381795247,0.0,-0.1471886952718099,-1.5238324801127116e-05,0.018333333333333333,0.9683333333333334,18,18.0,19,19.0,0.36666666666666664,0.36666666666666664,18,False,False,-0.05446384048461914
A0_PSNR_le_43.2131,600,540,0.9,0.1346210511525472,0.6855227915445964,-0.3960315704345703,-0.00028172095616658526,0.49166666666666664,0.5916666666666667,221,221.0,232,232.0,0.5462962962962963,0.5462962962962963,221,False,False,-0.10868343614648895
A0_PSNR_ge_43.2131,600,60,0.1,-0.07261608759562174,0.0,-0.29046435038248697,-2.8673013051350912e-05,0.03833333333333333,0.9383333333333334,31,31.0,36,36.0,0.38333333333333336,0.38333333333333336,31,False,False,-0.11544942092895508
A0_PSNR_le_45.5978,600,570,0.95,0.09880213737487793,0.6855227915445964,-0.5393072255452473,-0.0002951556444168091,0.5116666666666667,0.5616666666666666,234,234.0,249,249.0,0.5385964912280702,0.5385964912280702,234,False,False,-0.17088734017756946
A0_PSNR_ge_41.9493,600,90,0.15,-0.12467966715494792,0.0,-0.4987186686197917,-4.920313755671183e-05,0.04833333333333333,0.8983333333333333,54,54.0,59,59.0,0.32222222222222224,0.32222222222222224,54,False,False,-0.2165685560438368
