action_area_estimate,action_area_lower,actionable,active_scene_lower,area_cap,candidate_id,cell,coverage_admissible,gain_estimate,gain_lower,gain_upper,material_scene_lower,risk_margin_upper,risk_method,safety_admissible,selected_harm_estimate,selected_harm_upper,selector,utility_method
0.001450666666666666,0.0,False,0.014868399248063074,0.05,R0_L2__scene_platt__raw__setwise__cap_0p05,R0_L2,False,0.009214521378550656,-0.011136371774029225,0.029565414531130537,0.006942967260933977,0.0006812847317215108,scene_platt,False,0.17647058823529416,0.5690478150013512,setwise,raw
0.0021119999999999997,0.0,False,0.014868399248063074,0.1,R0_L2__scene_platt__raw__setwise__cap_0p1,R0_L2,False,0.014919832891887334,-0.021913897371310033,0.051753563155084704,0.00937365475594508,0.0007890431592206835,scene_platt,False,0.1515151515151515,0.4730336695848914,setwise,raw
0.002837333333333332,0.0,False,0.014868399248063074,0.2,R0_L2__scene_platt__raw__setwise__cap_0p2,R0_L2,False,0.02605418408588574,-0.05261588976405897,0.10472425793583044,0.00937365475594508,0.0009817743888291535,scene_platt,False,0.12781954887218047,0.46370223361653196,setwise,raw
0.0036053333333333315,0.0,False,0.014868399248063074,1.0,R0_L2__scene_platt__raw__setwise__cap_1p0,R0_L2,False,0.040611645185718755,-0.09417899692763554,0.17540228729907303,0.00937365475594508,0.0011046825768960672,scene_platt,False,0.10059171597633138,0.40717166752089157,setwise,raw
0.0,0.0,False,0.0,0.01,R0_L2__scene_platt__parent_lower__setwise__cap_0p01,R0_L2,False,0.0,0.0,0.0,0.0,0.0,scene_platt,False,,,setwise,parent_lower
0.0,0.0,False,0.0,0.02,R0_L2__scene_platt__parent_lower__setwise__cap_0p02,R0_L2,False,0.0,0.0,0.0,0.0,0.0,scene_platt,False,,,setwise,parent_lower
0.0,0.0,False,0.0,0.05,R0_L2__scene_platt__parent_lower__setwise__cap_0p05,R0_L2,False,0.0,0.0,0.0,0.0,0.0,scene_platt,False,,,setwise,parent_lower
0.0,0.0,False,0.0,0.1,R0_L2__scene_platt__parent_lower__setwise__cap_0p1,R0_L2,False,0.0,0.0,0.0,0.0,0.0,scene_platt,False,,,setwise,parent_lower
0.0,0.0,False,0.0,0.2,R0_L2__scene_platt__parent_lower__setwise__cap_0p2,R0_L2,False,0.0,0.0,0.0,0.0,0.0,scene_platt,False,,,setwise,parent_lower
0.0,0.0,False,0.0,1.0,R0_L2__scene_platt__parent_lower__setwise__cap_1p0,R0_L2,False,0.0,0.0,0.0,0.0,0.0,scene_platt,False,,,setwise,parent_lower
