feature,direction,threshold,objective,count,selected_count,coverage,mean_psnr_delta,median_psnr_delta,hard_bottom25_psnr_delta,easy_top25_psnr_delta,mean_ssim_delta,positive_ratio,strong_reference_cut_psnr,strong_regression_count_delta_le_-0.05,worst_regression_count_delta_le_-0.20,true_vs_zero_surplus,true_vs_shuffle_surplus,true_vs_normal_surplus
DTA_v31_v31_wg18_base_s008_b14_seed3407_f0_fallback_invert_dta_stage2_gate_mean,>=,0.012412238866090775,-0.008329421917597455,600,300,0.5,0.029867191314697266,0.0,0.012643483479817709,0.05021110534667969,-7.006227970123291e-06,0.3383333333333333,42.755948066711426,16,34,0.03056528091430664,0.027009655634562174,0.02855964660644531
DTA_v31_v31_wg18_base_s008_b14_seed3407_f0_fallback_invert_dta_stage2_gate_mean,<=,0.012628151383250952,-0.08557749684651693,600,330,0.55,-0.00485277811686198,0.0,-0.006417160034179688,-0.008771489461263021,-1.9010702768961588e-05,0.2966666666666667,42.755948066711426,26,48,0.007019570668538411,0.006045567194620768,0.005357669194539388
DTA_v31_v31_wg18_base_s008_b14_seed3407_f0_fallback_invert_dta_stage2_gate_mean,>=,0.012628151383250952,0.0009205563863118431,600,270,0.45,0.029256712595621744,0.0,0.012776819864908855,0.05197580973307292,-4.295508066813151e-06,0.30833333333333335,42.755948066711426,13,28,0.029611097971598308,0.026095202763875325,0.027725890477498374
DTA_v31_v31_wg18_base_s008_b14_seed3407_f0_fallback_invert_dta_stage2_gate_mean,<=,0.012759830243885517,-0.08350052793820699,600,360,0.6,-0.001375757853190104,0.0,-0.008499832153320312,-0.002529881795247396,-2.1884342034657798e-05,0.33166666666666667,42.755948066711426,26,50,0.010875749588012695,0.009506893157958985,0.008856083552042643
DTA_v31_v31_wg18_base_s008_b14_seed3407_f0_fallback_invert_dta_stage2_gate_mean,>=,0.012759830243885517,-0.0011564125219980827,600,240,0.4,0.02577969233194987,0.0,0.01485949198404948,0.04573420206705729,-1.4218688011169434e-06,0.2733333333333333,42.755948066711426,13,26,0.025754919052124025,0.02263387680053711,0.024227476119995116
DTA_v31_v31_wg18_base_s008_b14_seed3407_f0_fallback_invert_dta_stage2_gate_mean,<=,0.01294562015682459,-0.08213196833928425,600,390,0.65,0.003321663538614909,0.0,-0.004057909647623698,0.005213292439778646,-2.218186855316162e-05,0.37,42.755948066711426,27,54,0.014508965810139975,0.012738154729207357,0.012290967305501303
DTA_v31_v31_wg18_base_s008_b14_seed3407_f0_fallback_invert_dta_stage2_gate_mean,>=,0.01294562015682459,-0.002524972120920819,600,210,0.35,0.021082270940144858,0.0,0.010417569478352864,0.03799102783203125,-1.1243422826131185e-06,0.235,42.755948066711426,12,22,0.022121702829996745,0.019402615229288735,0.02079259236653646
DTA_v31_v31_wg18_base_s008_b14_seed3407_f0_fallback_invert_dta_stage2_gate_mean,<=,0.013080092519521714,-0.0773038251399994,600,420,0.7,0.009143635431925456,0.0,-0.004409497578938802,0.021828155517578125,-2.406090497970581e-05,0.40166666666666667,42.755948066711426,28,56,0.019272263844807944,0.016768627166748047,0.016708281834920246
DTA_v31_v31_wg18_base_s008_b14_seed3407_f0_fallback_invert_dta_stage2_gate_mean,>=,0.013080092519521714,-0.007368209203084307,600,180,0.3,0.01526029904683431,0.0,0.01076915740966797,0.02137616475423177,7.54694143931071e-07,0.20333333333333334,42.755948066711426,11,20,0.017358404795328776,0.015372142791748047,0.01637527783711751
DTA_v31_v31_wg18_base_s008_b14_seed3407_f0_fallback_invert_dta_stage2_gate_mean,<=,0.013233310310170054,-0.08824966367085774,600,450,0.75,0.008840417861938477,0.0,-0.007691205342610677,0.026328887939453125,-2.4848779042561848e-05,0.4266666666666667,42.755948066711426,31,62,0.020159390767415363,0.017531954447428385,0.017506748835245767
DTA_v31_v31_wg18_base_s008_b14_seed3407_f0_fallback_invert_dta_stage2_gate_mean,>=,0.013233310310170054,0.0035618718465169263,600,150,0.25,0.01556351661682129,0.0,0.014050865173339843,0.01687543233235677,1.5425682067871093e-06,0.17833333333333334,42.755948066711426,8,14,0.016471277872721353,0.014608815511067708,0.015576810836791992
DTA_v31_v31_wg18_base_s008_b14_seed3407_f0_fallback_invert_dta_stage2_gate_mean,<=,0.01340301837772131,-0.08194864296913147,600,480,0.8,0.0147190793355306,0.0,-0.008902155558268229,0.03224444071451823,-2.43416428565979e-05,0.47,42.755948066711426,32,63,0.025089298884073893,0.021884584426879884,0.022042369842529295
