feature,direction,threshold,objective,count,selected_count,coverage,mean_psnr_delta,median_psnr_delta,hard_bottom25_psnr_delta,easy_top25_psnr_delta,mean_ssim_delta,positive_ratio,strong_reference_cut_psnr,strong_regression_count_delta_le_-0.05,worst_regression_count_delta_le_-0.20,true_vs_zero_surplus,true_vs_shuffle_surplus,true_vs_normal_surplus
DTA_v31_v31_wg18_light_hinge_seed3407_f0_scout5full_post_gt_invert_dta_stage2_gate_mean,>=,0.01343418494798243,0.0014410988489786762,600,150,0.25,0.014236586888631185,0.0,0.012050819396972657,0.014396514892578125,1.2657046318054199e-06,0.17166666666666666,42.755948066711426,8,14,0.01588361422220866,0.014144287109375,0.015102809270222981
DTA_v31_v31_wg18_light_hinge_seed3407_f0_scout5full_post_gt_invert_dta_stage2_gate_mean,<=,0.01360617745667696,-0.07887884179751077,600,480,0.8,0.012388105392456055,0.0,-0.011721916198730468,0.03138028462727865,-2.5644004344940186e-05,0.4683333333333333,42.755948066711426,31,59,0.024352823893229167,0.02157536824544271,0.021864614486694335
DTA_v31_v31_wg18_light_hinge_seed3407_f0_scout5full_post_gt_invert_dta_stage2_gate_mean,>=,0.01360617745667696,-0.0041574417750040666,600,120,0.2,0.008909772237141927,0.0,0.013300425211588541,0.009331309000651041,7.960200309753418e-07,0.13,42.755948066711426,7,13,0.011215359369913736,0.010003846486409505,0.010785983403523764
DTA_v31_v31_wg18_light_hinge_seed3407_f0_scout5full_post_gt_invert_dta_stage2_gate_mean,<=,0.013753141788765789,-0.0700196317831675,600,510,0.85,0.01852213223775228,0.0035400390625,-0.0058124160766601565,0.03783292134602865,-2.5248229503631593e-05,0.505,42.755948066711426,34,59,0.029332609176635743,0.025971396764119466,0.026638835271199545
DTA_v31_v31_wg18_light_hinge_seed3407_f0_scout5full_post_gt_invert_dta_stage2_gate_mean,>=,0.013753141788765789,-0.013008736292521158,600,90,0.15,0.002775745391845703,0.0,0.007390925089518229,0.0028786722819010417,4.0024518966674804e-07,0.09333333333333334,42.755948066711426,4,13,0.0062355740865071615,0.005607817967732747,0.006011762619018555
DTA_v31_v31_wg18_light_hinge_seed3407_f0_scout5full_post_gt_invert_dta_stage2_gate_mean,<=,0.013948535732924938,-0.07386188912391663,600,540,0.9,0.019960079193115234,0.010589599609375,-0.005047861735026042,0.03730916341145833,-2.4838348229726154e-05,0.5333333333333333,42.755948066711426,36,63,0.031873528162638345,0.028347654342651366,0.02908887545267741
DTA_v31_v31_wg18_light_hinge_seed3407_f0_scout5full_post_gt_invert_dta_stage2_gate_mean,<=,0.014318904327228665,-0.08364480137825012,600,570,0.95,0.019520819981892902,0.023969650268554688,-0.0019133885701497395,0.04223464965820312,-2.52416729927063e-05,0.565,42.755948066711426,37,70,0.03313511848449707,0.02939605712890625,0.030314833323160807
DTA_v31_v31_wg18_light_hinge_seed3407_f0_scout5full_post_gt_invert_dta_stage3_beta_abs_mean,>=,0.05971323344856501,-0.07330852516492209,600,570,0.95,0.024157352447509765,0.0273590087890625,0.0060852559407552085,0.04243810017903646,-2.5373399257659912e-05,0.5783333333333334,42.755948066711426,36,69,0.036540552775065106,0.032304754257202146,0.033412872950236004
DTA_v31_v31_wg18_light_hinge_seed3407_f0_scout5full_post_gt_invert_dta_stage3_beta_abs_mean,>=,0.060223647579550746,-0.0710156037012736,600,540,0.9,0.02249232292175293,0.017103195190429688,0.0017846298217773437,0.0392071533203125,-2.5146007537841797e-05,0.5433333333333333,42.755948066711426,36,65,0.03509767214457194,0.031203810373942056,0.032415275573730466
DTA_v31_v31_wg18_light_hinge_seed3407_f0_scout5full_post_gt_invert_dta_stage3_beta_abs_mean,<=,0.06056765653192997,-0.017982268015543618,600,90,0.15,-0.0015645917256673176,0.0,0.00017992655436197916,-0.003347727457682292,4.5329332351684573e-07,0.07833333333333334,42.755948066711426,5,10,0.0005746841430664063,0.00038405736287434894,0.00022620519002278645
