run_id,candidate,airlight_mode,depth_mode,alpha,count,mean_psnr_delta,median_psnr_delta,p5_psnr_delta,p95_psnr_delta,hard_bottom25_psnr_delta,easy_top25_psnr_delta,worst10pct_mean_psnr_delta,best10pct_mean_psnr_delta,worst10img_mean_psnr_delta,best10img_mean_psnr_delta,mean_ssim_delta,positive_ratio,non_degradation_ratio_delta_ge_-0.01,strong_reference_cut_psnr,strong_reference_count,strong_regression_count_delta_le_-0.05,worst_regression_count_delta_le_-0.20,true_vs_zero_surplus,true_vs_shuffle_surplus,true_vs_normal_surplus
v32_ctdg_diag_wg18_light_hinge_seed3407_f0,wg18_light_hinge,gt,zero,0.75,600,-0.009727892013922207,0.00168575257769632,-0.16612639325157624,0.11887216424313855,-0.014382585314019801,0.00352216902577221,-0.19475330399510735,0.13219978833290746,-0.35187692384227487,0.22334043139449697,-1.849671204884847e-05,0.515,0.5716666666666667,42.755946791850995,150,25,21,,,
v32_ctdg_diag_wg18_light_hinge_seed3407_f0,wg18_light_hinge,gt,zero,1.0,600,-0.014270401651533576,0.0012601667861673604,-0.2224699249909282,0.15753683274638206,-0.019717236704800977,0.002546728829505535,-0.2606203685787092,0.1735898758672914,-0.46805719477166646,0.2899226190790021,-2.5583704312642417e-05,0.5133333333333333,0.5633333333333334,42.755946791850995,150,31,36,,,
v32_ctdg_diag_wg18_light_hinge_seed3407_f0,wg18_light_hinge,gt,shuffle,0.1,600,-0.0004884530916411064,0.0009548003996506793,-0.024472083943931366,0.01838559563357334,-0.0017533271196455047,0.0018955120803042765,-0.02762478730665657,0.020456643671678463,-0.04951357887395176,0.034794571785568704,-2.0752350489298505e-06,0.5483333333333333,0.8383333333333334,42.755946791850995,150,0,0,,,
v32_ctdg_diag_wg18_light_hinge_seed3407_f0,wg18_light_hinge,gt,shuffle,0.2,600,-0.0010964600838579367,0.001763165285144197,-0.04902274088233725,0.036700003211192794,-0.0035532894478217257,0.0035878089864571903,-0.05534636299000528,0.040680826674486956,-0.09894076395502509,0.0689902624362233,-4.277726014455159e-06,0.5433333333333333,0.7333333333333333,42.755946791850995,150,4,0,,,
v32_ctdg_diag_wg18_light_hinge_seed3407_f0,wg18_light_hinge,gt,shuffle,0.35,600,-0.002233081595688103,0.00282340166645767,-0.08599103309206235,0.06378172715023424,-0.006340605035202316,0.005742550827473897,-0.09710881873882364,0.07056917293224399,-0.1729191323015506,0.11911428651062791,-7.757643858591716e-06,0.54,0.6533333333333333,42.755946791850995,150,15,2,,,
v32_ctdg_diag_wg18_light_hinge_seed3407_f0,wg18_light_hinge,gt,shuffle,0.5,600,-0.003639633282251638,0.0036572462318460452,-0.12312517075324259,0.0911467162217022,-0.009232172616302919,0.0074338147585256325,-0.13907611685223062,0.09990483071857632,-0.24675264271447334,0.16777719760080673,-1.1432965596516927e-05,0.5366666666666666,0.6083333333333333,42.755946791850995,150,21,5,,,
v32_ctdg_diag_wg18_light_hinge_seed3407_f0,wg18_light_hinge,gt,shuffle,0.75,600,-0.006584749486047728,0.004296393757545758,-0.1855417083401189,0.1351018474797765,-0.014282063154788957,0.00921462589851539,-0.20944873923027896,0.14772257048065765,-0.3693893751698198,0.24547797168767005,-1.8056134382883708e-05,0.5316666666666666,0.5816666666666667,42.755946791850995,150,25,24,,,
v32_ctdg_diag_wg18_light_hinge_seed3407_f0,wg18_light_hinge,gt,shuffle,1.0,600,-0.010281257350471034,0.004146172015648375,-0.24949098003884096,0.17939343015748463,-0.01961878618849428,0.009690198052608897,-0.2803593917532628,0.194174269467485,-0.49145177246649896,0.3187385496984042,-2.5263726711273194e-05,0.53,0.565,42.755946791850995,150,31,45,,,
v32_ctdg_diag_wg18_light_hinge_seed3407_f0,wg18_light_hinge,gt,normal,0.1,600,-0.0006163239027405787,0.0006958516151271965,-0.023003407548916145,0.01790955998903171,-0.0018287609102318214,0.0018033142512829177,-0.027088966673716363,0.01974524976969878,-0.049596481406648255,0.03351810260151637,-2.0150343577067056e-06,0.5433333333333333,0.835,42.755946791850995,150,0,0,,,
v32_ctdg_diag_wg18_light_hinge_seed3407_f0,wg18_light_hinge,gt,normal,0.2,600,-0.0013476681446151003,0.001308204972694682,-0.046069751784402514,0.035772423575706445,-0.0037032068751289417,0.0034121567864969413,-0.054263463172769436,0.03927432969089839,-0.09911241764943952,0.06644866352666198,-4.131595293680827e-06,0.5433333333333333,0.7383333333333333,42.755946791850995,150,4,0,,,
v32_ctdg_diag_wg18_light_hinge_seed3407_f0,wg18_light_hinge,gt,normal,0.35,600,-0.002660707387904324,0.0021478692464000915,-0.08078248610605564,0.06245605611356556,-0.006600029726188173,0.005458283101680905,-0.09517949788145673,0.06815296330237898,-0.17322514382071716,0.1147000220794439,-7.5115760167439774e-06,0.54,0.6566666666666666,42.755946791850995,150,16,2,,,
v32_ctdg_diag_wg18_light_hinge_seed3407_f0,wg18_light_hinge,gt,normal,0.5,600,-0.004233365004666479,0.0027156106627153065,-0.11562810410756015,0.08812010855604764,-0.009598830240483617,0.007060846923513111,-0.13628437004295932,0.09653471293418452,-0.24713287719925675,0.161524872286882,-1.1079311370849609e-05,0.535,0.6083333333333333,42.755946791850995,150,21,5,,,
v32_ctdg_diag_wg18_light_hinge_seed3407_f0,wg18_light_hinge,gt,normal,0.75,600,-0.007432057453384141,0.0035658989874640667,-0.17396833228648384,0.12694552796231137,-0.014822230189699208,0.008738648118460854,-0.2052069855870083,0.142741939231636,-0.37026667581096506,0.23625683880874532,-1.7503201961517332e-05,0.5316666666666666,0.58,42.755946791850995,150,25,24,,,
