run_id,candidate,airlight_mode,depth_mode,alpha,count,mean_psnr_delta,median_psnr_delta,p5_psnr_delta,p95_psnr_delta,hard_bottom25_psnr_delta,easy_top25_psnr_delta,worst10pct_mean_psnr_delta,best10pct_mean_psnr_delta,worst10img_mean_psnr_delta,best10img_mean_psnr_delta,mean_ssim_delta,positive_ratio,non_degradation_ratio_delta_ge_-0.01,strong_reference_cut_psnr,strong_reference_count,strong_regression_count_delta_le_-0.05,worst_regression_count_delta_le_-0.20,true_vs_zero_surplus,true_vs_shuffle_surplus,true_vs_normal_surplus
v33_routerfusion_d3_router_seed3407_f0_triage5full,d3_router,gt,invert,0.75,600,0.005231870100484179,0.010055721530608963,-0.2846748678498077,0.28235140015763016,-0.012320733656675197,0.01654844796691497,-0.3398719389977388,0.32549164819098597,-0.5876511755740417,0.5034910133810164,-1.4774700005849202e-05,0.5316666666666666,0.5583333333333333,42.755946791850995,150,42,62,0.02512560939626516,0.02224683328365051,0.022897220726290524
v33_routerfusion_d3_router_seed3407_f0_triage5full,d3_router,gt,invert,1.0,600,0.001087262002432124,0.007969930600228992,-0.39957342955651143,0.3740371873376338,-0.018039782124772898,0.012529839305657285,-0.4596032052295051,0.4266559342181819,-0.789348896689436,0.6636191759194553,-2.2488733132680258e-05,0.5183333333333333,0.5433333333333333,42.755946791850995,150,47,105,0.03188185182756268,0.028253202150826627,0.02908811776738097
v33_routerfusion_d3_router_seed3407_f0_triage5full,d3_router,gt,zero,0.1,600,-0.001532107529587492,-4.839096941822163e-06,-0.03334472462972151,0.027430998348032136,-0.003193058392362455,-0.00014089846031685246,-0.03820070106881642,0.03119730186891907,-0.06471887108301715,0.04880781792886992,-1.542071501413981e-06,0.5,0.7116666666666667,42.755946791850995,150,3,0,,,
v33_routerfusion_d3_router_seed3407_f0_triage5full,d3_router,gt,zero,0.2,600,-0.0034104461433883118,-0.0002571486599087791,-0.06725116419336459,0.054727471061013507,-0.006500146224128803,-0.0008389402089362837,-0.07678597695313094,0.0619389168153979,-0.1298843419920331,0.09734711452441402,-3.2546122868855793e-06,0.49666666666666665,0.61,42.755946791850995,150,12,1,,,
v33_routerfusion_d3_router_seed3407_f0_triage5full,d3_router,gt,zero,0.35,600,-0.006875654422480828,-0.001254411671965272,-0.1195539849500129,0.09539436820202865,-0.011672844191995987,-0.0029275838582543184,-0.13537501108821176,0.10722144956543739,-0.22839287878547126,0.1696150325087224,-6.129145622253418e-06,0.49166666666666664,0.55,42.755946791850995,150,28,8,,,
v33_routerfusion_d3_router_seed3407_f0_triage5full,d3_router,gt,zero,0.5,600,-0.01111550394770281,-0.0033974111433252574,-0.1717268586535095,0.1356712172254083,-0.017098180677959315,-0.006260259326186457,-0.19477520217069846,0.15156311470183664,-0.32802853297010015,0.24118137583207683,-9.353260199228922e-06,0.48833333333333334,0.5266666666666666,42.755946791850995,150,38,21,,,
v33_routerfusion_d3_router_seed3407_f0_triage5full,d3_router,gt,zero,0.75,600,-0.01989373929578098,-0.006886455609471653,-0.25969841671657684,0.2008227060554066,-0.026696125613216944,-0.014557898550870618,-0.29563027029209427,0.22334561849931767,-0.49646422542973667,0.3587368990606251,-1.5502770741780597e-05,0.4766666666666667,0.5083333333333333,42.755946791850995,150,45,55,,,
v33_routerfusion_d3_router_seed3407_f0_triage5full,d3_router,gt,zero,1.0,600,-0.030794589825130555,-0.014357748983940155,-0.3545385069556346,0.2591493071483178,-0.036981017972920964,-0.0262461032115165,-0.39859893518239226,0.2928145618388075,-0.6670948052121325,0.47389401162801476,-2.266347408294678e-05,0.4666666666666667,0.49333333333333335,42.755946791850995,150,50,102,,,
v33_routerfusion_d3_router_seed3407_f0_triage5full,d3_router,gt,shuffle,0.1,600,-0.0010946212977097503,0.0002808768543474116,-0.03315909753348443,0.029104593915670638,-0.003134836805418644,0.0006235545588596854,-0.03875945535427216,0.03249274544645117,-0.06681421779307328,0.05084358433803686,-1.4637907346089681e-06,0.5116666666666667,0.7133333333333334,42.755946791850995,150,3,0,,,
v33_routerfusion_d3_router_seed3407_f0_triage5full,d3_router,gt,shuffle,0.2,600,-0.0025517754411530547,0.00032501750747826463,-0.0665045219762586,0.05816381485381716,-0.006386201155694995,0.0006617479544233144,-0.07795033540476422,0.06450295230917137,-0.1341992336459029,0.10140645904451517,-3.1185150146484375e-06,0.5016666666666667,0.61,42.755946791850995,150,10,1,,,
