index,name,zone,pixel_count,d7c_output_change_mean,control_output_change_mean,d7c_gain_l1_mean,control_gain_l1_mean
24,1122_0.94_0.53.png,exterior_r2,6087,0.000157123053036673,0.00022830271027604016,3.014267695367248e-05,-1.8923660746070383e-06
24,1122_0.94_0.53.png,exterior_r4,10363,0.0001318005421303603,0.00020625411135504103,9.60276668209557e-06,-3.0664803840749846e-05
24,1122_0.94_0.53.png,exterior_r8,16965,0.00010776601286015959,0.00018836700772241333,-5.4082932319045245e-06,-6.324790271024875e-05
24,1122_0.94_0.53.png,exterior_far_gt8,94130,9.508106592774683e-05,0.00019830263827364542,-9.960993296482302e-07,-0.00011375050963674635
25,1124_0.74_1.17.png,gate_interior,56642,0.0004076426499206709,0.0004644919904896964,-3.808731960545682e-05,7.824304939718016e-05
25,1124_0.74_1.17.png,gate_boundary_r1,20178,0.0003887504377619388,0.00043978262424988887,1.1608416644937751e-05,5.596525806869763e-05
25,1124_0.74_1.17.png,exterior_r1,10097,0.00038722466511030746,0.0004361138386786356,8.63514248068833e-06,5.045671020036312e-05
25,1124_0.74_1.17.png,exterior_r2,8604,0.0003877581412822133,0.00042891688038725344,1.6576244644318443e-05,4.735708874028985e-05
25,1124_0.74_1.17.png,exterior_r4,13411,0.0003927033287630315,0.00043115661355990636,3.777800697171353e-05,5.380683417786386e-05
25,1124_0.74_1.17.png,exterior_r8,18912,0.00039989777325373613,0.0004463543746677147,5.500387973995177e-05,3.568869708153197e-05
25,1124_0.74_1.17.png,exterior_far_gt8,42253,0.0005180328732436528,0.0005076620572163977,0.00017348712168820322,9.368551222357674e-05
26,1134_0.69_1.2.png,gate_interior,41442,0.0004564460355637991,0.0005660152108528561,-0.0003704304205198257,-0.0004911843393709742
26,1134_0.69_1.2.png,gate_boundary_r1,19387,0.00039948751554165946,0.0004629040290752633,-0.0003129968993923396,-0.0003771573103752575
26,1134_0.69_1.2.png,exterior_r1,10012,0.00039171886787003055,0.00044986809247786935,-0.0003095561630288649,-0.0003649162093591938
26,1134_0.69_1.2.png,exterior_r2,8971,0.00036465835975253214,0.00040682894823981986,-0.00028959581411053617,-0.0003191233877220915
26,1134_0.69_1.2.png,exterior_r4,14553,0.0003482879809577023,0.0003866505509822596,-0.000290993144157817,-0.00029961867716798486
26,1134_0.69_1.2.png,exterior_r8,21488,0.000339515379623788,0.00037894382995185086,-0.0002989632508156465,-0.0002963846731079397
26,1134_0.69_1.2.png,exterior_far_gt8,54159,0.0001555230641779298,0.00023927295746586078,-0.00013269438067678004,-0.0001653300317933221
27,1140_0.67_1.42.png,gate_interior,747,0.00015875221375959465,0.0010895110676725865,-8.056047989661435e-05,-0.00018581891634378089
27,1140_0.67_1.42.png,gate_boundary_r1,1390,0.00011828190131153134,0.0011448379900815676,-1.7178644218461976e-05,0.00036320471935134997
27,1140_0.67_1.42.png,exterior_r1,785,0.00011707141900518139,0.0011512123855056276,-1.6767933822361526e-05,0.0003700937435125849
27,1140_0.67_1.42.png,exterior_r2,847,0.00010863204245865696,0.0011390088018307016,-5.047261459838683e-06,0.00047749819271398407
27,1140_0.67_1.42.png,exterior_r4,1948,0.00010284024158787188,0.0011383118815490598,2.0784447332978005e-06,0.0005491330638313685
27,1140_0.67_1.42.png,exterior_r8,4887,9.568048104055337e-05,0.0011241575045553432,7.4513649889265126e-06,0.000579474575806913
27,1140_0.67_1.42.png,exterior_far_gt8,150181,7.615953769381951e-05,0.0014084567122339044,6.129232528247295e-05,0.001282484247978793
28,1143_0.73_1.33.png,gate_interior,87946,0.00044321146888187245,0.0002288101580075038,-0.0003485220388895201,-8.087635549944732e-05
28,1143_0.73_1.33.png,gate_boundary_r1,15882,0.00024089759489913804,0.00019758661272783692,-6.63975777005747e-05,1.3470195610056956e-05
28,1143_0.73_1.33.png,exterior_r1,7709,0.00023655097205315076,0.00019705904830613941,-5.967610230905441e-05,1.7344866579555326e-05
28,1143_0.73_1.33.png,exterior_r2,6353,0.00023164061248049143,0.00019826097937244216,-4.8417407434680565e-05,3.201042209744134e-05
28,1143_0.73_1.33.png,exterior_r4,9546,0.00022781035097395127,0.00020330223976229562,-4.4804039102366906e-05,4.0770860155898023e-05
28,1143_0.73_1.33.png,exterior_r8,13037,0.00023009095481269206,0.00020272722454207107,-3.500517191692685e-05,3.5641623062709634e-05
28,1143_0.73_1.33.png,exterior_far_gt8,27236,0.00021022968765641996,0.00018854133532004904,-9.437648363095196e-05,4.634498359348512e-05
