variant,target_contract,name,threshold,hard_negative_pixels,ldhn_pixels,false_tail_rate,ldhn_recall,pred_high_coverage
f4_global_strat_control,global_target,1578_0.57_1.99.png,0.5132026076316833,159,82,0.03773584905660377,0.2073170731707317,0.74560546875
f4_global_strat_control,global_target,1580_0.7_1.59.png,0.5132026076316833,250,44,0.0,0.09090909090909091,0.66015625
f4_global_strat_control,global_target,1586_0.74_1.29.png,0.5132026076316833,232,61,0.0,0.2786885245901639,0.312255859375
f4_global_strat_control,global_target,158_0.56_1.42.png,0.5132026076316833,0,111,nan,0.16216216216216217,0.451416015625
f4_global_strat_control,global_target,1592_0.54_1.46.png,0.5132026076316833,1359,328,0.0,0.07926829268292683,0.077392578125
f4_global_strat_control,global_target,1599_0.71_1.3.png,0.5132026076316833,464,753,0.004310344827586207,0.017264276228419653,0.177490234375
f4_global_strat_control,global_target,1602_0.92_0.57.png,0.5132026076316833,1072,140,0.0,0.05,0.019775390625
f4_global_strat_control,global_target,1605_1.0_1.37.png,0.5132026076316833,333,45,0.006006006006006006,0.13333333333333333,0.599853515625
f4_global_strat_control,global_target,1612_0.77_1.4.png,0.5132026076316833,603,27,0.0,0.1111111111111111,0.46044921875
f4_global_strat_control,global_target,161_0.83_1.56.png,0.5132026076316833,0,74,nan,0.16216216216216217,0.908447265625
f4_global_strat_control,global_target,1621_0.5_0.72.png,0.5132026076316833,1555,49,0.002572347266881029,0.1836734693877551,0.0078125
f4_global_strat_control,global_target,162_0.75_0.98.png,0.5132026076316833,0,350,nan,0.06857142857142857,0.462890625
f4_global_strat_control,global_target,1631_0.92_1.27.png,0.5132026076316833,124,23,0.008064516129032258,0.13043478260869565,0.064453125
f4_global_strat_control,global_target,1635_0.64_0.55.png,0.5132026076316833,2275,656,0.0,0.0,0.00537109375
f4_global_strat_control,global_target,1636_0.96_1.23.png,0.5132026076316833,917,586,0.008724100327153763,0.006825938566552901,0.18310546875
f4_global_strat_control,global_target,1647_0.89_1.55.png,0.5132026076316833,46,73,0.0,0.2602739726027397,0.610107421875
f4_global_strat_control,global_target,1648_0.89_1.41.png,0.5132026076316833,59,106,0.0,0.16981132075471697,0.546630859375
