name,A0_PSNR,bucket,raw_best_action,raw_best_dPSNR,conservative_best_action,conservative_best_dPSNR
107_0.77_1.67.png,34.29155731201172,hard,medium,7.004795074462891,medium,7.004795074462891
1089_0.76_1.23.png,38.241127014160156,regular,medium,6.9232177734375,medium,6.9232177734375
1095_0.9_0.64.png,36.157745361328125,regular,strong,8.582862854003906,strong,8.582862854003906
1104_0.89_1.59.png,25.45185089111328,hard,medium,9.545906066894531,medium,9.545906066894531
1005_0.74_1.81.png,38.30308532714844,regular,medium,3.9503021240234375,medium,3.9503021240234375
100_0.65_1.43.png,36.1766471862793,regular,strong,6.810390472412109,strong,6.810390472412109
1015_0.7_1.92.png,39.58008575439453,regular,medium,5.539653778076172,medium,5.539653778076172
1021_0.73_0.84.png,38.976966857910156,regular,medium,8.818260192871094,medium,8.818260192871094
1029_0.71_0.56.png,44.240779876708984,easy,medium,6.219913482666016,medium,6.219913482666016
1040_0.78_2.0.png,31.56243133544922,hard,medium,7.759757995605469,medium,7.759757995605469
1046_0.91_1.69.png,31.82438850402832,hard,medium,6.01667594909668,medium,6.01667594909668
1050_0.61_1.24.png,40.258216857910156,easy,medium,4.553279876708984,medium,4.553279876708984
1055_0.8_1.95.png,34.83050537109375,regular,strong,7.853736877441406,strong,7.853736877441406
1061_0.91_0.94.png,35.50494384765625,regular,medium,7.242958068847656,medium,7.242958068847656
1067_0.62_1.35.png,39.57331085205078,regular,medium,7.252693176269531,medium,7.252693176269531
1073_0.51_0.98.png,39.438934326171875,regular,strong,8.605350494384766,strong,8.605350494384766
1081_0.66_1.5.png,32.3872184753418,hard,medium,8.714374542236328,medium,8.714374542236328
108_0.96_0.98.png,31.495180130004883,hard,strong,8.212324142456055,strong,8.212324142456055
1097_0.85_1.71.png,26.514854431152344,hard,medium,7.211185455322266,medium,7.211185455322266
1105_0.82_0.89.png,39.0895881652832,regular,strong,7.651851654052734,strong,7.651851654052734
