label,split,name,fold,bucket,selected_alpha,delta_psnr,delta_ssim,a0_psnr
heldout,val_regular,1467_0.61_1.24.png,1,mid_by_a0_fulltrain,0.0,0.0,0.0,40.498504638671875
heldout,val_regular,1474_0.92_0.89.png,0,hard_bottom25_by_a0_fulltrain,0.0,0.0,0.0,30.879680633544922
heldout,val_regular,1480_0.96_1.38.png,2,hard_bottom25_by_a0_fulltrain,0.0,0.0,0.0,30.866212844848633
heldout,val_regular,1491_0.88_1.85.png,2,hard_bottom25_by_a0_fulltrain,0.0,0.0,0.0,33.575008392333984
heldout,val_regular,1500_0.87_1.88.png,1,hard_bottom25_by_a0_fulltrain,1.0,-1.1373710632324219,-0.0018297433853149414,34.10819625854492
heldout,val_regular,1502_0.65_1.08.png,3,mid_by_a0_fulltrain,0.0,0.0,0.0,42.028228759765625
heldout,val_regular,1528_0.91_1.9.png,2,hard_bottom25_by_a0_fulltrain,0.0,0.0,0.0,33.67494201660156
heldout,val_regular,1534_0.7_0.91.png,3,easy_top25_by_a0_fulltrain,0.0,0.0,0.0,45.483734130859375
heldout,val_regular,1547_0.77_1.84.png,2,mid_by_a0_fulltrain,0.0,0.0,0.0,38.38059616088867
heldout,val_regular,1550_0.87_0.57.png,1,easy_top25_by_a0_fulltrain,0.0,0.0,0.0,45.68352508544922
heldout,val_regular,1567_0.8_0.84.png,3,mid_by_a0_fulltrain,0.0,0.0,0.0,41.414817810058594
heldout,val_regular,1575_0.51_1.39.png,2,mid_by_a0_fulltrain,0.0,0.0,0.0,42.521217346191406
heldout,val_regular,1579_0.67_1.31.png,0,easy_top25_by_a0_fulltrain,0.0,0.0,0.0,43.416500091552734
heldout,val_regular,1580_0.7_1.59.png,3,mid_by_a0_fulltrain,0.0,0.0,0.0,40.74560546875
heldout,val_regular,1586_0.74_1.29.png,4,mid_by_a0_fulltrain,0.0,0.0,0.0,39.65418243408203
heldout,val_regular,1587_0.73_1.54.png,3,mid_by_a0_fulltrain,0.0,0.0,0.0,38.576385498046875
heldout,val_regular,1589_0.74_1.06.png,0,mid_by_a0_fulltrain,0.0,0.0,0.0,42.42633819580078
heldout,val_regular,1612_0.77_1.4.png,3,mid_by_a0_fulltrain,0.0,0.0,0.0,41.39713668823242
heldout,val_regular,1618_0.97_1.32.png,0,mid_by_a0_fulltrain,0.0,0.0,0.0,42.37184524536133
heldout,val_regular,161_0.83_1.56.png,4,hard_bottom25_by_a0_fulltrain,1.0,3.867765426635742,0.002523481845855713,28.51170539855957
heldout,val_regular,1642_0.91_0.72.png,1,easy_top25_by_a0_fulltrain,0.0,0.0,0.0,42.781009674072266
heldout,val_regular,164_0.84_0.62.png,1,mid_by_a0_fulltrain,1.0,4.2575836181640625,0.0003089308738708496,36.68079376220703
heldout,val_regular,165_0.71_1.57.png,3,mid_by_a0_fulltrain,1.0,0.7691230773925781,-0.0010867118835449219,38.146968841552734
heldout,val_regular,1664_0.8_2.0.png,2,mid_by_a0_fulltrain,0.0,0.0,0.0,39.84394836425781
heldout,val_regular,1674_0.9_1.32.png,0,mid_by_a0_fulltrain,1.0,-0.11968612670898438,0.00020360946655273438,41.204315185546875
heldout,val_regular,1675_0.56_1.81.png,0,mid_by_a0_fulltrain,0.0,0.0,0.0,40.729469299316406
heldout,val_regular,1684_0.61_1.24.png,1,mid_by_a0_fulltrain,0.0,0.0,0.0,40.03773498535156
heldout,val_regular,1701_0.55_0.71.png,3,easy_top25_by_a0_fulltrain,0.0,0.0,0.0,45.161842346191406
heldout,val_regular,1704_0.9_1.06.png,0,mid_by_a0_fulltrain,0.0,0.0,0.0,42.1196174621582
heldout,val_regular,1716_0.87_0.59.png,3,mid_by_a0_fulltrain,0.0,0.0,0.0,41.12706756591797
heldout,val_regular,1729_0.85_0.57.png,1,easy_top25_by_a0_fulltrain,1.0,-1.4365882873535156,-0.00023037195205688477,46.27433395385742
heldout,val_regular,1739_0.98_1.18.png,1,hard_bottom25_by_a0_fulltrain,0.0,0.0,0.0,35.712276458740234
heldout,val_regular,1741_0.52_0.81.png,1,easy_top25_by_a0_fulltrain,0.0,0.0,0.0,49.389678955078125
heldout,val_regular,1744_0.79_1.18.png,3,easy_top25_by_a0_fulltrain,1.0,-1.3716964721679688,-0.00019061565399169922,45.941978454589844
heldout,val_regular,1753_0.96_1.66.png,2,mid_by_a0_fulltrain,0.0,0.0,0.0,38.76080322265625
heldout,val_regular,1778_0.61_0.57.png,1,easy_top25_by_a0_fulltrain,0.0,0.0,0.0,48.499267578125
heldout,val_regular,179_0.79_1.66.png,2,mid_by_a0_fulltrain,0.0,0.0,0.0,38.12906265258789
heldout,val_regular,1801_0.99_0.78.png,2,mid_by_a0_fulltrain,0.0,0.0,0.0,41.88230895996094
heldout,val_regular,1811_0.62_1.47.png,3,easy_top25_by_a0_fulltrain,0.0,0.0,0.0,45.50151824951172
heldout,val_regular,1823_0.78_0.96.png,3,easy_top25_by_a0_fulltrain,0.0,0.0,0.0,46.251502990722656
heldout,val_regular,1838_0.88_0.63.png,1,easy_top25_by_a0_fulltrain,0.0,0.0,0.0,46.653297424316406
heldout,val_regular,1840_0.94_1.56.png,2,mid_by_a0_fulltrain,0.0,0.0,0.0,40.73064422607422
heldout,val_regular,1847_0.55_2.0.png,2,mid_by_a0_fulltrain,0.0,0.0,0.0,41.16526794433594
heldout,val_regular,1851_0.7_1.14.png,0,easy_top25_by_a0_fulltrain,0.0,0.0,0.0,43.70277786254883
heldout,val_regular,185_0.65_1.74.png,0,mid_by_a0_fulltrain,0.0,0.0,0.0,37.16947555541992
heldout,val_regular,1864_0.63_1.68.png,4,easy_top25_by_a0_fulltrain,0.0,0.0,0.0,43.06463623046875
heldout,val_regular,1870_0.54_1.45.png,1,easy_top25_by_a0_fulltrain,0.0,0.0,0.0,45.073936462402344
heldout,val_regular,1893_0.53_1.29.png,3,mid_by_a0_fulltrain,0.0,0.0,0.0,42.15018844604492
heldout,val_regular,1896_0.7_0.8.png,4,mid_by_a0_fulltrain,0.0,0.0,0.0,41.1153564453125
heldout,val_regular,1900_0.59_0.94.png,4,easy_top25_by_a0_fulltrain,0.0,0.0,0.0,46.69776153564453
heldout,val_regular,1901_0.77_1.18.png,4,easy_top25_by_a0_fulltrain,0.0,0.0,0.0,45.59328079223633
heldout,val_regular,1917_0.96_1.37.png,3,mid_by_a0_fulltrain,0.0,0.0,0.0,40.48789596557617
heldout,val_regular,1919_0.59_0.94.png,4,easy_top25_by_a0_fulltrain,0.0,0.0,0.0,49.67170333862305
heldout,val_regular,191_0.53_1.57.png,1,mid_by_a0_fulltrain,0.0,0.0,0.0,38.41264343261719
heldout,val_regular,1944_0.99_1.3.png,3,mid_by_a0_fulltrain,0.0,0.0,0.0,37.30205154418945
heldout,val_regular,1946_0.91_1.18.png,1,mid_by_a0_fulltrain,0.0,0.0,0.0,40.00991439819336
heldout,val_regular,1953_0.73_0.63.png,4,easy_top25_by_a0_fulltrain,0.0,0.0,0.0,46.21620559692383
heldout,val_regular,1994_0.55_1.79.png,0,mid_by_a0_fulltrain,0.0,0.0,0.0,40.03437423706055
heldout,val_regular,1999_0.93_0.74.png,3,mid_by_a0_fulltrain,0.0,0.0,0.0,38.255245208740234
