feature_group,alpha,coverage_target,risk_weight,score,oof_gate_pass,heldout_gate_pass,oof_mean_delta,oof_hard_bottom25_delta,oof_easy_top25_delta,oof_worst_ratio,oof_strong_ratio,heldout_mean_delta,heldout_hard_bottom25_delta,heldout_easy_top25_delta,heldout_worst_ratio,heldout_strong_ratio,gain_features,risk_features
all,0.75,0.2,0.5,0.32653153594281953,False,False,0.09983179012934366,0.1352720901919549,0.08528321481067057,0.0525,0.08247422680412371,0.11250916798909505,0.1453461432539468,0.035715935935436836,0.041666666666666664,0.11267605633802817,"udp_a0_luma_shift_mean,input_highfreq_energy,input_edge_mean","udp_a0_luma_shift_mean,input_edge_mean,input_highfreq_energy"
all,0.75,0.2,1.0,0.32653153594281953,False,False,0.09983179012934366,0.1352720901919549,0.08528321481067057,0.0525,0.08247422680412371,0.11250916798909505,0.1453461432539468,0.035715935935436836,0.041666666666666664,0.11267605633802817,"udp_a0_luma_shift_mean,input_highfreq_energy,input_edge_mean","udp_a0_luma_shift_mean,input_edge_mean,input_highfreq_energy"
all,0.75,0.2,1.5,0.32653153594281953,False,False,0.09983179012934366,0.1352720901919549,0.08528321481067057,0.0525,0.08247422680412371,0.11250916798909505,0.1453461432539468,0.035715935935436836,0.041666666666666664,0.11267605633802817,"udp_a0_luma_shift_mean,input_highfreq_energy,input_edge_mean","udp_a0_luma_shift_mean,input_edge_mean,input_highfreq_energy"
all,0.75,0.2,2.0,0.32653153594281953,False,False,0.09983179012934366,0.1352720901919549,0.08528321481067057,0.0525,0.08247422680412371,0.11250916798909505,0.1453461432539468,0.035715935935436836,0.041666666666666664,0.11267605633802817,"udp_a0_luma_shift_mean,input_highfreq_energy,input_edge_mean","udp_a0_luma_shift_mean,input_edge_mean,input_highfreq_energy"
post_expert,1.0,0.05,0.5,0.32483807310757534,False,False,-0.004966669082641602,0.17344096218944888,-0.07558494534162429,0.025833333333333333,0.022091310751104567,0.13246939977010092,0.18025816023143518,-0.05741645920444542,0.023333333333333334,0.028169014084507043,"udp_a0_luma_shift_mean,udp_a0_absdiff_max,udp_a0_absdiff_range","udp_a0_luma_shift_mean,udp_a0_absdiff_max,udp_a0_absdiff_range"
post_expert,1.0,0.05,1.0,0.32483807310757534,False,False,-0.004966669082641602,0.17344096218944888,-0.07558494534162429,0.025833333333333333,0.022091310751104567,0.13246939977010092,0.18025816023143518,-0.05741645920444542,0.023333333333333334,0.028169014084507043,"udp_a0_luma_shift_mean,udp_a0_absdiff_max,udp_a0_absdiff_range","udp_a0_luma_shift_mean,udp_a0_absdiff_max,udp_a0_absdiff_range"
post_expert,1.0,0.05,1.5,0.32483807310757534,False,False,-0.004966669082641602,0.17344096218944888,-0.07558494534162429,0.025833333333333333,0.022091310751104567,0.13246939977010092,0.18025816023143518,-0.05741645920444542,0.023333333333333334,0.028169014084507043,"udp_a0_luma_shift_mean,udp_a0_absdiff_max,udp_a0_absdiff_range","udp_a0_luma_shift_mean,udp_a0_absdiff_max,udp_a0_absdiff_range"
post_expert,1.0,0.05,2.0,0.32483807310757534,False,False,-0.004966669082641602,0.17344096218944888,-0.07558494534162429,0.025833333333333333,0.022091310751104567,0.13246939977010092,0.18025816023143518,-0.05741645920444542,0.023333333333333334,0.028169014084507043,"udp_a0_luma_shift_mean,udp_a0_absdiff_max,udp_a0_absdiff_range","udp_a0_luma_shift_mean,udp_a0_absdiff_max,udp_a0_absdiff_range"
post_expert,1.0,0.3,0.5,0.30696522243140656,False,False,0.032128059069315595,0.3594895484907767,-0.21044066236717887,0.12458333333333334,0.18556701030927836,0.2194907315572103,0.4187044981854185,-0.25757518284757375,0.1,0.19718309859154928,"udp_a0_luma_shift_mean,udp_a0_absdiff_max,udp_a0_absdiff_range","udp_a0_luma_shift_mean,udp_a0_absdiff_max,udp_a0_absdiff_range"
post_expert,1.0,0.3,1.0,0.30696522243140656,False,False,0.032128059069315595,0.3594895484907767,-0.21044066236717887,0.12458333333333334,0.18556701030927836,0.2194907315572103,0.4187044981854185,-0.25757518284757375,0.1,0.19718309859154928,"udp_a0_luma_shift_mean,udp_a0_absdiff_max,udp_a0_absdiff_range","udp_a0_luma_shift_mean,udp_a0_absdiff_max,udp_a0_absdiff_range"
post_expert,1.0,0.3,1.5,0.30696522243140656,False,False,0.032128059069315595,0.3594895484907767,-0.21044066236717887,0.12458333333333334,0.18556701030927836,0.2194907315572103,0.4187044981854185,-0.25757518284757375,0.1,0.19718309859154928,"udp_a0_luma_shift_mean,udp_a0_absdiff_max,udp_a0_absdiff_range","udp_a0_luma_shift_mean,udp_a0_absdiff_max,udp_a0_absdiff_range"
post_expert,1.0,0.3,2.0,0.30696522243140656,False,False,0.032128059069315595,0.3594895484907767,-0.21044066236717887,0.12458333333333334,0.18556701030927836,0.2194907315572103,0.4187044981854185,-0.25757518284757375,0.1,0.19718309859154928,"udp_a0_luma_shift_mean,udp_a0_absdiff_max,udp_a0_absdiff_range","udp_a0_luma_shift_mean,udp_a0_absdiff_max,udp_a0_absdiff_range"
cheap_pre,0.5,0.3,1.0,0.3025019554412942,False,False,0.18741352399190267,0.0430328302941974,0.3333203817151256,0.04083333333333333,0.0780559646539028,0.09602046330769856,0.05309073900268977,0.36841497286944325,0.035,0.09859154929577464,"input_highfreq_energy,input_saturation_std,input_saturation_mean","input_highfreq_energy,input_edge_mean,depth_grad_mean"
cheap_pre,0.5,0.3,0.5,0.2874695068748189,False,False,0.19138885418574014,0.03824239387429459,0.36001635791626874,0.042083333333333334,0.0898379970544919,0.091179412206014,0.036997105423554416,0.44456664609237456,0.03666666666666667,0.09859154929577464,"input_highfreq_energy,input_saturation_std,input_saturation_mean","input_highfreq_energy,input_edge_mean,depth_grad_mean"
