alpha,group,bin,count,A0_mean_PSNR,candidate_mean_PSNR,mean_dPSNR,mean_bootstrap_LCB,median_dPSNR,p5_dPSNR,p95_dPSNR,hard_bottom25_dPSNR,hard_bootstrap_LCB,easy_top25_dPSNR,worst_dPSNR,best_dPSNR,dSSIM,positive_ratio,positive_Wilson_LCB,nonnegative_ratio,severe_loss_count,severe_loss_per_600,severe_Wilson_UCB
0.25,input-PSNR_q4,q1,14,10.318895408085414,,0.04203707831246512,-0.007671659333365304,0.048227787017822266,-0.14818959236145018,0.21289544105529784,0.11857446034749348,0.08487224578857422,0.025053024291992188,-0.19530296325683594,0.22140216827392578,0.0017071387597492763,0.5714285714285714,0.3259026690286936,0.5714285714285714,0,0.0,0.21531701192718142
0.375,input-PSNR_q4,q1,14,10.318895408085414,,0.05723721640450614,-0.016361737251281733,0.06874608993530273,-0.22705020904541015,0.3030675411224365,0.17438952128092447,0.12461090087890625,0.02682018280029297,-0.29360389709472656,0.3238344192504883,0.001942151359149388,0.5714285714285714,0.3259026690286936,0.5714285714285714,1,42.857142857142854,0.3146926955395781
0.5,input-PSNR_q4,q1,14,10.318895408085414,,0.06839711325509208,-0.02892652579716273,0.08683633804321289,-0.30885596275329585,0.3813958168029785,0.22773869832356772,0.1624736785888672,0.021126747131347656,-0.3922290802001953,0.4201202392578125,0.001772876296724592,0.5714285714285714,0.3259026690286936,0.5714285714285714,3,128.57142857142856,0.4758972377320828
0.75,input-PSNR_q4,q1,14,10.318895408085414,,0.07819134848458427,-0.06504829951695033,0.1156764030456543,-0.4805996894836426,0.534264850616455,0.3265978495279948,0.2323598861694336,-0.013222058614095053,-0.5901947021484375,0.5923843383789062,0.0002425738743373326,0.5714285714285714,0.3259026690286936,0.5714285714285714,3,128.57142857142856,0.4758972377320828
1.0,input-PSNR_q4,q1,14,10.318895408085414,,0.07077421460832868,-0.11411115442003522,0.13467741012573242,-0.662009334564209,0.6759456634521483,0.4142862955729167,0.29412587483723956,-0.0785980224609375,-0.7886810302734375,0.7345771789550781,-0.0028532488005501883,0.5,0.2679886791947528,0.5,3,128.57142857142856,0.4758972377320828
0.0,input-PSNR_q4,q2,14,11.846193654196602,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.21531701192718142
0.125,input-PSNR_q4,q2,14,11.846193654196602,,0.0005098751613071986,-0.03214376653943743,-0.02531909942626953,-0.07976970672607422,0.14290037155151367,-0.047965685526529946,-0.08353964487711589,-0.06171703338623047,-0.08935070037841797,0.1633281707763672,0.002549846257482256,0.42857142857142855,0.21380509930400526,0.42857142857142855,0,0.0,0.21531701192718142
0.25,input-PSNR_q4,q2,14,11.846193654196602,,-0.004408768245152065,-0.07012250082833427,-0.05407571792602539,-0.1727602481842041,0.2787417888641357,-0.10154978434244792,-0.1750644048055013,-0.1325709025065104,-0.18944454193115234,0.32318592071533203,0.004463061690330505,0.42857142857142855,0.21380509930400526,0.42857142857142855,0,0.0,0.21531701192718142
0.375,input-PSNR_q4,q2,14,11.846193654196602,,-0.01470804214477539,-0.11369047846112933,-0.08619976043701172,-0.27811331748962403,0.406721544265747,-0.16045824686686197,-0.2740122477213542,-0.21207364400227866,-0.29951000213623047,0.47894287109375,0.0057467200926371986,0.42857142857142855,0.21380509930400526,0.42857142857142855,4,171.42857142857142,0.546495411724844
0.5,input-PSNR_q4,q2,14,11.846193654196602,,-0.030330657958984375,-0.16284266199384417,-0.12161540985107422,-0.39490714073181155,0.5260282039642333,-0.22438716888427734,-0.3798058827718099,-0.2996978759765625,-0.41875362396240234,0.6299171447753906,0.006412863731384277,0.42857142857142855,0.21380509930400526,0.42857142857142855,4,171.42857142857142,0.546495411724844
0.75,input-PSNR_q4,q2,14,11.846193654196602,,-0.0772688729422433,-0.27524196760995046,-0.20198917388916016,-0.6589399814605713,0.7354443073272704,-0.3660570780436198,-0.6095797220865885,-0.4970731735229492,-0.6815280914306641,0.9146261215209961,0.005950704216957092,0.42857142857142855,0.21380509930400526,0.42857142857142855,8,342.85714285714283,0.7861949006959947
1.0,input-PSNR_q4,q2,14,11.846193654196602,,-0.14459269387381418,-0.4094247817993164,-0.2944645881652832,-0.9570127487182618,0.9009675502777098,-0.5240608851114908,-0.8597456614176432,-0.7201124827067057,-0.9713544845581055,1.1711997985839844,0.003191583922931126,0.42857142857142855,0.21380509930400526,0.42857142857142855,8,342.85714285714283,0.7861949006959947
0.0,input-PSNR_q4,q3,13,12.6355012013362,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.22810184305529166
0.125,input-PSNR_q4,q3,13,12.6355012013362,,-0.04187503227820763,-0.08451434282156137,-0.055274009704589844,-0.16866722106933593,0.09321079254150372,-0.030449549357096355,-0.07534217834472656,-0.11967627207438152,-0.2459869384765625,0.1708812713623047,0.003727030295592088,0.3076923076923077,0.1268049716161809,0.3076923076923077,1,46.15384615384615,0.3331453392824736
0.25,input-PSNR_q4,q3,13,12.6355012013362,,-0.0913859147291917,-0.17771976544306828,-0.1137542724609375,-0.3409097671508789,0.17290611267089806,-0.06813367207845052,-0.15410677591959634,-0.2559957504272461,-0.49671363830566406,0.33202648162841797,0.006771773099899292,0.3076923076923077,0.1268049716161809,0.3076923076923077,3,138.46153846153848,0.5025687399512693
