variant,threshold,coverage,recall,precision,false_global,false_per_image_mean,false_per_image_p90,false_per_image_p95,ldhn_recall,ldhn_precision,ldhn_per_image_recall_p50,ldhn_per_image_recall_p75,ldhn_per_image_recall_p90,ldhn_images_with_support,pearson,spearman,auroc,auprc,auroc_high_vs_hard_negative,monotonic_pairs,monotonic_valid_pairs,target_high_prevalence
density_only_matched_threshold,0.2174890883266926,0.61177978515625,0.7261499278604204,0.5047981057658413,0.23967840554438022,0.2437480829544475,0.7058823529411765,0.8807947019867549,0.4306582229203352,0.3690752364474307,0.2533783783783784,0.5882352941176471,0.8011049723756906,599,0.2868388830789233,0.29970460342877375,0.6974356174748199,0.5396013884021774,0.8383259856739231,4,4,0.42529134114583333
density_only_matched_threshold,0.22289553284645083,0.6034110514322917,0.7176730488826976,0.5058245664196129,0.23251840210145783,0.23720069399118213,0.6966292134831461,0.8627450980392157,0.41998886439458066,0.36998887413415643,0.23978201634877383,0.5714285714285714,0.7932773109243697,599,0.2868388830789233,0.29970460342877375,0.6974356174748199,0.5396013884021774,0.8383259856739231,4,4,0.42529134114583333
density_only_matched_threshold,0.2283382592101892,0.5950089518229167,0.7092143483136177,0.5069213167803465,0.22522450723173099,0.23086855469186565,0.6773584905660377,0.8518518518518519,0.4098491261265747,0.3712492106838553,0.22872340425531915,0.5570247933884298,0.7849056603773585,599,0.2868388830789233,0.29970460342877375,0.6974356174748199,0.5396013884021774,0.8383259856739231,4,4,0.42529134114583333
density_only_matched_threshold,0.2338416837155819,0.5865091959635417,0.7007479936777409,0.5081285273743327,0.21783178773745804,0.2239284889864592,0.660377358490566,0.8366445916114791,0.39977728789161343,0.37279235470908045,0.21739130434782608,0.5454545454545454,0.775047258979206,599,0.2868388830789233,0.29970460342877375,0.6974356174748199,0.5396013884021774,0.8383259856739231,4,4,0.42529134114583333
density_only_matched_threshold,0.2393234822899103,0.5781221516927083,0.6923026877255558,0.5092874190680838,0.21094594293037328,0.21823975140219476,0.6502293577981652,0.8211920529801324,0.39009926984831134,0.37426550102276135,0.20813657827824192,0.5338345864661654,0.7607361963190185,599,0.2868388830789233,0.29970460342877375,0.6974356174748199,0.5396013884021774,0.8383259856739231,4,4,0.42529134114583333
density_only_matched_threshold,0.24482883264621097,0.569674072265625,0.6837961492389945,0.5104894105916226,0.20363929649618887,0.21201532597459835,0.6320754716981132,0.8125,0.3803126117521377,0.37606699879591954,0.19786096256684493,0.5263157894736842,0.7547169811320755,599,0.2868388830789233,0.29970460342877375,0.6974356174748199,0.5396013884021774,0.8383259856739231,4,4,0.42529134114583333
density_only_matched_threshold,0.25,0.5618074544270834,0.6757469412435563,0.5115441609968291,0.19720613222734765,0.2062960742346042,0.6250980392156863,0.8,0.37091977384762326,0.37749869853452683,0.1875,0.5106382978723404,0.7484662576687117,599,0.2868388830789233,0.29970460342877375,0.6974356174748199,0.5396013884021774,0.8383259856739231,4,4,0.42529134114583333
density_only_matched_threshold,0.25036572441458704,0.5612320963541667,0.6751661889253308,0.5116284971042947,0.19667694230235871,0.20582568912995095,0.6250980392156863,0.8,0.37034036023230865,0.37769724389455706,0.1875,0.5079365079365079,0.7484662576687117,599,0.2868388830789233,0.29970460342877375,0.6974356174748199,0.5396013884021774,0.8383259856739231,4,4,0.42529134114583333
density_only_matched_threshold,0.25590662807226183,0.5528666178385416,0.6665352718533175,0.5127306850172036,0.19010988660671307,0.19941810023621548,0.6043577981651376,0.7807211184694628,0.3607890889173566,0.37938634070181454,0.1782178217821782,0.49624060150375937,0.7406015037593985,599,0.2868388830789233,0.29970460342877375,0.6974356174748199,0.5396013884021774,0.8383259856739231,4,4,0.42529134114583333
density_only_matched_threshold,0.26144112770756084,0.5445589192708333,0.657979938690925,0.5138712463797571,0.1833579332264327,0.19292991349205307,0.5757575757575758,0.7692307692307693,0.35185797123754603,0.38160930826255585,0.16698292220113853,0.49019607843137253,0.7299107142857143,599,0.2868388830789233,0.29970460342877375,0.6974356174748199,0.5396013884021774,0.8383259856739231,4,4,0.42529134114583333
