variant,name,threshold,ldhn_pixels,ldhn_recall,pred_high_coverage
d7c_mc_topk_hn_ordinal,1308_0.84_1.04.png,0.5773006677627563,1301,0.0,0.044921875
d7c_mc_hn_ordinal,1308_0.84_1.04.png,0.5773006677627563,1301,0.03843197540353574,0.076416015625
density_only_matched_threshold,1308_0.84_1.04.png,0.43738746643066406,1301,0.0030745580322828594,0.473388671875
d7c_mc_topk_hn_ordinal,1322_0.64_1.06.png,0.5773006677627563,136,0.014705882352941176,0.208984375
d7c_mc_hn_ordinal,1322_0.64_1.06.png,0.5773006677627563,136,0.38235294117647056,0.28857421875
density_only_matched_threshold,1322_0.64_1.06.png,0.43738746643066406,136,0.022058823529411766,0.271240234375
d7c_mc_topk_hn_ordinal,1323_0.89_0.88.png,0.5773006677627563,707,0.011315417256011316,0.332275390625
d7c_mc_hn_ordinal,1323_0.89_0.88.png,0.5773006677627563,707,0.021216407355021217,0.340576171875
density_only_matched_threshold,1323_0.89_0.88.png,0.43738746643066406,707,0.0,0.301513671875
d7c_mc_topk_hn_ordinal,1324_0.55_1.43.png,0.5773006677627563,64,0.15625,0.32470703125
d7c_mc_hn_ordinal,1324_0.55_1.43.png,0.5773006677627563,64,0.265625,0.425537109375
density_only_matched_threshold,1324_0.55_1.43.png,0.43738746643066406,64,0.171875,0.344970703125
d7c_mc_topk_hn_ordinal,1326_0.77_0.97.png,0.5773006677627563,948,0.028481012658227847,0.404296875
d7c_mc_hn_ordinal,1326_0.77_0.97.png,0.5773006677627563,948,0.16877637130801687,0.387451171875
density_only_matched_threshold,1326_0.77_0.97.png,0.43738746643066406,948,0.004219409282700422,0.657470703125
d7c_mc_topk_hn_ordinal,1341_0.94_0.51.png,0.5773006677627563,312,0.0,0.330810546875
d7c_mc_hn_ordinal,1341_0.94_0.51.png,0.5773006677627563,312,0.01282051282051282,0.089111328125
density_only_matched_threshold,1341_0.94_0.51.png,0.43738746643066406,312,0.00641025641025641,0.0009765625
d7c_mc_topk_hn_ordinal,1347_0.75_1.79.png,0.5773006677627563,56,0.14285714285714285,0.9482421875
d7c_mc_hn_ordinal,1347_0.75_1.79.png,0.5773006677627563,56,0.42857142857142855,0.955078125
density_only_matched_threshold,1347_0.75_1.79.png,0.43738746643066406,56,0.05357142857142857,0.2861328125
d7c_mc_topk_hn_ordinal,136_0.6_1.01.png,0.5773006677627563,770,0.0,0.239990234375
d7c_mc_hn_ordinal,136_0.6_1.01.png,0.5773006677627563,770,0.0,0.151123046875
density_only_matched_threshold,136_0.6_1.01.png,0.43738746643066406,770,0.0,0.28369140625
d7c_mc_topk_hn_ordinal,1376_0.65_1.6.png,0.5773006677627563,40,0.0,0.615234375
d7c_mc_hn_ordinal,1376_0.65_1.6.png,0.5773006677627563,40,0.1,0.50732421875
density_only_matched_threshold,1376_0.65_1.6.png,0.43738746643066406,40,0.0,0.82373046875
d7c_mc_topk_hn_ordinal,1377_0.5_0.79.png,0.5773006677627563,1993,0.0,0.0
d7c_mc_hn_ordinal,1377_0.5_0.79.png,0.5773006677627563,1993,0.0,0.0
density_only_matched_threshold,1377_0.5_0.79.png,0.43738746643066406,1993,0.18364274962368288,0.264892578125
d7c_mc_topk_hn_ordinal,1380_0.67_1.78.png,0.5773006677627563,1733,0.008655510675129832,0.235107421875
d7c_mc_hn_ordinal,1380_0.67_1.78.png,0.5773006677627563,1733,0.027697634160415464,0.18408203125
density_only_matched_threshold,1380_0.67_1.78.png,0.43738746643066406,1733,0.09232544720138489,0.431640625
d7c_mc_topk_hn_ordinal,1386_0.99_1.78.png,0.5773006677627563,52,0.019230769230769232,0.62841796875
d7c_mc_hn_ordinal,1386_0.99_1.78.png,0.5773006677627563,52,0.019230769230769232,0.5615234375
density_only_matched_threshold,1386_0.99_1.78.png,0.43738746643066406,52,0.0,0.486572265625
d7c_mc_topk_hn_ordinal,1397_0.94_0.79.png,0.5773006677627563,119,0.06722689075630252,0.36669921875
d7c_mc_hn_ordinal,1397_0.94_0.79.png,0.5773006677627563,119,0.08403361344537816,0.35400390625
density_only_matched_threshold,1397_0.94_0.79.png,0.43738746643066406,119,0.0,0.071533203125
d7c_mc_topk_hn_ordinal,139_0.87_1.52.png,0.5773006677627563,803,0.008717310087173101,0.614501953125
d7c_mc_hn_ordinal,139_0.87_1.52.png,0.5773006677627563,803,0.0037359900373599006,0.577880859375
density_only_matched_threshold,139_0.87_1.52.png,0.43738746643066406,803,0.0,0.38330078125
d7c_mc_topk_hn_ordinal,1403_0.73_1.26.png,0.5773006677627563,14,0.0,0.4677734375
d7c_mc_hn_ordinal,1403_0.73_1.26.png,0.5773006677627563,14,0.0,0.2783203125
density_only_matched_threshold,1403_0.73_1.26.png,0.43738746643066406,14,0.0,0.669189453125
d7c_mc_topk_hn_ordinal,1407_0.6_1.92.png,0.5773006677627563,401,0.20947630922693267,0.573974609375
d7c_mc_hn_ordinal,1407_0.6_1.92.png,0.5773006677627563,401,0.9750623441396509,0.68212890625
density_only_matched_threshold,1407_0.6_1.92.png,0.43738746643066406,401,0.0,0.343505859375
d7c_mc_topk_hn_ordinal,1410_0.76_1.08.png,0.5773006677627563,623,0.006420545746388443,0.213134765625
d7c_mc_hn_ordinal,1410_0.76_1.08.png,0.5773006677627563,623,0.033707865168539325,0.197998046875
density_only_matched_threshold,1410_0.76_1.08.png,0.43738746643066406,623,0.4462279293739968,0.23876953125
d7c_mc_topk_hn_ordinal,141_0.71_1.48.png,0.5773006677627563,456,0.03508771929824561,0.473876953125
d7c_mc_hn_ordinal,141_0.71_1.48.png,0.5773006677627563,456,0.3092105263157895,0.671875
density_only_matched_threshold,141_0.71_1.48.png,0.43738746643066406,456,0.0021929824561403508,0.4072265625
d7c_mc_topk_hn_ordinal,1425_0.84_1.75.png,0.5773006677627563,780,0.0,0.550537109375
d7c_mc_hn_ordinal,1425_0.84_1.75.png,0.5773006677627563,780,0.0,0.564208984375
density_only_matched_threshold,1425_0.84_1.75.png,0.43738746643066406,780,0.7230769230769231,0.815185546875
d7c_mc_topk_hn_ordinal,1432_0.91_1.29.png,0.5773006677627563,296,0.02027027027027027,0.27294921875
d7c_mc_hn_ordinal,1432_0.91_1.29.png,0.5773006677627563,296,0.17567567567567569,0.2607421875
density_only_matched_threshold,1432_0.91_1.29.png,0.43738746643066406,296,0.006756756756756757,0.33251953125
d7c_mc_topk_hn_ordinal,1433_0.9_1.85.png,0.5773006677627563,76,0.3157894736842105,0.6640625
d7c_mc_hn_ordinal,1433_0.9_1.85.png,0.5773006677627563,76,0.34210526315789475,0.543212890625
density_only_matched_threshold,1433_0.9_1.85.png,0.43738746643066406,76,0.0,0.696533203125
d7c_mc_topk_hn_ordinal,1435_0.87_0.57.png,0.5773006677627563,43,0.023255813953488372,0.167724609375
d7c_mc_hn_ordinal,1435_0.87_0.57.png,0.5773006677627563,43,0.023255813953488372,0.136474609375
density_only_matched_threshold,1435_0.87_0.57.png,0.43738746643066406,43,0.0,0.22119140625
d7c_mc_topk_hn_ordinal,1436_0.66_1.76.png,0.5773006677627563,69,0.0,0.591064453125
d7c_mc_hn_ordinal,1436_0.66_1.76.png,0.5773006677627563,69,0.0,0.502685546875
density_only_matched_threshold,1436_0.66_1.76.png,0.43738746643066406,69,0.0,0.70263671875
d7c_mc_topk_hn_ordinal,1440_0.65_1.26.png,0.5773006677627563,431,0.07192575406032482,0.743896484375
d7c_mc_hn_ordinal,1440_0.65_1.26.png,0.5773006677627563,431,0.12296983758700696,0.7490234375
density_only_matched_threshold,1440_0.65_1.26.png,0.43738746643066406,431,0.09976798143851508,0.371337890625
d7c_mc_topk_hn_ordinal,1442_0.62_0.81.png,0.5773006677627563,608,0.01644736842105263,0.181396484375
d7c_mc_hn_ordinal,1442_0.62_0.81.png,0.5773006677627563,608,0.014802631578947368,0.154296875
