operator_label,split,feature,bin,n,feature_min,feature_max,direct_severe_le_0p2_rate,direct_hard_le_0p5_rate,fixed025_severe_le_0p2_rate,fixed05_severe_le_0p2_rate,wrong_direction_rate,harmful_overshoot_rate,wrong_or_harmful_rate,oracle_image_alpha_eq0_rate,oracle_image_alpha_le_0p125_rate,oracle_image_alpha_gt_0p125_rate,direct_psnr_delta_mean,fixed_alpha_0p125_psnr_delta_mean,fixed_alpha_0p25_psnr_delta_mean,oracle_image_selected_alpha_mean,alpha_star_mean,oracle_image_psnr_delta_mean
D_rep,OOF,t_p10,2,267,0.05882352963089943,0.10980392247438431,0.2546816479400749,0.13857677902621723,0.02247191011235955,0.11235955056179775,0.27340823970037453,0.24344569288389514,0.5168539325842697,0.2808988764044944,0.34831460674157305,0.651685393258427,0.039001156470270214,0.030448914174043253,0.053687200355912276,0.502691947565543,0.6226753165352017,0.21883045154106523
D_rep,OOF,t_p10,3,246,0.10980392247438431,0.18039216101169586,0.3048780487804878,0.09349593495934959,0.012195121951219513,0.07723577235772358,0.3089430894308943,0.3008130081300813,0.6097560975609756,0.32113821138211385,0.3780487804878049,0.6219512195121951,-0.05486039646823309,0.021037054762658144,0.034131364746269446,0.39926321138211385,nan,0.1274331884049159
D_rep,OOF,t_p10,4,246,0.18039216101169586,0.8352941274642944,0.3130081300813008,0.12195121951219512,0.0040650406504065045,0.11788617886178862,0.3943089430894309,0.3089430894308943,0.7032520325203252,0.4146341463414634,0.5365853658536586,0.4634146341463415,-0.09963449517822681,0.008829711549160263,0.011494691828429862,0.3238058943089431,0.276808940676864,0.08958551859494397
D_ref,CONFIRM_AUDIT_ONLY,frac_t_lt_0p5,0,120,0.013662109375,0.44962239583333335,0.24166666666666667,0.058333333333333334,0.0,0.041666666666666664,0.35833333333333334,0.25,0.6083333333333333,0.36666666666666664,0.44166666666666665,0.5583333333333333,-0.008148909314809138,0.01677170294156743,0.028453372011173705,0.4161458333333333,0.5408902037424516,0.1290789011828807
D_ref,CONFIRM_AUDIT_ONLY,frac_t_lt_0p5,1,120,0.45186197916666665,0.617724609375,0.31666666666666665,0.125,0.025,0.1,0.3,0.31666666666666665,0.6166666666666667,0.30833333333333335,0.38333333333333336,0.6166666666666667,-0.04012388200429715,0.021377118441007602,0.03518117126555372,0.43411458333333336,0.450891223814596,0.15011463488196597
D_ref,CONFIRM_AUDIT_ONLY,frac_t_lt_0p5,2,120,0.6203743489583333,0.7474283854166667,0.175,0.06666666666666667,0.008333333333333333,0.06666666666666667,0.19166666666666668,0.20833333333333334,0.4,0.19166666666666668,0.24166666666666667,0.7583333333333333,0.15313477813281545,0.04230017062351801,0.07819710687826248,0.60390625,1.1150944265741696,0.2698433834393122
D_ref,CONFIRM_AUDIT_ONLY,frac_t_lt_0p5,3,120,0.7497786458333333,0.838925,0.13333333333333333,0.075,0.03333333333333333,0.05,0.18333333333333332,0.15833333333333333,0.3416666666666667,0.18333333333333332,0.23333333333333334,0.7666666666666667,0.19612957374066756,0.044122859879951695,0.0828294780468918,0.646875,1.445107957483524,0.3085991548072805
D_ref,CONFIRM_AUDIT_ONLY,frac_t_lt_0p5,4,120,0.8393125,0.9679850260416667,0.175,0.06666666666666667,0.025,0.06666666666666667,0.26666666666666666,0.14166666666666666,0.4083333333333333,0.26666666666666666,0.3,0.7,0.2071946806256357,0.04107014551890626,0.07800746416939898,0.5997395833333333,1.3765729642717015,0.3227746957613291
D_ref,OOF,frac_t_lt_0p5,0,240,0.007330729166666667,0.458974609375,0.30416666666666664,0.12083333333333333,0.0125,0.11666666666666667,0.375,0.2708333333333333,0.6458333333333334,0.4,0.4625,0.5375,-0.05939299060723111,0.01180078781708899,0.018084103514710823,0.3712239583333333,0.3502585441861589,0.11653285882822348
D_ref,OOF,frac_t_lt_0p5,1,240,0.45898763020833333,0.630546875,0.2625,0.08333333333333333,0.004166666666666667,0.058333333333333334,0.25416666666666665,0.30416666666666664,0.5583333333333333,0.26666666666666666,0.35,0.65,0.0003779460269365783,0.026883166311860184,0.04612376263861799,0.46432291666666664,0.6861342402620151,0.1599229773666703
D_ref,OOF,frac_t_lt_0p5,2,240,0.631630859375,0.734,0.20833333333333334,0.1125,0.016666666666666666,0.08333333333333333,0.20833333333333334,0.2125,0.42083333333333334,0.21666666666666667,0.3,0.7,0.09604494060944066,0.0361999536123959,0.065649903439638,0.5708333333333333,nan,0.2349340876936034
D_ref,OOF,frac_t_lt_0p5,3,240,0.7345279947916666,0.8377375,0.19583333333333333,0.08333333333333333,0.020833333333333332,0.06666666666666667,0.24583333333333332,0.17083333333333334,0.4166666666666667,0.25416666666666665,0.29583333333333334,0.7041666666666667,0.13672882294208452,0.036724392685280716,0.06804363503870821,0.5899739583333333,1.0118117074103596,0.26030247236956566
D_ref,OOF,frac_t_lt_0p5,4,240,0.8379625,0.99427734375,0.18333333333333332,0.09583333333333334,0.008333333333333333,0.0875,0.2625,0.15833333333333333,0.42083333333333334,0.275,0.30833333333333335,0.6916666666666667,0.15748183339058214,0.0368367474950951,0.06893448350263627,0.5861979166666667,1.1503715636654306,0.28099146160109406
D_rep,CONFIRM_AUDIT_ONLY,frac_t_lt_0p5,0,120,0.013662109375,0.44962239583333335,0.2916666666666667,0.06666666666666667,0.0,0.06666666666666667,0.36666666666666664,0.225,0.5916666666666667,0.375,0.44166666666666665,0.5583333333333333,-0.020824941026491926,0.016260584864559745,0.027112278911051273,0.42083333333333334,0.5349116546101601,0.1354936691366878
D_rep,CONFIRM_AUDIT_ONLY,frac_t_lt_0p5,1,120,0.45186197916666665,0.617724609375,0.3333333333333333,0.14166666666666666,0.041666666666666664,0.11666666666666667,0.31666666666666665,0.26666666666666666,0.5833333333333334,0.325,0.38333333333333336,0.6166666666666667,-0.06351819109484941,0.01992633173275203,0.03180933337147434,0.44140625,0.464626453216691,0.15645879097690477
D_rep,CONFIRM_AUDIT_ONLY,frac_t_lt_0p5,2,120,0.6203743489583333,0.7474283854166667,0.2,0.08333333333333333,0.016666666666666666,0.075,0.2,0.225,0.425,0.2,0.275,0.725,0.14676735222100457,0.04272686880623316,0.07870111821017636,0.59609375,1.0805811884304937,0.2764055725806705
D_rep,CONFIRM_AUDIT_ONLY,frac_t_lt_0p5,3,120,0.7497786458333333,0.838925,0.15833333333333333,0.08333333333333333,0.03333333333333333,0.058333333333333334,0.175,0.16666666666666666,0.3416666666666667,0.175,0.2,0.8,0.20109727158221524,0.04577078433990929,0.08582964659596018,0.67109375,1.477853621771714,0.32296507678461134
