risk_threshold,group,fold,seed,val_count,val_positive,roc_auc,pr_auc,top50_positive,precision_at_50,recall_at_50,top50_enrichment,top100_positive,precision_at_100,recall_at_100,top100_enrichment,top200_positive,precision_at_200,recall_at_200,top200_enrichment
-0.1,B7_all_runtime_spatial_sensitivity,3,3411,480,16,0.8297413793103449,0.1206012109947413,6.0,0.12,0.375,3.6,9.0,0.09,0.5625,2.6999999999999997,14.0,0.07,0.875,2.1
-0.1,B7_all_runtime_spatial_sensitivity,4,3411,480,23,0.7219103796023214,0.22650789104502697,9.0,0.18,0.391304347826087,3.7565217391304344,13.0,0.13,0.5652173913043478,2.7130434782608694,16.0,0.08,0.6956521739130435,1.6695652173913043
-0.1,B7_all_runtime_spatial_sensitivity,0,2026,480,16,0.765625,0.2584286440689058,6.0,0.12,0.375,3.6,10.0,0.1,0.625,3.0,13.0,0.065,0.8125,1.9500000000000002
-0.1,B7_all_runtime_spatial_sensitivity,1,2026,480,17,0.796976241900648,0.13478025905416882,7.0,0.14,0.4117647058823529,3.952941176470589,10.0,0.1,0.5882352941176471,2.823529411764706,14.0,0.07,0.8235294117647058,1.9764705882352944
-0.1,B7_all_runtime_spatial_sensitivity,2,2026,480,15,0.8566308243727598,0.16034615796776447,7.0,0.14,0.4666666666666667,4.48,10.0,0.1,0.6666666666666666,3.2,14.0,0.07,0.9333333333333333,2.24
-0.1,B7_all_runtime_spatial_sensitivity,3,2026,480,16,0.7914870689655172,0.09574934522107598,4.0,0.08,0.25,2.4,9.0,0.09,0.5625,2.6999999999999997,13.0,0.065,0.8125,1.9500000000000002
-0.1,B7_all_runtime_spatial_sensitivity,4,2026,480,23,0.7828941109314052,0.2653491481338886,9.0,0.18,0.391304347826087,3.7565217391304344,14.0,0.14,0.6086956521739131,2.9217391304347826,18.0,0.09,0.782608695652174,1.8782608695652172
-0.2,B3_internal_spatial,0,3407,480,14,0.8102391171060699,0.28563200558873353,6.0,0.12,0.42857142857142855,4.114285714285714,8.0,0.08,0.5714285714285714,2.742857142857143,12.0,0.06,0.8571428571428571,2.057142857142857
-0.2,B3_internal_spatial,1,3407,480,14,0.8067136725935009,0.10309163863860046,5.0,0.1,0.35714285714285715,3.428571428571429,8.0,0.08,0.5714285714285714,2.742857142857143,13.0,0.065,0.9285714285714286,2.2285714285714286
-0.2,B3_internal_spatial,2,3407,480,10,0.79,0.1902220942909731,4.0,0.08,0.4,3.8400000000000003,7.0,0.07,0.7,3.3600000000000003,8.0,0.04,0.8,1.9200000000000002
-0.2,B3_internal_spatial,3,3407,480,12,0.7589031339031339,0.07281312601847258,4.0,0.08,0.3333333333333333,3.1999999999999997,8.0,0.08,0.6666666666666666,3.1999999999999997,9.0,0.045,0.75,1.7999999999999998
-0.2,B3_internal_spatial,4,3407,480,17,0.764070639054758,0.20151169441388675,4.0,0.08,0.23529411764705882,2.2588235294117647,11.0,0.11,0.6470588235294118,3.1058823529411765,14.0,0.07,0.8235294117647058,1.9764705882352944
-0.2,B3_internal_spatial,0,3411,480,14,0.8102391171060699,0.28563200558873353,6.0,0.12,0.42857142857142855,4.114285714285714,8.0,0.08,0.5714285714285714,2.742857142857143,12.0,0.06,0.8571428571428571,2.057142857142857
-0.2,B3_internal_spatial,1,3411,480,14,0.8067136725935009,0.10309163863860046,5.0,0.1,0.35714285714285715,3.428571428571429,8.0,0.08,0.5714285714285714,2.742857142857143,13.0,0.065,0.9285714285714286,2.2285714285714286
-0.2,B3_internal_spatial,2,3411,480,10,0.79,0.1902220942909731,4.0,0.08,0.4,3.8400000000000003,7.0,0.07,0.7,3.3600000000000003,8.0,0.04,0.8,1.9200000000000002
-0.2,B3_internal_spatial,3,3411,480,12,0.7587250712250713,0.072653745326305,4.0,0.08,0.3333333333333333,3.1999999999999997,8.0,0.08,0.6666666666666666,3.1999999999999997,9.0,0.045,0.75,1.7999999999999998
-0.2,B3_internal_spatial,4,3411,480,17,0.764070639054758,0.20151169441388675,4.0,0.08,0.23529411764705882,2.2588235294117647,11.0,0.11,0.6470588235294118,3.1058823529411765,14.0,0.07,0.8235294117647058,1.9764705882352944
-0.2,B3_internal_spatial,0,2026,480,14,0.8102391171060699,0.28563200558873353,6.0,0.12,0.42857142857142855,4.114285714285714,8.0,0.08,0.5714285714285714,2.742857142857143,12.0,0.06,0.8571428571428571,2.057142857142857
-0.2,B3_internal_spatial,1,2026,480,14,0.8067136725935009,0.10309163863860046,5.0,0.1,0.35714285714285715,3.428571428571429,8.0,0.08,0.5714285714285714,2.742857142857143,13.0,0.065,0.9285714285714286,2.2285714285714286
-0.2,B3_internal_spatial,2,2026,480,10,0.79,0.1902220942909731,4.0,0.08,0.4,3.8400000000000003,7.0,0.07,0.7,3.3600000000000003,8.0,0.04,0.8,1.9200000000000002
-0.2,B3_internal_spatial,3,2026,480,12,0.7589031339031339,0.07281312601847258,4.0,0.08,0.3333333333333333,3.1999999999999997,8.0,0.08,0.6666666666666666,3.1999999999999997,9.0,0.045,0.75,1.7999999999999998
-0.2,B3_internal_spatial,4,2026,480,17,0.764070639054758,0.20151169441388675,4.0,0.08,0.23529411764705882,2.2588235294117647,11.0,0.11,0.6470588235294118,3.1058823529411765,14.0,0.07,0.8235294117647058,1.9764705882352944
-0.2,B4_hazy_plus_internal_spatial,0,3407,480,14,0.8146842427958307,0.29244865510645596,8.0,0.16,0.5714285714285714,5.485714285714286,9.0,0.09,0.6428571428571429,3.0857142857142854,13.0,0.065,0.9285714285714286,2.2285714285714286
-0.2,B4_hazy_plus_internal_spatial,1,3407,480,14,0.7481606376456161,0.1040329967692116,6.0,0.12,0.42857142857142855,4.114285714285714,7.0,0.07,0.5,2.4000000000000004,11.0,0.055,0.7857142857142857,1.8857142857142857
-0.2,B4_hazy_plus_internal_spatial,2,3407,480,10,0.7861702127659574,0.20518799625856463,6.0,0.12,0.6,5.76,7.0,0.07,0.7,3.3600000000000003,8.0,0.04,0.8,1.9200000000000002
-0.2,B4_hazy_plus_internal_spatial,3,3407,480,12,0.7441239316239316,0.07053926705593051,6.0,0.12,0.5,4.8,7.0,0.07,0.5833333333333334,2.8000000000000003,9.0,0.045,0.75,1.7999999999999998
-0.2,B4_hazy_plus_internal_spatial,4,3407,480,17,0.7065175962393597,0.12902010874770264,5.0,0.1,0.29411764705882354,2.823529411764706,9.0,0.09,0.5294117647058824,2.541176470588235,12.0,0.06,0.7058823529411765,1.6941176470588235
-0.2,B4_hazy_plus_internal_spatial,0,3411,480,14,0.8143776824034334,0.2923931981410611,8.0,0.16,0.5714285714285714,5.485714285714286,9.0,0.09,0.6428571428571429,3.0857142857142854,13.0,0.065,0.9285714285714286,2.2285714285714286
-0.2,B4_hazy_plus_internal_spatial,1,3411,480,14,0.7481606376456161,0.1040329967692116,6.0,0.12,0.42857142857142855,4.114285714285714,7.0,0.07,0.5,2.4000000000000004,11.0,0.055,0.7857142857142857,1.8857142857142857
