group,bin,expert_selected_rate,unique_win_rate,count,mean_dPSNR,mean_bootstrap_LCB,hard_bottom25_dPSNR,hard_bootstrap_LCB,easy_top25_dPSNR,dSSIM,positive_ratio,positive_Wilson_LCB,nonnegative_ratio,severe_loss_count,severe_loss_per_600,severe_Wilson_UCB
haze_density_q4,q1,0.42,0.42,150,1.2449783325195312,1.1072046902974446,1.633038804337785,1.2744910317498286,0.9543205467430321,0.0,0.9866666666666667,0.9526921436197237,1.0,0,0.0,0.02497113914571871
haze_density_q4,q2,0.6733333333333333,0.6733333333333333,150,1.655447285970052,1.4589720408121745,2.355504731874208,1.9469825280679238,1.0766179883802258,0.0,0.98,0.9428523341357584,1.0,0,0.0,0.02497113914571871
haze_density_q4,q3,0.8533333333333334,0.8533333333333334,150,2.015008341471354,1.8248517557779949,2.5046264029837944,2.0647278321755898,1.3547084911449536,0.0,0.9933333333333333,0.9632062470660242,1.0,0,0.0,0.02497113914571871
haze_density_q4,q4,0.88,0.88,150,2.0861250432332357,1.9003535067240396,2.4857330837765255,2.130506167540679,1.3499249638737858,0.0,0.98,0.9428523341357584,1.0,0,0.0,0.02497113914571871
haze_density_p90_q4,q1,0.41333333333333333,0.41333333333333333,150,1.2227625274658203,1.0905791619618732,1.7733356372730151,1.4592974533905854,0.9027202709301098,0.0,0.98,0.9428523341357584,1.0,0,0.0,0.02497113914571871
haze_density_p90_q4,q2,0.6625766871165644,0.6625766871165644,163,1.530004653462603,1.3996300100548869,1.942062759399414,1.62607351064682,1.1072970390319825,0.0,0.9815950920245399,0.9472909504611251,1.0,0,0.0,0.023025432506041655
haze_density_p90_q4,q3,0.8450704225352113,0.8450704225352113,142,1.890961982834507,1.6984194560789727,2.3513783046177457,1.9764398738316127,1.3149417332240514,0.0,0.9788732394366197,0.9397290578508952,1.0,0,0.0,0.02634090684688045
haze_density_p90_q4,q4,0.9241379310344827,0.9241379310344827,145,2.406290422636887,2.175788717598751,3.1050904062059193,2.678762761751811,1.9016331566704645,0.0,1.0,0.9741900113946637,1.0,0,0.0,0.025809988605336138
transmission_q4,q1,0.88,0.88,150,2.0861250432332357,1.9003535067240396,2.4857330837765255,2.130506167540679,1.3499249638737858,0.0,0.98,0.9428523341357584,1.0,0,0.0,0.02497113914571871
transmission_q4,q2,0.8533333333333334,0.8533333333333334,150,2.015008341471354,1.8248517557779949,2.5046264029837944,2.0647278321755898,1.3547084911449536,0.0,0.9933333333333333,0.9632062470660242,1.0,0,0.0,0.02497113914571871
transmission_q4,q3,0.6733333333333333,0.6733333333333333,150,1.655447285970052,1.4589720408121745,2.355504731874208,1.9469825280679238,1.0766179883802258,0.0,0.98,0.9428523341357584,1.0,0,0.0,0.02497113914571871
transmission_q4,q4,0.42,0.42,150,1.2449783325195312,1.1072046902974446,1.633038804337785,1.2744910317498286,0.9543205467430321,0.0,0.9866666666666667,0.9526921436197237,1.0,0,0.0,0.02497113914571871
airlight_proxy_q4,q1,0.8466666666666667,0.8466666666666667,150,2.1036366780598956,1.8953320967356364,2.498251012853674,2.2035660176663785,1.3809784554146431,0.0,0.9866666666666667,0.9526921436197237,1.0,0,0.0,0.02497113914571871
airlight_proxy_q4,q2,0.8853503184713376,0.8853503184713376,157,2.0830285989554826,1.8803786569340215,3.1049695626283302,2.614460182189941,1.3096366295447717,0.0,1.0,0.9761156317768539,1.0,0,0.0,0.02388436822314625
airlight_proxy_q4,q3,0.6713286713286714,0.6713286713286714,143,1.5298905806107954,1.3879786217962946,2.251025172642299,1.8979641342163085,1.1616605486188616,0.0,0.972027972027972,0.9302882153718061,1.0,0,0.0,0.02616152370990237
airlight_proxy_q4,q4,0.41333333333333333,0.41333333333333333,150,1.2591900380452474,1.1329070116678874,1.9481510471653294,1.5785145192532926,0.9384882127916491,0.0,0.98,0.9428523341357584,1.0,0,0.0,0.02497113914571871
depth_q4,q1,0.74,0.74,150,2.036949831644694,1.8407233270009358,3.087658083116686,2.7018254254315353,0.9217057099213471,0.0,0.9933333333333333,0.9632062470660242,1.0,0,0.0,0.02497113914571871
depth_q4,q2,0.6733333333333333,0.6733333333333333,150,1.634228998819987,1.4691798833211265,1.984918027310758,1.5993726653021736,1.1477006448281777,0.0,0.9733333333333334,0.9334450938998244,1.0,0,0.0,0.02497113914571871
depth_q4,q3,0.7333333333333333,0.7333333333333333,150,1.929074846903483,1.7470343430836996,2.85570562208021,2.419704530045793,1.1399235081028294,0.0,0.9866666666666667,0.9526921436197237,1.0,0,0.0,0.02497113914571871
depth_q4,q4,0.68,0.68,150,1.401305325826009,1.2487539151509603,2.000555863251557,1.6498587427912532,0.8870675370499894,0.0,0.9866666666666667,0.9526921436197237,1.0,0,0.0,0.02497113914571871
dark_channel_q4,q1,0.5533333333333333,0.5533333333333333,150,1.525647799173991,1.3535092538197835,2.7123789916167387,2.30149659594974,0.9715771030735325,0.0,0.9866666666666667,0.9526921436197237,1.0,0,0.0,0.02497113914571871
dark_channel_q4,q2,0.66,0.66,150,1.8025329971313477,1.6100790379842123,2.4260660635458455,1.9931518632012446,1.1296327951792124,0.0,0.9933333333333333,0.9632062470660242,1.0,0,0.0,0.02497113914571871
