name,ldhn_components,ldhn_largest_component,ldhn_component_p50,ldhn_component_p90
2763_0.83_1.04.png,16,58,11.0,31.0
2767_0.69_0.71.png,26,66,3.0,30.0
2769_0.81_1.94.png,23,82,3.0,60.0
2771_0.52_0.87.png,23,121,2.0,27.0
2775_0.9_0.66.png,12,39,2.0,13.0
2779_0.73_0.56.png,27,162,2.0,38.0
2783_0.78_1.9.png,12,40,5.0,34.0
2784_0.56_0.55.png,19,16,3.0,13.0
2786_0.88_1.47.png,5,192,11.0,192.0
2790_0.56_1.84.png,6,24,14.0,20.0
2791_0.51_1.66.png,7,21,14.0,17.0
2792_0.52_0.69.png,8,19,8.0,12.0
2794_0.8_0.92.png,8,32,4.0,14.0
2800_0.75_0.87.png,26,626,2.0,42.0
2807_0.78_0.64.png,6,27,5.0,10.0
2809_0.86_1.19.png,11,45,2.0,16.0
281_0.93_1.17.png,1,82,82.0,82.0
2820_0.87_0.91.png,15,260,3.0,24.0
2827_0.92_0.93.png,16,30,4.0,28.0
2828_0.98_1.23.png,6,139,10.0,35.0
282_0.95_1.38.png,1,62,62.0,62.0
283_0.71_1.63.png,2,132,56.0,132.0
2843_0.7_0.5.png,9,99,27.0,60.0
2844_0.58_0.74.png,9,85,9.0,38.0
2845_0.61_0.81.png,14,44,5.0,27.0
2862_0.91_1.23.png,19,104,3.0,25.0
2872_0.75_1.98.png,13,16,2.0,11.0
2877_0.98_1.2.png,10,732,5.0,106.0
2884_0.65_1.22.png,18,113,8.0,40.0
288_0.77_1.7.png,5,815,14.0,815.0
2896_0.84_0.74.png,8,45,25.0,32.0
2899_0.92_1.08.png,14,72,3.0,55.0
28_0.54_1.24.png,11,638,6.0,568.0
2901_0.59_1.0.png,17,121,4.0,15.0
2905_0.99_0.96.png,22,213,5.0,95.0
2916_0.62_1.39.png,16,107,13.0,69.0
2918_0.6_1.92.png,22,69,6.0,22.0
2926_0.6_1.32.png,3,1,1.0,1.0
2928_0.93_0.58.png,4,7,5.0,7.0
2941_0.7_1.3.png,38,125,2.0,18.0
2953_0.65_1.26.png,15,101,6.0,57.0
2955_0.54_1.51.png,20,145,5.0,16.0
2963_0.61_1.33.png,20,74,2.0,8.0
2966_0.98_0.67.png,17,112,9.0,60.0
2978_0.94_1.66.png,7,10,1.0,2.0
2991_0.88_1.4.png,17,437,2.0,14.0
2994_0.81_0.58.png,15,90,4.0,62.0
2996_0.97_1.99.png,20,30,2.0,6.0
299_0.79_0.75.png,5,81,31.0,81.0
300_0.72_1.88.png,4,186,70.0,186.0
302_0.67_0.9.png,23,72,3.0,35.0
303_0.68_0.54.png,28,83,2.0,41.0
309_0.52_0.96.png,9,89,10.0,64.0
319_0.87_1.65.png,7,1557,1.0,92.0
325_0.68_1.71.png,12,82,11.0,67.0
326_0.56_0.94.png,21,156,7.0,81.0
33_0.9_0.83.png,6,395,10.0,74.0
344_0.57_1.11.png,10,192,3.0,41.0
349_0.53_1.37.png,2,687,136.0,687.0
34_0.67_1.92.png,2,379,175.0,379.0
355_0.85_0.53.png,18,250,1.0,54.0
356_0.65_0.6.png,14,379,3.0,273.0
361_0.83_0.87.png,15,834,12.0,60.0
363_0.77_0.88.png,25,472,4.0,54.0
365_0.89_1.63.png,7,148,5.0,9.0
367_0.56_0.63.png,15,91,4.0,66.0
377_0.97_1.14.png,8,220,6.0,161.0
382_0.85_0.82.png,3,301,83.0,301.0
