feature_set,probe,threshold,coverage,precision,recall
feature_set_3,linear,0.6068075561523438,0.32001709036530657,0.7191255006675568,0.4602649006622517
feature_set_3,linear,0.6173223793506623,0.2999893185216834,0.7276126045931992,0.43655201879940186
feature_set_3,linear,0.6280048036575316,0.2800149540696432,0.7343124165554072,0.4112369151890622
feature_set_3,linear,0.639411211013794,0.2599871822260201,0.7409613804437141,0.38528092287972654
feature_set_3,linear,0.6518211317062378,0.24001281777397993,0.7510013351134847,0.36049989318521686
feature_set_3,linear,0.6620655596256256,0.22003845332193975,0.7587378640776699,0.3339030121768853
feature_set_3,linear,0.6736215353012085,0.2000106814783166,0.7655540720961281,0.30623798333689384
feature_set_3,linear,0.6870140087604523,0.18003631702627643,0.770394541679027,0.2773979918820765
feature_set_3,linear,0.700962643623352,0.16000854518265328,0.7770360480640854,0.24866481521042513
feature_set_3,linear,0.7150992953777313,0.1400341807306131,0.7955758962623951,0.2228156376842555
feature_set_3,linear,0.7321785235404971,0.12000640888698996,0.8068535825545171,0.19365520187994018
feature_set_3,linear,0.7521677494049073,0.1000320444349498,0.813134009610251,0.16267891476180305
feature_set_3,linear,0.7745005536079407,0.08000427259132664,0.8324432576769025,0.13319803460798973
feature_set_3,linear,0.804692676067353,0.06002990813928648,0.8692170818505338,0.1043580431531724
feature_set_3,linear,0.8404357457160949,0.04000213629566332,0.9025367156208278,0.07220679342020936
feature_set_3,linear,0.8865117609500885,0.020027771843623157,0.9093333333333333,0.03642384105960265
feature_set_3,linear,0.9772461652755737,5.3407391582995086e-05,1.0,0.00010681478316599017
feature_set_3,mlp,0.00011507285671541467,1.0,0.5,1.0
feature_set_3,mlp,0.006188011607155203,0.9799722281563769,0.5100005449888277,0.999572740867336
feature_set_3,mlp,0.01618249289691448,0.9599978637043367,0.5201112656467316,0.9986114078188422
feature_set_3,mlp,0.03442541383206844,0.9399700918607136,0.5303977272727273,0.9971160008545182
feature_set_3,mlp,0.060689804106950754,0.9199957274086734,0.5408104028793684,0.9950865199743645
feature_set_3,mlp,0.0940725237131119,0.8999679555650502,0.5508871877039938,0.9915616321298868
feature_set_3,mlp,0.12926454424858091,0.87999359111301,0.5608423863567397,0.9870754112369152
feature_set_3,mlp,0.16481515139341357,0.8599658192693869,0.5698670972549994,0.9801324503311258
feature_set_3,mlp,0.1941494572162628,0.8399914548173467,0.5792853509664293,0.9731894894253365
feature_set_3,mlp,0.22019916623830796,0.8199636829737236,0.5879632645085651,0.9642170476393933
feature_set_3,mlp,0.24203543663024904,0.7999893185216834,0.5961679684892183,0.9538560136722922
feature_set_3,mlp,0.2608600103855133,0.7799615466780603,0.604286496850178,0.9426404614398632
feature_set_3,mlp,0.2783032393455505,0.7599871822260201,0.6127196064652143,0.9313180944242683
feature_set_3,mlp,0.29792551159858705,0.7400128177739799,0.621391454965358,0.9196752830591753
feature_set_3,mlp,0.3149922859668732,0.7199850459303567,0.6290334544915066,0.9057893612475967
feature_set_3,mlp,0.33186210691928864,0.7000106814783166,0.6392767223620965,0.8950010681478316
feature_set_3,mlp,0.349230637550354,0.6799829096346934,0.647109644989004,0.880046998504593
feature_set_3,mlp,0.3661831653118134,0.6600085451826533,0.654232076387765,0.8635975218970305
feature_set_3,mlp,0.38289415955543515,0.6399807733390301,0.6619377451389469,0.8472548600726341
feature_set_3,mlp,0.39798902869224545,0.62000640888699,0.6711172366267552,0.8321939756462294
feature_set_3,mlp,0.4142743945121767,0.5999786370433668,0.6804343955848318,0.8164922025208289
feature_set_3,mlp,0.42960300505161286,0.5800042725913266,0.6901473296500921,0.8005767998290964
feature_set_3,mlp,0.443287490606308,0.5599765007477034,0.7000476871721507,0.7840205084383679
feature_set_3,mlp,0.4560706317424774,0.5400021362956633,0.7089308673721689,0.7656483657338176
feature_set_3,mlp,0.4713631987571716,0.5199743644520401,0.7166187345932621,0.7452467421491135
feature_set_3,mlp,0.48686735332012177,0.5,0.7250587481307413,0.7250587481307413
