name,blur_radius,ldhn_q66_coverage,ldhn_q80_coverage
119_0.6_1.7.png,9,0.103515625,0.07958984375
119_0.6_1.7.png,15,0.105224609375,0.0810546875
1200_0.97_0.52.png,5,0.0546875,0.04150390625
1200_0.97_0.52.png,9,0.05517578125,0.041015625
1200_0.97_0.52.png,15,0.05615234375,0.040283203125
1205_0.78_1.01.png,5,0.009765625,0.0078125
1205_0.78_1.01.png,9,0.01025390625,0.008544921875
1205_0.78_1.01.png,15,0.01171875,0.00927734375
1208_0.63_0.83.png,5,0.0185546875,0.00927734375
1208_0.63_0.83.png,9,0.018798828125,0.010009765625
1208_0.63_0.83.png,15,0.020751953125,0.01123046875
1211_0.88_1.93.png,5,0.015625,0.01171875
1211_0.88_1.93.png,9,0.015380859375,0.0126953125
1211_0.88_1.93.png,15,0.01611328125,0.0126953125
1231_0.98_1.26.png,5,0.118896484375,0.05419921875
1231_0.98_1.26.png,9,0.119140625,0.052734375
1231_0.98_1.26.png,15,0.11767578125,0.052734375
123_0.94_1.22.png,5,0.01611328125,0.005615234375
123_0.94_1.22.png,9,0.017333984375,0.006103515625
123_0.94_1.22.png,15,0.0185546875,0.006591796875
1240_0.64_0.5.png,5,0.17919921875,0.07080078125
1240_0.64_0.5.png,9,0.1826171875,0.07177734375
1240_0.64_0.5.png,15,0.185302734375,0.068115234375
1246_0.62_2.0.png,5,0.083740234375,0.046142578125
1246_0.62_2.0.png,9,0.085693359375,0.0458984375
1246_0.62_2.0.png,15,0.092041015625,0.045654296875
1250_0.57_0.61.png,5,0.338134765625,0.333740234375
1250_0.57_0.61.png,9,0.338134765625,0.333740234375
1250_0.57_0.61.png,15,0.338134765625,0.334228515625
1254_0.97_1.31.png,5,0.004638671875,0.004638671875
1254_0.97_1.31.png,9,0.004638671875,0.004638671875
1254_0.97_1.31.png,15,0.004638671875,0.004638671875
1263_0.9_1.41.png,5,0.011474609375,0.00927734375
1263_0.9_1.41.png,9,0.01220703125,0.0107421875
1263_0.9_1.41.png,15,0.013427734375,0.011474609375
1266_0.96_1.34.png,5,0.01318359375,0.008544921875
1266_0.96_1.34.png,9,0.0146484375,0.008544921875
1266_0.96_1.34.png,15,0.015625,0.0087890625
126_0.75_1.47.png,5,0.14501953125,0.124755859375
126_0.75_1.47.png,9,0.145263671875,0.12451171875
126_0.75_1.47.png,15,0.1455078125,0.12451171875
1271_0.65_1.66.png,5,0.07080078125,0.041259765625
1271_0.65_1.66.png,9,0.07470703125,0.046875
1271_0.65_1.66.png,15,0.07861328125,0.05078125
1281_0.89_0.85.png,5,0.0654296875,0.03466796875
1281_0.89_0.85.png,9,0.066162109375,0.03564453125
1281_0.89_0.85.png,15,0.06884765625,0.03564453125
1282_0.62_0.6.png,5,0.61669921875,0.50634765625
1282_0.62_0.6.png,9,0.6162109375,0.50634765625
1282_0.62_0.6.png,15,0.615478515625,0.5078125
1292_0.66_1.45.png,5,0.1669921875,0.1064453125
1292_0.66_1.45.png,9,0.169189453125,0.1064453125
1292_0.66_1.45.png,15,0.169677734375,0.106689453125
1297_0.99_0.69.png,5,0.002197265625,0.0
1297_0.99_0.69.png,9,0.002197265625,0.0
1297_0.99_0.69.png,15,0.001708984375,0.0
129_0.95_1.3.png,5,0.009765625,0.008544921875
129_0.95_1.3.png,9,0.010498046875,0.008544921875
129_0.95_1.3.png,15,0.01318359375,0.009033203125
1305_1.0_1.54.png,5,0.016845703125,0.010009765625
1305_1.0_1.54.png,9,0.017578125,0.009765625
1305_1.0_1.54.png,15,0.019287109375,0.010498046875
1306_0.6_0.6.png,5,0.054931640625,0.003662109375
1306_0.6_0.6.png,9,0.05908203125,0.003173828125
1306_0.6_0.6.png,15,0.0595703125,0.002685546875
1308_0.84_1.04.png,5,0.31640625,0.269775390625
1308_0.84_1.04.png,9,0.317626953125,0.26953125
1308_0.84_1.04.png,15,0.318359375,0.266845703125
1322_0.64_1.06.png,5,0.031982421875,0.0185546875
1322_0.64_1.06.png,9,0.033203125,0.01953125
1322_0.64_1.06.png,15,0.034423828125,0.020263671875
1323_0.89_0.88.png,5,0.1728515625,0.137939453125
1323_0.89_0.88.png,9,0.172607421875,0.136962890625
1323_0.89_0.88.png,15,0.171142578125,0.13671875
1324_0.55_1.43.png,5,0.01513671875,0.00439453125
1324_0.55_1.43.png,9,0.015625,0.00390625
1324_0.55_1.43.png,15,0.0185546875,0.00341796875
1326_0.77_0.97.png,5,0.230712890625,0.11328125
1326_0.77_0.97.png,9,0.2314453125,0.113525390625
1326_0.77_0.97.png,15,0.232421875,0.112548828125
1341_0.94_0.51.png,5,0.07470703125,0.0380859375
1341_0.94_0.51.png,9,0.076171875,0.039306640625
1341_0.94_0.51.png,15,0.07763671875,0.0400390625
1347_0.75_1.79.png,5,0.01318359375,0.009521484375
1347_0.75_1.79.png,9,0.013671875,0.01025390625
1347_0.75_1.79.png,15,0.0146484375,0.010498046875
136_0.6_1.01.png,5,0.189208984375,0.10498046875
136_0.6_1.01.png,9,0.18798828125,0.1044921875
136_0.6_1.01.png,15,0.1875,0.104248046875
1376_0.65_1.6.png,5,0.0087890625,0.00439453125
1376_0.65_1.6.png,9,0.009765625,0.004638671875
1376_0.65_1.6.png,15,0.00927734375,0.006103515625
1377_0.5_0.79.png,5,0.4833984375,0.328369140625
1377_0.5_0.79.png,9,0.486572265625,0.3271484375
1377_0.5_0.79.png,15,0.48876953125,0.3251953125
1380_0.67_1.78.png,5,0.420166015625,0.368896484375
1380_0.67_1.78.png,9,0.423095703125,0.36962890625
1380_0.67_1.78.png,15,0.42626953125,0.372314453125
1386_0.99_1.78.png,5,0.011474609375,0.00927734375
1386_0.99_1.78.png,9,0.0126953125,0.00927734375
1386_0.99_1.78.png,15,0.013427734375,0.010009765625
1397_0.94_0.79.png,5,0.02734375,0.0107421875
1397_0.94_0.79.png,9,0.029052734375,0.010498046875
1397_0.94_0.79.png,15,0.0302734375,0.010009765625
139_0.87_1.52.png,5,0.195068359375,0.15576171875
139_0.87_1.52.png,9,0.196044921875,0.1572265625
139_0.87_1.52.png,15,0.19873046875,0.1572265625
1403_0.73_1.26.png,5,0.00341796875,0.00341796875
1403_0.73_1.26.png,9,0.00341796875,0.00341796875
1403_0.73_1.26.png,15,0.00341796875,0.00341796875
1407_0.6_1.92.png,5,0.09716796875,0.082275390625
