variant,name,need_pearson,need_mae,need_target_mean,need_pred_mean,need_target_max,need_pred_max,hard_negative_pixels,false_strong_pixels,low_context_false_strong_rate
d7a_hn_ordinal,2070_0.86_0.78.png,0.3251868099506664,0.18751230835914612,0.3191884756088257,0.3887125849723816,0.9512750506401062,0.5747894048690796,1334,0,0.0
d7a_hn_ordinal,2109_0.56_1.42.png,0.49273329241488917,0.22402223944664001,0.4283783733844757,0.40535229444503784,0.99114990234375,0.5571585893630981,1300,0,0.0
d7a_hn_ordinal,2111_0.68_1.03.png,0.3229067297512491,0.19690045714378357,0.37080541253089905,0.3841438591480255,0.9432623982429504,0.5471831560134888,1621,0,0.0
d7a_hn_ordinal,2115_0.75_1.52.png,0.5527651460855875,0.21137478947639465,0.4839734137058258,0.38146787881851196,0.9610251188278198,0.5670538544654846,1093,0,0.0
d7a_hn_ordinal,2121_0.73_0.63.png,0.1834403286835275,0.22673669457435608,0.19411185383796692,0.36855584383010864,0.90461266040802,0.5154159069061279,3023,0,0.0
d7a_hn_ordinal,2132_0.76_1.7.png,0.4222534698760356,0.20448943972587585,0.5138052701950073,0.42380619049072266,0.9780999422073364,0.5679143071174622,701,0,0.0
d7a_hn_ordinal,2140_0.55_0.94.png,0.5192899189170301,0.1694127917289734,0.3872508704662323,0.35492682456970215,0.9074376225471497,0.508634090423584,1089,0,0.0
d7a_hn_ordinal,2156_0.71_1.75.png,0.5991069472948445,0.1708889603614807,0.4563201665878296,0.37561172246932983,0.9698247909545898,0.5424512028694153,604,0,0.0
d7a_hn_ordinal,2216_0.58_1.17.png,0.22896138718695716,0.17829354107379913,0.3571240305900574,0.3765257000923157,0.9340876340866089,0.5539397597312927,583,0,0.0
d7a_hn_ordinal,2244_0.77_1.02.png,0.49709688509376365,0.1593930423259735,0.2770293951034546,0.31628096103668213,0.9493875503540039,0.5140666365623474,1077,0,0.0
d7a_hn_ordinal,2269_0.52_1.13.png,-0.15107277387840254,0.16555267572402954,0.16492387652397156,0.26438313722610474,0.6962001323699951,0.40600061416625977,311,0,0.0
d7a_hn_ordinal,2282_0.93_1.05.png,0.35599428827456775,0.1773560345172882,0.2642034888267517,0.29265135526657104,0.9193874597549438,0.5521207451820374,1281,0,0.0
d7a_hn_ordinal,2334_0.56_0.79.png,-0.049115828032181334,0.18953435122966766,0.3828638792037964,0.42886605858802795,0.9615371823310852,0.5589592456817627,1386,0,0.0
d7a_hn_ordinal,2365_0.53_0.5.png,-0.15322913485221248,0.19916485249996185,0.23022253811359406,0.3022111654281616,0.9025998115539551,0.4737704396247864,2419,0,0.0
d7a_hn_ordinal,2395_0.78_1.43.png,0.22037266026086483,0.18966686725616455,0.34523338079452515,0.3330918848514557,0.974212646484375,0.49917030334472656,601,0,0.0
d7a_hn_ordinal,2408_0.55_1.94.png,0.2685351671512766,0.1977883279323578,0.40770846605300903,0.3587924838066101,0.9463372230529785,0.5131084322929382,1458,0,0.0
d7a_hn_ordinal,2410_0.57_1.09.png,0.32045871735636644,0.1774452030658722,0.2916679382324219,0.3348521590232849,0.9117749333381653,0.5376909375190735,1091,0,0.0
