mode,split,fold,index,name,mapper,K,candidate_scale,family,anchor_psnr,output_psnr,oracle_psnr,output_gain,oracle_gain,corr,P_benefit,proxy_score,M_safe_mean,M_safe_nonzero_frac,pred_abs_mean,scaled_pred_abs_mean,target_abs_mean
v04d,train,0,67,1061_0.91_0.94.png,spatial_priors_kernel_knn_9,16,1.0,spatial_priors_kernel_knn,35.471275329589844,35.74793243408203,36.401832580566406,0.2766571044921875,0.9305572509765625,0.4983236789703369,1.0,0.9999305009841919,0.10785474628210068,1.0,0.0056603411212563515,0.0056603411212563515,0.01212986558675766
v04d,train,0,67,1061_0.91_0.94.png,spatial_priors_ridge_10,16,1.0,spatial_priors_ridge,35.471275329589844,36.028038024902344,36.401832580566406,0.5567626953125,0.9305572509765625,0.6306585073471069,1.0,0.9999305009841919,0.10785474628210068,1.0,0.009677639231085777,0.009677639231085777,0.01212986558675766
v04d,train,0,67,1061_0.91_0.94.png,global_mean_coeff,16,1.0,global_mean,35.471275329589844,35.728858947753906,36.401832580566406,0.2575836181640625,0.9305572509765625,0.35756421089172363,1.0,0.9999305009841919,0.10785474628210068,1.0,0.006135018542408943,0.006135018542408943,0.01212986558675766
v04d,train,0,68,1062_0.58_1.51.png,global_plus_spatial_kernel_knn_9,16,1.0,global_plus_spatial_kernel_knn,34.52985763549805,35.02609634399414,36.10275650024414,0.49623870849609375,1.5728988647460938,0.7188583016395569,1.0,0.9999920129776001,0.18215309083461761,1.0,0.006403880659490824,0.006403880659490824,0.014117255806922913
v04d,train,0,68,1062_0.58_1.51.png,convir_spatial_kernel_knn_9,16,1.0,convir_spatial_kernel_knn,34.52985763549805,35.07029342651367,36.10275650024414,0.540435791015625,1.5728988647460938,0.6682475209236145,1.0,0.9999920129776001,0.18215309083461761,1.0,0.007315735798329115,0.007315735798329115,0.014117255806922913
v04d,train,0,68,1062_0.58_1.51.png,spatial_priors_kernel_knn_9,16,1.0,spatial_priors_kernel_knn,34.52985763549805,35.04031753540039,36.10275650024414,0.5104598999023438,1.5728988647460938,0.7307586669921875,1.0,0.9999920129776001,0.18215309083461761,1.0,0.0064935521222651005,0.0064935521222651005,0.014117255806922913
v04d,train,0,68,1062_0.58_1.51.png,spatial_priors_ridge_10,16,1.0,spatial_priors_ridge,34.52985763549805,35.51258087158203,36.10275650024414,0.9827232360839844,1.5728988647460938,0.8352760076522827,1.0,0.9999920129776001,0.18215309083461761,1.0,0.011882249265909195,0.011882249265909195,0.014117255806922913
v04d,train,0,68,1062_0.58_1.51.png,global_mean_coeff,16,1.0,global_mean,34.52985763549805,34.74982833862305,36.10275650024414,0.219970703125,1.5728988647460938,0.11349146068096161,1.0,0.9999920129776001,0.18215309083461761,1.0,0.006135018542408943,0.006135018542408943,0.014117255806922913
v04d,train,0,69,1063_0.51_1.61.png,global_plus_spatial_kernel_knn_9,16,1.0,global_plus_spatial_kernel_knn,34.049652099609375,34.499568939208984,35.521324157714844,0.4499168395996094,1.4716720581054688,0.713543713092804,1.0,0.999997615814209,0.17347022891044617,1.0,0.006422251928597689,0.006422251928597689,0.015106525272130966
v04d,train,0,69,1063_0.51_1.61.png,convir_spatial_kernel_knn_9,16,1.0,convir_spatial_kernel_knn,34.049652099609375,34.54535675048828,35.521324157714844,0.49570465087890625,1.4716720581054688,0.7451896071434021,1.0,0.999997615814209,0.17347022891044617,1.0,0.006658295635133982,0.006658295635133982,0.015106525272130966
