bootstrap_replicates,bootstrap_seed,endpoint,estimate,key,kind,lower,max_statistic_critical,method,method_index,operator,schema_version,simultaneous_max_statistic,standard_error,upper,window,window_index
1000,3407,harm,-6.313324862894376e-10,0041:absolute:historical_sequential_gradient:prestratified32:D_ref:harm,absolute,-1.46748681119781e-09,5.707624518672681,historical_sequential_gradient,0,D_ref,1,True,1.4649778067440598e-10,2.0482183861893485e-10,prestratified32,2
1000,3407,margin,-1.1247178747153183e-09,0042:absolute:historical_sequential_gradient:prestratified32:D_ref:margin,absolute,-1.8750134585686775e-09,5.707624518672681,historical_sequential_gradient,0,D_ref,1,True,1.3145496544118183e-10,-3.74422290861959e-10,prestratified32,2
1000,3407,cvar25,-2.208669913628114e-09,0043:absolute:historical_sequential_gradient:prestratified32:D_ref:cvar25,absolute,-5.141089246635104e-09,5.707624518672681,historical_sequential_gradient,0,D_ref,1,True,5.137722923807417e-10,7.237494193788763e-10,prestratified32,2
1000,3407,cvar10,-3.232452410239031e-09,0044:absolute:historical_sequential_gradient:prestratified32:D_ref:cvar10,absolute,-9.50858721241481e-09,5.707624518672681,historical_sequential_gradient,0,D_ref,1,True,1.0996054105597166e-09,3.043682391936747e-09,prestratified32,2
1000,3407,severe_rate,-3.0517578125e-05,0045:absolute:historical_sequential_gradient:prestratified32:D_ref:severe_rate,absolute,-0.0003316747023598262,5.707624518672681,historical_sequential_gradient,0,D_ref,1,True,5.276400422795521e-05,0.0002706395461098262,prestratified32,2
1000,3407,hard_rate,-3.0517578125e-05,0046:absolute:historical_sequential_gradient:prestratified32:D_ref:hard_rate,absolute,-0.00033582972527861115,5.707624518672681,historical_sequential_gradient,0,D_ref,1,True,5.34919818489763e-05,0.00027479456902861115,prestratified32,2
1000,3407,render_mse,-2.896880513247879e-10,0047:absolute:historical_sequential_gradient:prestratified32:D_ref:render_mse,absolute,-1.306217950151341e-09,5.707624518672681,historical_sequential_gradient,0,D_ref,1,True,1.7810034551168216e-10,7.268418475017652e-10,prestratified32,2
1000,3407,mean_psnr,1.0371309215884139e-05,0048:absolute:historical_sequential_gradient:prestratified32:D_ref:mean_psnr,absolute,-5.947224006537307e-06,5.707624518672681,historical_sequential_gradient,0,D_ref,1,True,2.8590761654055603e-06,2.6689842438305586e-05,prestratified32,2
1000,3407,p05_psnr,-1.968679325869971e-05,0049:absolute:historical_sequential_gradient:prestratified32:D_ref:p05_psnr,absolute,-0.00014197252406272592,5.707624518672681,historical_sequential_gradient,0,D_ref,1,True,2.142497818557693e-05,0.0001025989375453265,prestratified32,2
1000,3407,anchor,-2.3227858525487477e-10,0050:absolute:historical_sequential_gradient:prestratified32:D_rep:anchor,absolute,-6.163261738091841e-10,5.707624518672681,historical_sequential_gradient,0,D_rep,1,True,6.728676479994172e-11,1.5176900329943448e-10,prestratified32,2
1000,3407,harm,-6.294748611246348e-10,0051:absolute:historical_sequential_gradient:prestratified32:D_rep:harm,absolute,-1.4636322173643445e-09,5.707624518672681,historical_sequential_gradient,0,D_rep,1,True,1.4614790330210695e-10,2.046824951150749e-10,prestratified32,2
1000,3407,margin,-1.116763118178682e-09,0052:absolute:historical_sequential_gradient:prestratified32:D_rep:margin,absolute,-1.8632716121370536e-09,5.707624518672681,historical_sequential_gradient,0,D_rep,1,True,1.3079145124493465e-10,-3.702546242203104e-10,prestratified32,2
1000,3407,cvar25,-2.2159523105358403e-09,0053:absolute:historical_sequential_gradient:prestratified32:D_rep:cvar25,absolute,-5.133959181337354e-09,5.707624518672681,historical_sequential_gradient,0,D_rep,1,True,5.112471679339029e-10,7.020545602656732e-10,prestratified32,2
1000,3407,cvar10,-3.1858147875100625e-09,0054:absolute:historical_sequential_gradient:prestratified32:D_rep:cvar10,absolute,-9.524885287136763e-09,5.707624518672681,historical_sequential_gradient,0,D_rep,1,True,1.1106320114240563e-09,3.153255712116638e-09,prestratified32,2
1000,3407,severe_rate,-6.103515625e-05,0055:absolute:historical_sequential_gradient:prestratified32:D_rep:severe_rate,absolute,-0.00051465007905676,5.707624518672681,historical_sequential_gradient,0,D_rep,1,True,7.947525653145962e-05,0.00039257976655676,prestratified32,2
1000,3407,hard_rate,-6.103515625e-05,0056:absolute:historical_sequential_gradient:prestratified32:D_rep:hard_rate,absolute,-0.00044848627819374734,5.707624518672681,historical_sequential_gradient,0,D_rep,1,True,6.788307827121218e-05,0.00032641596569374734,prestratified32,2
1000,3407,render_mse,-2.8358415615770127e-10,0057:absolute:historical_sequential_gradient:prestratified32:D_rep:render_mse,absolute,-1.2990950483492183e-09,5.707624518672681,historical_sequential_gradient,0,D_rep,1,True,1.7792181123149214e-10,7.319267360338157e-10,prestratified32,2
1000,3407,mean_psnr,1.0185562928199943e-05,0058:absolute:historical_sequential_gradient:prestratified32:D_rep:mean_psnr,absolute,-6.083536346748223e-06,5.707624518672681,historical_sequential_gradient,0,D_rep,1,True,2.850415128346876e-06,2.645466220314811e-05,prestratified32,2
1000,3407,p05_psnr,-1.9667567929815277e-05,0059:absolute:historical_sequential_gradient:prestratified32:D_rep:p05_psnr,absolute,-0.0001389502238433311,5.707624518672681,historical_sequential_gradient,0,D_rep,1,True,2.0898826740140088e-05,9.961508798370054e-05,prestratified32,2
1000,3407,anchor,-2.53505383351893e-10,0060:absolute:exact_gradient_intersection:fixed4:D_ref:anchor,absolute,-6.716110307065905e-10,5.707624518672681,exact_gradient_intersection,1,D_ref,1,True,7.325388101246869e-11,1.6460026400280448e-10,fixed4,0
1000,3407,harm,-6.89175272405862e-10,0061:absolute:exact_gradient_intersection:fixed4:D_ref:harm,absolute,-1.6001480558519925e-09,5.707624518672681,exact_gradient_intersection,1,D_ref,1,True,1.5960629163075695e-10,2.2179751104026872e-10,fixed4,0
