variant,control_family,control_name,stage_set,source_bucket,target_bucket,pre_envelope_mean_dpsnr,pre_envelope_p05,pre_envelope_cvar5,pre_envelope_unsafe_rate,pre_envelope_severe_rate,post_envelope_accept_rate,post_envelope_mean_dpsnr,post_envelope_p05,post_envelope_cvar5,post_envelope_unsafe_rate,post_envelope_severe_rate,gate_interpretation
energy_norm_plus_bucket_strength_plus_alignment_gate,plausible_miscalibration,overstrong_2.0,S5_bottleneck_mid,easy_top25,easy_top25,-0.22307910919189453,-1.7459392547607422,-1.9722557067871094,0.55,0.45,0.0,nan,nan,nan,0.0,0.0,PASS_POST_PLAUSIBLE_CONTROL
energy_norm_plus_bucket_strength_plus_alignment_gate,plausible_miscalibration,overstrong_2.0,S5_bottleneck_mid,hard_bottom25,hard_bottom25,0.44375953674316404,-2.932516574859619,-3.4180641174316406,0.4,0.35,1.0,0.6708697319030762,-0.4445174217224121,-0.47536277770996094,0.2,0.15,PASS_POST_PLAUSIBLE_CONTROL
energy_norm_plus_bucket_strength_plus_alignment_gate,plausible_miscalibration,overstrong_2.0,S5_bottleneck_mid,mid_50,mid_50,0.26124916076660154,-3.00313663482666,-3.8853225708007812,0.425,0.4,0.7,0.6332123620169503,-0.5779478073120117,-0.6997833251953125,0.25,0.17857142857142858,PASS_POST_PLAUSIBLE_CONTROL
energy_norm_plus_bucket_strength_plus_alignment_gate,plausible_miscalibration,overstrong_2.0,S6_early_mid_final,all,easy_top25,-2.407693862915039,-5.610635566711426,-6.112007141113281,0.8,0.8,0.0,nan,nan,nan,0.0,0.0,PASS_POST_PLAUSIBLE_CONTROL
energy_norm_plus_bucket_strength_plus_alignment_gate,plausible_miscalibration,overstrong_2.0,S6_early_mid_final,all,hard_bottom25,0.6564722061157227,-0.9544253349304199,-1.1396007537841797,0.4,0.35,0.0,nan,nan,nan,0.0,0.0,PASS_POST_PLAUSIBLE_CONTROL
energy_norm_plus_bucket_strength_plus_alignment_gate,plausible_miscalibration,overstrong_2.0,S6_early_mid_final,all,mid_50,0.18825874328613282,-2.8512319564819335,-4.239990234375,0.425,0.425,0.0,nan,nan,nan,0.0,0.0,PASS_POST_PLAUSIBLE_CONTROL
energy_norm_plus_bucket_strength_plus_alignment_gate,plausible_miscalibration,overstrong_2.0,S6_early_mid_final,easy_top25,easy_top25,-0.8556320190429687,-2.799155426025391,-2.895030975341797,0.8,0.75,0.0,nan,nan,nan,0.0,0.0,PASS_POST_PLAUSIBLE_CONTROL
energy_norm_plus_bucket_strength_plus_alignment_gate,plausible_miscalibration,overstrong_2.0,S6_early_mid_final,hard_bottom25,hard_bottom25,-0.11092557907104492,-3.435240364074707,-4.430717468261719,0.5,0.5,0.85,0.5865944133085363,-0.6911716461181641,-1.0226001739501953,0.29411764705882354,0.23529411764705882,PASS_POST_PLAUSIBLE_CONTROL
energy_norm_plus_bucket_strength_plus_alignment_gate,plausible_miscalibration,overstrong_2.0,S6_early_mid_final,mid_50,mid_50,-0.1750655174255371,-3.7924753189086915,-4.451255798339844,0.45,0.45,0.725,0.3675306912126212,-1.5751686096191406,-1.6356525421142578,0.3793103448275862,0.3103448275862069,FAIL_POST_PLAUSIBLE_CONTROL
energy_norm_plus_bucket_strength_plus_alignment_gate,plausible_routing_error,cross_bucket_mismatch,S4_final_decoder,easy_top25,hard_bottom25,0.038673114776611325,-0.09421892166137695,-0.10044670104980469,0.25,0.0,0.0,nan,nan,nan,0.0,0.0,PASS_POST_PLAUSIBLE_CONTROL
energy_norm_plus_bucket_strength_plus_alignment_gate,plausible_routing_error,cross_bucket_mismatch,S4_final_decoder,hard_bottom25,easy_top25,-1.9788589477539062,-4.691990852355957,-5.8726959228515625,0.85,0.8,0.0,nan,nan,nan,0.0,0.0,PASS_POST_PLAUSIBLE_CONTROL
energy_norm_plus_bucket_strength_plus_alignment_gate,plausible_routing_error,cross_bucket_mismatch,S4_final_decoder,hard_bottom25,mid_50,0.14369068145751954,-2.1996028900146483,-2.4860363006591797,0.45,0.4,0.0,nan,nan,nan,0.0,0.0,PASS_POST_PLAUSIBLE_CONTROL
energy_norm_plus_bucket_strength_plus_alignment_gate,plausible_routing_error,cross_bucket_mismatch,S4_final_decoder,mid_50,easy_top25,-0.5752531051635742,-2.8404590606689455,-2.9691314697265625,0.7,0.65,0.0,nan,nan,nan,0.0,0.0,PASS_POST_PLAUSIBLE_CONTROL
energy_norm_plus_bucket_strength_plus_alignment_gate,plausible_routing_error,cross_bucket_mismatch,S4_final_decoder,mid_50,hard_bottom25,0.34107246398925783,-0.3798958778381348,-0.3988075256347656,0.35,0.2,0.0,nan,nan,nan,0.0,0.0,PASS_POST_PLAUSIBLE_CONTROL
energy_norm_plus_bucket_strength_plus_alignment_gate,plausible_routing_error,cross_bucket_mismatch,S5_bottleneck_mid,easy_top25,hard_bottom25,0.09138374328613282,-0.04107656478881836,-0.04944610595703125,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,PASS_POST_PLAUSIBLE_CONTROL
