variant,stage_set,action_family,count,mean_dpsnr,p05_dpsnr,cvar5_dpsnr,unsafe_rate,severe_rate,target_bucket
energy_norm,S5_bottleneck_mid,medium,40,0.49747252464294434,-0.31966457366943357,-0.4757413864135742,0.175,0.075,hard_bottom25
energy_norm,S5_bottleneck_mid,medium,80,0.4766079902648926,-0.7673240661621094,-1.2027158737182617,0.2625,0.2125,mid_50
energy_norm,S5_bottleneck_mid,mild,40,0.10259647369384765,-0.5236276626586914,-0.6275520324707031,0.25,0.125,easy_top25
energy_norm,S5_bottleneck_mid,mild,40,0.28815655708312987,-0.18198919296264648,-0.3059368133544922,0.075,0.05,hard_bottom25
energy_norm,S5_bottleneck_mid,mild,80,0.27459087371826174,-0.3306079864501953,-0.6261663436889648,0.2125,0.1,mid_50
energy_norm,S5_bottleneck_mid,strong,40,0.1419528007507324,-0.7126304626464843,-0.9751396179199219,0.25,0.225,easy_top25
energy_norm,S5_bottleneck_mid,strong,40,0.6280428409576416,-0.3196650505065918,-0.4757347106933594,0.175,0.125,hard_bottom25
energy_norm,S5_bottleneck_mid,strong,80,0.5444098472595215,-0.8635082244873047,-1.3305473327636719,0.2875,0.2375,mid_50
energy_norm,S6_early_mid_final,medium,40,0.022473907470703124,-1.0619810104370118,-1.9547443389892578,0.425,0.275,easy_top25
energy_norm,S6_early_mid_final,medium,40,0.44989619255065916,-0.4601184844970703,-0.7260885238647461,0.25,0.2,hard_bottom25
energy_norm,S6_early_mid_final,medium,80,0.46644177436828616,-1.0453330993652343,-1.550217628479004,0.3,0.2625,mid_50
energy_norm,S6_early_mid_final,mild,40,0.061580657958984375,-0.7706571578979492,-1.0571041107177734,0.275,0.225,easy_top25
energy_norm,S6_early_mid_final,mild,40,0.2764763832092285,-0.20273904800415038,-0.40805912017822266,0.225,0.05,hard_bottom25
energy_norm,S6_early_mid_final,mild,80,0.301806116104126,-0.5233551025390625,-0.823817253112793,0.25,0.15,mid_50
energy_norm,S6_early_mid_final,strong,40,0.021670722961425783,-1.061956596374512,-1.9547157287597656,0.425,0.325,easy_top25
energy_norm,S6_early_mid_final,strong,40,0.5615496635437012,-0.611726951599121,-0.7516069412231445,0.275,0.275,hard_bottom25
energy_norm,S6_early_mid_final,strong,80,0.42006583213806153,-1.4609621047973633,-1.935811996459961,0.3375,0.3,mid_50
energy_norm_plus_bucket_strength,S4_final_decoder,medium,80,0.27305068969726565,-0.23813886642456053,-0.3071746826171875,0.225,0.0875,hard_bottom25
