variant,stage_set,action_name,action_strength,count,mean_dpsnr,p05_dpsnr,cvar5_dpsnr,unsafe_rate,severe_rate,target_bucket,source_bucket,strong_reference_regression_rate
bucket_strength_grid,S6_early_mid_final,mild_0.10,0.1,20,0.038274383544921874,-0.2856090545654297,-0.3229866027832031,0.3,0.15,easy_top25,all,0.3
bucket_strength_grid,S6_early_mid_final,mild_0.20,0.2,20,0.05252208709716797,-0.5868888854980469,-0.6647605895996094,0.3,0.2,easy_top25,all,0.3
bucket_strength_grid,S6_early_mid_final,mild_0.33,0.33,20,0.03497772216796875,-0.9953317642211914,-1.1257400512695312,0.3,0.3,easy_top25,all,0.3
bucket_strength_grid,S4_final_decoder,mild_0.10,0.1,20,0.0222442626953125,-0.052027320861816405,-0.06294631958007812,0.1,0.0,easy_top25,easy_top25,0.1
bucket_strength_grid,S4_final_decoder,mild_0.20,0.2,20,0.03827972412109375,-0.10928516387939453,-0.13475799560546875,0.15,0.0,easy_top25,easy_top25,0.15
bucket_strength_grid,S4_final_decoder,mild_0.33,0.33,20,0.04972629547119141,-0.19109230041503905,-0.2406463623046875,0.3,0.05,easy_top25,easy_top25,0.3
bucket_strength_grid,S5_bottleneck_mid,mild_0.10,0.1,20,0.03717517852783203,-0.03834304809570313,-0.058086395263671875,0.05,0.0,easy_top25,easy_top25,0.05
bucket_strength_grid,S5_bottleneck_mid,mild_0.20,0.2,20,0.06921424865722656,-0.08306140899658204,-0.1212615966796875,0.15,0.0,easy_top25,easy_top25,0.15
bucket_strength_grid,S5_bottleneck_mid,mild_0.33,0.33,20,0.1028665542602539,-0.14811305999755858,-0.212615966796875,0.2,0.05,easy_top25,easy_top25,0.2
bucket_strength_grid,S6_early_mid_final,mild_0.10,0.1,20,0.03968868255615234,-0.08082103729248047,-0.10029983520507812,0.15,0.0,easy_top25,easy_top25,0.15
bucket_strength_grid,S6_early_mid_final,mild_0.20,0.2,20,0.06966209411621094,-0.17003707885742186,-0.21114730834960938,0.2,0.05,easy_top25,easy_top25,0.2
bucket_strength_grid,S6_early_mid_final,mild_0.33,0.33,20,0.09395866394042969,-0.297227668762207,-0.3703193664550781,0.25,0.15,easy_top25,easy_top25,0.25
bucket_strength_grid,S4_final_decoder,medium_0.50,0.5,20,0.18781261444091796,-0.13967275619506836,-0.1942768096923828,0.2,0.0,hard_bottom25,all,0.0
bucket_strength_grid,S4_final_decoder,medium_0.67,0.67,20,0.24219074249267578,-0.20178003311157228,-0.2679119110107422,0.2,0.05,hard_bottom25,all,0.0
bucket_strength_grid,S4_final_decoder,mild_0.33,0.33,20,0.12849349975585939,-0.08480358123779297,-0.124359130859375,0.2,0.0,hard_bottom25,all,0.0
bucket_strength_grid,S4_final_decoder,strong_0.85,0.85,20,0.2941567420959473,-0.27507600784301756,-0.34969520568847656,0.2,0.2,hard_bottom25,all,0.0
bucket_strength_grid,S4_final_decoder,strong_1.00,1.0,20,0.33288326263427737,-0.3417946815490723,-0.4206829071044922,0.25,0.2,hard_bottom25,all,0.0
bucket_strength_grid,S4_final_decoder,strong_1.25,1.25,20,0.38779726028442385,-0.47516584396362305,-0.5443019866943359,0.25,0.2,hard_bottom25,all,0.0
bucket_strength_grid,S5_bottleneck_mid,medium_0.50,0.5,20,0.27542753219604493,-0.06090965270996094,-0.07019424438476562,0.15,0.0,hard_bottom25,all,0.0
bucket_strength_grid,S5_bottleneck_mid,medium_0.67,0.67,20,0.3609294891357422,-0.09198455810546875,-0.11417770385742188,0.15,0.0,hard_bottom25,all,0.0
bucket_strength_grid,S5_bottleneck_mid,mild_0.33,0.33,20,0.1856321334838867,-0.03531866073608399,-0.03619384765625,0.0,0.0,hard_bottom25,all,0.0
bucket_strength_grid,S5_bottleneck_mid,strong_0.85,0.85,20,0.44638710021972655,-0.12975187301635743,-0.17151260375976562,0.15,0.0,hard_bottom25,all,0.0
bucket_strength_grid,S5_bottleneck_mid,strong_1.00,1.0,20,0.5135380744934082,-0.16549901962280272,-0.22725677490234375,0.15,0.05,hard_bottom25,all,0.0
bucket_strength_grid,S5_bottleneck_mid,strong_1.25,1.25,20,0.6163811683654785,-0.2333441734313965,-0.3355598449707031,0.15,0.15,hard_bottom25,all,0.0
bucket_strength_grid,S6_early_mid_final,medium_0.50,0.5,20,0.2704075813293457,-0.17573843002319336,-0.17655563354492188,0.2,0.0,hard_bottom25,all,0.0
bucket_strength_grid,S6_early_mid_final,medium_0.67,0.67,20,0.34763422012329104,-0.25006351470947263,-0.2663459777832031,0.25,0.15,hard_bottom25,all,0.0
bucket_strength_grid,S6_early_mid_final,mild_0.33,0.33,20,0.18549365997314454,-0.10192689895629883,-0.10892295837402344,0.2,0.0,hard_bottom25,all,0.0
