variant,control_family,action_name,stage_set,count,mean_dpsnr,p05_dpsnr,cvar5_dpsnr,unsafe_rate,severe_rate,source_bucket,target_bucket,is_impossible_sanity_control,is_plausible_miscalibration,is_plausible_routing_error,gate_role
absmax_clip,plausible_routing_error,wrong_stage,S5_bottleneck_mid,40,0.23054380416870118,-0.2560407638549805,-0.6016712188720703,0.25,0.1,mid_50,mid_50,0,0,1,safety_upper_bound
absmax_clip,plausible_routing_error,wrong_stage,S6_early_mid_final,20,0.054467201232910156,-0.17699203491210938,-0.40714263916015625,0.3,0.05,all,easy_top25,0,0,1,safety_upper_bound
absmax_clip,plausible_routing_error,wrong_stage,S6_early_mid_final,20,0.09408378601074219,-0.03998889923095703,-0.049472808837890625,0.0,0.0,all,hard_bottom25,0,0,1,safety_upper_bound
absmax_clip,plausible_routing_error,wrong_stage,S6_early_mid_final,40,0.14259471893310546,-0.19089984893798828,-0.33956336975097656,0.15,0.05,all,mid_50,0,0,1,safety_upper_bound
absmax_clip,plausible_routing_error,wrong_stage,S6_early_mid_final,20,0.02028999328613281,-0.13749160766601562,-0.13920211791992188,0.25,0.0,easy_top25,easy_top25,0,0,1,safety_upper_bound
absmax_clip,plausible_routing_error,wrong_stage,S6_early_mid_final,20,0.1628790855407715,-0.08838558197021484,-0.09402084350585938,0.15,0.0,hard_bottom25,hard_bottom25,0,0,1,safety_upper_bound
absmax_clip,plausible_routing_error,wrong_stage,S6_early_mid_final,40,0.15270090103149414,-0.19991836547851563,-0.36413002014160156,0.175,0.05,mid_50,mid_50,0,0,1,safety_upper_bound
alignment_gate,impossible_sanity,overstrong_3.0,S4_final_decoder,13,-4.385763608492338,-8.199111175537109,-8.762920379638672,1.0,0.9230769230769231,all,easy_top25,1,0,0,sensitivity_lower_bound
alignment_gate,impossible_sanity,overstrong_3.0,S4_final_decoder,18,0.23070822821723092,-1.6335175514221192,-1.8358993530273438,0.5,0.4444444444444444,all,hard_bottom25,1,0,0,sensitivity_lower_bound
alignment_gate,impossible_sanity,overstrong_3.0,S4_final_decoder,32,-0.8396888971328735,-3.5122659683227537,-4.334918975830078,0.59375,0.59375,all,mid_50,1,0,0,sensitivity_lower_bound
alignment_gate,impossible_sanity,overstrong_3.0,S4_final_decoder,11,-1.5026276328346946,-1.941335678100586,-1.9714508056640625,1.0,1.0,easy_top25,easy_top25,1,0,0,sensitivity_lower_bound
alignment_gate,impossible_sanity,overstrong_3.0,S4_final_decoder,17,-2.030222836662741,-5.274237823486328,-6.139636993408203,0.7647058823529411,0.7647058823529411,hard_bottom25,hard_bottom25,1,0,0,sensitivity_lower_bound
alignment_gate,impossible_sanity,overstrong_3.0,S4_final_decoder,31,-2.07767222004552,-5.778209686279297,-5.789541244506836,0.7741935483870968,0.7741935483870968,mid_50,mid_50,1,0,0,sensitivity_lower_bound
