image_name,table_split,blend_alpha,table_A0_PSNR,recompute_A0_PSNR,table_alpha_dPSNR,recompute_alpha_dPSNR,table_vs_recompute_abs_diff
1467_0.61_1.24.png,val_regular,0.5,40.502967834472656,40.502967834472656,2.2671356201171875,2.2671356201171875,0.0
1474_0.92_0.89.png,val_regular,0.375,30.84564971923828,30.84564971923828,3.9967308044433594,3.9967308044433594,0.0
1474_0.92_0.89.png,val_regular,0.5,30.84564971923828,30.84564971923828,5.792976379394531,5.792976379394531,0.0
1480_0.96_1.38.png,val_regular,0.375,30.89598846435547,30.89598846435547,4.312099456787109,4.312099456787109,0.0
1480_0.96_1.38.png,val_regular,0.5,30.89598846435547,30.89598846435547,6.210369110107422,6.210369110107422,0.0
1491_0.88_1.85.png,val_regular,0.375,33.60693359375,33.60693359375,1.5601119995117188,1.5601119995117188,0.0
1491_0.88_1.85.png,val_regular,0.5,33.60693359375,33.60693359375,1.8030929565429688,1.8030929565429688,0.0
1500_0.87_1.88.png,val_regular,0.375,34.133811950683594,34.133811950683594,2.99969482421875,2.99969482421875,0.0
1500_0.87_1.88.png,val_regular,0.5,34.133811950683594,34.133811950683594,3.8427276611328125,3.8427276611328125,0.0
1502_0.65_1.08.png,val_regular,0.375,42.03142547607422,42.03142547607422,2.050811767578125,2.050811767578125,0.0
1502_0.65_1.08.png,val_regular,0.5,42.03142547607422,42.03142547607422,2.1604080200195312,2.1604080200195312,0.0
1528_0.91_1.9.png,val_regular,0.375,33.69122314453125,33.69122314453125,1.5897636413574219,1.5897636413574219,0.0
1528_0.91_1.9.png,val_regular,0.5,33.69122314453125,33.69122314453125,1.8697891235351562,1.8697891235351562,0.0
1534_0.7_0.91.png,val_regular,0.375,45.49168395996094,45.49168395996094,-0.34230804443359375,-0.34230804443359375,0.0
1534_0.7_0.91.png,val_regular,0.5,45.49168395996094,45.49168395996094,-1.11456298828125,-1.11456298828125,0.0
1547_0.77_1.84.png,val_regular,0.375,38.38124465942383,38.38124465942383,0.8230323791503906,0.8230323791503906,0.0
1547_0.77_1.84.png,val_regular,0.5,38.38124465942383,38.38124465942383,0.8293800354003906,0.8293800354003906,0.0
1550_0.87_0.57.png,val_regular,0.375,45.68153762817383,45.68153762817383,1.3370933532714844,1.3370933532714844,0.0
1550_0.87_0.57.png,val_regular,0.5,45.68153762817383,45.68153762817383,1.4703292846679688,1.4703292846679688,0.0
1567_0.8_0.84.png,val_regular,0.375,41.407432556152344,41.407432556152344,2.529529571533203,2.529529571533203,0.0
1567_0.8_0.84.png,val_regular,0.5,41.407432556152344,41.407432556152344,3.1381072998046875,3.1381072998046875,0.0
1575_0.51_1.39.png,val_regular,0.375,42.51918029785156,42.51918029785156,0.08807373046875,0.08807373046875,0.0
